"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Cracker's Bar & Grill","502 NW 6th St, Crystal River, FL 34428","502 NW 6th St","Crystal River, FL 34428","Seafood restaurant, Bar & grill",,"(352) 795-3999","(352) 795-3999, +1 352-795-3999","YES",6156,4.2,"https://search.google.com/local/reviews?placeid=ChIJ9RE2a69B6IgRmdCBZk8JiQw&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=903263436891345049",28.899243,-82.59812099999999,"https://crackersbarandgrill.com/","crackersbarandgrill.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMlNIU2qKOTCZ1vTZntlWZfc0oJfggwYjIX0q_c=w122-h92-k-no","903263436891345049","ChIJ9RE2a69B6IgRmdCBZk8JiQw"
"Coney Island Crystal River","674 NE 5th St, Crystal River, FL 34429","674 NE 5th St","Crystal River, FL 34429","Restaurant",,"(352) 228-8125","(352) 228-8125, +1 352-228-8125","YES",1256,4.3,"https://search.google.com/local/reviews?placeid=ChIJfVTifL1B6IgRHQW17bazg3A&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8107521352450508061",28.8979891,-82.5831085,"https://www.famousfootlongs.com/","famousfootlongs.com","Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM], Thursday: [10 AM-8 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [10 AM-6 PM], Monday: [10 AM-6 PM]","https://lh5.googleusercontent.com/p/AF1QipOjXlhd5rMq0WTaY9uNJT4kePCxZpUy0RPKtfrR=w122-h92-k-no","8107521352450508061","ChIJfVTifL1B6IgRHQW17bazg3A"
"El Ranchito Mexican Grill","445 NE 1st Terrace, Crystal River, FL 34429","445 NE 1st Terrace","Crystal River, FL 34429","Mexican restaurant, Delivery Restaurant, Takeout Restaurant",,"(352) 795-5251","(352) 795-5251, +1 352-795-5251","YES",927,4.3,"https://search.google.com/local/reviews?placeid=ChIJby4V_clB6IgRTrw2KMSUNXk&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8734050622564121678",28.894899799999997,-82.5859868,"http://www.elranchitocrystalriver.com/","elranchitocrystalriver.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOMzWU2t6B_V_uzYTWc5pbwlMVjs-N52oK3ruBH=w163-h92-k-no","8734050622564121678","ChIJby4V_clB6IgRTrw2KMSUNXk"
"La Casita Mexican Restaurant","773 NE 5th St, Crystal River, FL 34429","773 NE 5th St","Crystal River, FL 34429","Mexican restaurant, Restaurant",,"(352) 794-3984","(352) 794-3984, +1 352-794-3984","YES",241,4.5,"https://search.google.com/local/reviews?placeid=ChIJkf9FW6pB6IgR1A87ha16r_k&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17991733922051592148",28.8987919,-82.5813441,,,"Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [Closed], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNDifpJ64dtqjNweE3zKmCXxHbvUlRwGXkkjHS9=w122-h92-k-no","17991733922051592148","ChIJkf9FW6pB6IgR1A87ha16r_k"
"Lollygaggers","618 SE US Hwy 19, Crystal River, FL 34429","618 SE US Hwy 19","Crystal River, FL 34429","Restaurant",,"(352) 794-3888","(352) 794-3888, +1 352-794-3888","YES",1175,4.5,"https://search.google.com/local/reviews?placeid=ChIJPR8YmLVB6IgRYEzUaKKwEWU&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7282796284024736864",28.890369999999997,-82.5857304,"https://m.facebook.com/LollygaggersSportsPub/?ref=bookmarks","m.facebook.com","Tuesday: [11 AM-10:30 PM], Wednesday: [11 AM-10:30 PM], Thursday: [11 AM-10:30 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10:30 PM], Monday: [11 AM-10:30 PM]","https://lh5.googleusercontent.com/p/AF1QipNbibfqF3H-2NYKIDjuM8x26gENu0gXkVXtqJkW=w122-h92-k-no","7282796284024736864","ChIJPR8YmLVB6IgRYEzUaKKwEWU"
"St. Johns Tavern","572 N Citrus Ave, Crystal River, FL 34428","572 N Citrus Ave","Crystal River, FL 34428","Restaurant",,"(352) 794-6367","(352) 794-6367, +1 352-794-6367","YES",690,4.7,"https://search.google.com/local/reviews?placeid=ChIJcfpYdq1B6IgRLHhod_Zqsds&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15830551771981838380",28.899421399999998,-82.5933503,"https://www.facebook.com/StJohnsTavernCR/","facebook.com","Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM], Thursday: [11 AM-11 PM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-11 PM], Monday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMTUGVehGgEPKeXtL2Mqq-WVpIbR1ooMksIUE8p=w122-h92-k-no","15830551771981838380","ChIJcfpYdq1B6IgRLHhod_Zqsds"
"Cedar River Seafood Crystal River","1935 SE US Hwy 19, Crystal River, FL 34429","1935 SE US Hwy 19","Crystal River, FL 34429","Restaurant",,"(352) 794-3379","(352) 794-3379, +1 352-794-3379","YES",419,4.2,"https://search.google.com/local/reviews?placeid=ChIJC5-b9E5B6IgRXYgrO4n8LxU&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1526716465035315293",28.8807212,-82.58115029999999,"http://www.cedarriverseafood.com/","cedarriverseafood.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipO2yBLhyy-8HNvvfcZCs5XKTlV5Mebu4yWmq2HM=w122-h92-k-no","1526716465035315293","ChIJC5-b9E5B6IgRXYgrO4n8LxU"
"Denny's","2380 U.S. Hwy 19, Crystal River, FL 34428","2380 U.S. Hwy 19","Crystal River, FL 34428","Diner, American restaurant, Breakfast restaurant",,"(352) 563-1177","(352) 563-1177, +1 352-563-1177","YES",2584,4.3,"https://search.google.com/local/reviews?placeid=ChIJ69qIrHZB6IgRi5z-SlkYxUw&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5531854489083878539",28.918549799999997,-82.6106047,"https://locations.dennys.com/FL/CRYSTAL-RIVER/246861?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing&y_source=1_MjIyODMzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","locations.dennys.com","Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOpil5TR9YHnASZNrHpW0_O67hf8LUMjXUAxjjf=w163-h92-k-no","5531854489083878539","ChIJ69qIrHZB6IgRi5z-SlkYxUw"
"Cody's Original Roadhouse - Crystal River","305 SE US Hwy 19, Crystal River, FL 34429","305 SE US Hwy 19","Crystal River, FL 34429","Steak house, Restaurant",,"(352) 795-7223","(352) 795-7223, +1 352-795-7223","YES",5391,4.2,"https://search.google.com/local/reviews?placeid=ChIJHarvaYJE6IgR3nBlCJ9tbrY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13145564892149149918",28.892612399999997,-82.5843048,"https://www.codysoriginalroadhouse.com/crystalriver","codysoriginalroadhouse.com","Tuesday: [11 AM-10:30 PM], Wednesday: [11 AM-10:30 PM], Thursday: [11 AM-10:30 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10:30 PM]","https://lh5.googleusercontent.com/p/AF1QipO5fw3l5VPAi6n5_dVyb31U7Kqot1Vs0ArJOstM=w122-h92-k-no","13145564892149149918","ChIJHarvaYJE6IgR3nBlCJ9tbrY"
"Burger King","125 NE US Hwy 19, Crystal River, FL 34429","125 NE US Hwy 19","Crystal River, FL 34429","Restaurant, Fast food restaurant",,"(352) 795-4584","(352) 795-4584, +1 352-795-4584","YES",1081,3.8,"https://search.google.com/local/reviews?placeid=ChIJ_XyZwjVA6IgRKVKIMHzgyqY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12018665379586396713",28.8960923,-82.5842768,"https://burgerking.com/store-locator/store/restaurant_2676","burgerking.com","Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM], Thursday: [6 AM-11 PM], Friday: [6 AM-12 AM], Saturday: [6 AM-12 AM], Sunday: [7 AM-11 PM], Monday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipNGGEp28dn8I2Z4_gYhk3EiTHlslYWpXnmH6Mn6=w163-h92-k-no","12018665379586396713","ChIJ_XyZwjVA6IgRKVKIMHzgyqY"
