"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"The Black Eyed Pea","15323 US-301, Dade City, FL 33523","15323 US-301","Dade City, FL 33523","American restaurant, Breakfast restaurant",,"(352) 567-2012","(352) 567-2012, +1 352-567-2012","YES",1000,4.5,"https://search.google.com/local/reviews?placeid=ChIJEVXKn-pU3YgRcOcr1ljHmTQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3790279745773234032",28.381058,-82.19306689999999,"https://order.online/business/black-eyed-pea-11632554","order.online","Tuesday: [6 AM-3 PM], Wednesday: [6 AM-3 PM], Thursday: [6 AM-3 PM], Friday: [6 AM-8 PM], Saturday: [6 AM-3 PM], Sunday: [6 AM-3 PM], Monday: [6 AM-3 PM]","https://lh5.googleusercontent.com/p/AF1QipMUITRFRxh0vetbQZ4EXn5-Iublb1OKguQFejP0=w163-h92-k-no","3790279745773234032","ChIJEVXKn-pU3YgRcOcr1ljHmTQ"
"Kafe Kokopelli","37940 Live Oak Ave, Dade City, FL 33523","37940 Live Oak Ave","Dade City, FL 33523","American restaurant",,"(352) 523-0055","(352) 523-0055, +1 352-523-0055","YES",2360,4.5,"https://search.google.com/local/reviews?placeid=ChIJq4A-pJlU3YgR4Kr7Ms1x6Bs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2010982359758514912",28.3650074,-82.188034,"https://www.kafekokopelli.com/","kafekokopelli.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-6:30 PM], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMa44UCXB7vP_vN4AsdxQ5gkLwrAAVdII-ifx_o=w122-h92-k-no","2010982359758514912","ChIJq4A-pJlU3YgR4Kr7Ms1x6Bs"
"Steph's Southern Soul Restaurant","14519 5th St, Dade City, FL 33523","14519 5th St","Dade City, FL 33523","Soul food restaurant, Restaurant",,"(352) 437-5907","(352) 437-5907, +1 352-437-5907","YES",1883,4.7,"https://search.google.com/local/reviews?placeid=ChIJCRo5y5BU3YgRQ502Rq4H1is&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3158720633730669891",28.3692741,-82.18770599999999,"http://www.stephssouthernsoul.com/","stephssouthernsoul.com","Tuesday: [10:30 AM-7 PM], Wednesday: [10:30 AM-7 PM], Thursday: [10:30 AM-7 PM], Friday: [10:30 AM-8 PM], Saturday: [10:30 AM-8 PM], Sunday: [Closed], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipMoy24HqBauqSaQ94wQZ1AsqZSPNZv7DE7DiZoH=w122-h92-k-no","3158720633730669891","ChIJCRo5y5BU3YgRQ502Rq4H1is"
"Beef 'O' Brady's","14136 7th St, Dade City, FL 33525","14136 7th St","Dade City, FL 33525","Family restaurant",,"(352) 567-4136","(352) 567-4136, +1 352-567-4136","YES",1034,3.8,"https://search.google.com/local/reviews?placeid=ChIJf53-a5lU3YgRLeP1wQP4ye4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17206556546368398125",28.363647699999998,-82.18865459999999,"https://www.beefobradys.com/dadecity","beefobradys.com","Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM], Thursday: [11 AM-11 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMIzHXsmG7XFIlpbSG6yNaxOT7NVlTo1LZVJc6r=w138-h92-k-no","17206556546368398125","ChIJf53-a5lU3YgRLeP1wQP4ye4"
"Amigo Mexican Restaurant","14016 7th St #4306, Dade City, FL 33525","14016 7th St #4306","Dade City, FL 33525","Mexican restaurant",,"(352) 437-3612","(352) 437-3612, +1 352-437-3612","NO",168,4.2,"https://search.google.com/local/reviews?placeid=ChIJHyYOFnZV3YgRnqLVNOZZk1U&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6166371160064107166",28.362099699999998,-82.1888816,,,"Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-9:30 PM], Saturday: [11 AM-9:30 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMp8FnbBLL7ipEtEX8sodxKkONA7GLiYYop74-Q=w122-h92-k-no","6166371160064107166","ChIJHyYOFnZV3YgRnqLVNOZZk1U"
"Green Door on 8th","14148 8th St, Dade City, FL 33525","14148 8th St","Dade City, FL 33525","Bistro, American restaurant",,"(352) 437-5335","(352) 437-5335, +1 352-437-5335","YES",1110,4.6,"https://search.google.com/local/reviews?placeid=ChIJKeAND5lU3YgRG_gTCskquxE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1277661962235541531",28.3642418,-82.1896105,"https://www.gdo8.com/","gdo8.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [10 AM-2 PM], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipM1ZguQtfrTcUU7PzG0SCV8VKCkRJujz0gYzQNs=w122-h92-k-no","1277661962235541531","ChIJKeAND5lU3YgRG_gTCskquxE"
"Taqueria El Guache","37006 Lock St, Dade City, FL 33523","37006 Lock St","Dade City, FL 33523","Mexican restaurant",,"(352) 523-4088","(352) 523-4088, +1 352-523-4088","NO",241,4.6,"https://search.google.com/local/reviews?placeid=ChIJS13td7BU3YgRdIBF7x6YXB4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2187790777625968756",28.375574099999998,-82.2036639,,,"Tuesday: [10 AM-9 PM], Wednesday: [10 AM-9 PM], Thursday: [10 AM-9 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [10 AM-9 PM], Monday: [10 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPLJiAK_8r-XuTZtqF0ghhCjCzTaE-gR-PDH5fl=w122-h92-k-no","2187790777625968756","ChIJS13td7BU3YgRdIBF7x6YXB4"
"Florida Cracker Lunch On Limoges","14139 7th St, Dade City, FL 33525","14139 7th St","Dade City, FL 33525","American restaurant, Breakfast restaurant, Brunch restaurant, Cafe, Fish restaurant, Lunch restaurant, Restaurant, Soul food restaurant, Southern restaurant (US)",,"(352) 567-5685","(352) 567-5685, +1 352-567-5685","YES",738,4.6,"https://search.google.com/local/reviews?placeid=ChIJ-elnDZlU3YgRSiEF2wZvkRs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1986490985882132810",28.364053799999997,-82.1892192,"https://www.flacracker.com/lunchonlimoges","flacracker.com","Tuesday: [8 AM-5 PM], Wednesday: [8 AM-5 PM], Thursday: [8 AM-5 PM], Friday: [8 AM-5 PM], Saturday: [8 AM-5 PM], Sunday: [Closed], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipPtz_3_bj8AIC69mxhVVHQ7lUbTOiPupHzS1lY7=w138-h92-k-no","1986490985882132810","ChIJ-elnDZlU3YgRSiEF2wZvkRs"
"Burger King","11768 US-301, Dade City, FL 33525","11768 US-301","Dade City, FL 33525","Restaurant, Fast food restaurant",,"(352) 518-0511","(352) 518-0511, +1 352-518-0511","YES",1181,3.9,"https://search.google.com/local/reviews?placeid=ChIJ28ogkBNT3YgR7OnOcicE99k&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15706026792954292716",28.329059299999997,-82.1870883,"https://burgerking.com/store-locator/store/restaurant_22450","burgerking.com","Tuesday: [5 AM-12 AM], Wednesday: [5 AM-12 AM], Thursday: [5 AM-12 AM], Friday: [5 AM-1 AM], Saturday: [5 AM-1 AM], Sunday: [5 AM-12 AM], Monday: [5 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipNSAF7JThAV9peJpx54BBXn-NnXHL9v_U4-d0fa=w122-h92-k-no","15706026792954292716","ChIJ28ogkBNT3YgR7OnOcicE99k"
"Captain D's","13016 US-301, Dade City, FL 33525","13016 US-301","Dade City, FL 33525","Seafood restaurant, American restaurant, Family restaurant, Fast food restaurant, Fish & chips restaurant",,"(352) 567-1755","(352) 567-1755, +1 352-567-1755","YES",1423,4.1,"https://search.google.com/local/reviews?placeid=ChIJV4SbLGRT3YgRsf1ySR0gcQ0&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=968590705019780529",28.347607,-82.18703,"https://locations.captainds.com/ll/US/FL/Dade-City/13016-US-Highway-301","locations.captainds.com","Tuesday: [10:30 AM-10 PM], Wednesday: [10:30 AM-10 PM], Thursday: [10:30 AM-10 PM], Friday: [10:30 AM-11 PM], Saturday: [10:30 AM-11 PM], Sunday: [10:30 AM-10 PM], Monday: [10:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOpJ2NTk72n_-woGAqMLWWq9dkJs4KIzc5CyC7v=w122-h92-k-no","968590705019780529","ChIJV4SbLGRT3YgRsf1ySR0gcQ0"
