"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Tropical Cuisine","3405 E Hillsborough Ave, Tampa, FL 33610","3405 E Hillsborough Ave","Tampa, FL 33610","Latin American restaurant",,"(813) 252-4712","(813) 252-4712, +1 813-252-4712","YES",736,4.2,"https://search.google.com/local/reviews?placeid=ChIJOfHjRmPFwogRI93JQ60-iCs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3136826054351117603",27.9958198,-82.4217135,,,"Tuesday: [6:30 AM-8 PM], Wednesday: [6:30 AM-8 PM], Thursday: [6:30 AM-8 PM], Friday: [6:30 AM-8 PM], Saturday: [7 AM-8 PM], Sunday: [9 AM-6 PM], Monday: [6:30 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipOncnKhprAAA1MB-mnWAFMRpn9sKKyqhjfkMJIT=w122-h92-k-no","3136826054351117603","ChIJOfHjRmPFwogRI93JQ60-iCs"
"301 Family Restaurant","3407 US-301, Tampa, FL 33619","3407 US-301","Tampa, FL 33619","Family restaurant, American restaurant, Breakfast restaurant, Restaurant",,"(813) 623-3612","(813) 623-3612, +1 813-623-3612","YES",1239,4.4,"https://search.google.com/local/reviews?placeid=ChIJ9V0QQTzPwogR8Hv2NEQa5d4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16061272526335409136",27.9745611,-82.3598612,,,"Tuesday: [6 AM-2:30 PM], Wednesday: [6 AM-2:30 PM], Thursday: [6 AM-2:30 PM], Friday: [6 AM-2:30 PM], Saturday: [6 AM-1:30 PM], Sunday: [7 AM-12:30 PM], Monday: [6 AM-2:30 PM]","https://lh5.googleusercontent.com/p/AF1QipOnYgd24b5NA82DaHCjlBqMFm2RDYGhnnXMBKqb=w80-h106-k-no","16061272526335409136","ChIJ9V0QQTzPwogR8Hv2NEQa5d4"
"Taco Bus","3939 US-301, Tampa, FL 33619","3939 US-301","Tampa, FL 33619","Mexican restaurant",,"(813) 246-3399","(813) 246-3399, +1 813-246-3399","YES",2380,3.9,"https://search.google.com/local/reviews?placeid=ChIJ1w3KiTrPwogRRxsGB4tyhYE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9332991744239082311",27.980969899999998,-82.3592745,"http://www.taco-bus.com/","taco-bus.com","Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipO8RfkPewpQH5yD6AJ5kVPXg80LDLRiyIGeUjZC=w137-h92-k-no","9332991744239082311","ChIJ1w3KiTrPwogRRxsGB4tyhYE"
"Rise Kitchen & Deli (in Seminole Hard Rock Tampa)","5223 Orient Rd, Tampa, FL 33610","5223 Orient Rd","Tampa, FL 33610","Restaurant",,"(813) 627-7625","(813) 627-7625, +1 813-627-7625","YES",406,4.2,"https://search.google.com/local/reviews?placeid=ChIJOeNlCzjPwogR-kGRGTQIF3A&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8076933476572545530",27.993028199999998,-82.37062759999999,"https://www.seminolehardrocktampa.com/dining/rise-kitchen-and-deli","seminolehardrocktampa.com","Tuesday: [7 AM-11 PM], Wednesday: [7 AM-1 AM], Thursday: [7 AM-1 AM], Friday: [7 AM-1 AM], Saturday: [7 AM-1 AM], Sunday: [7 AM-1 AM], Monday: [7 AM-1 AM]","https://lh5.googleusercontent.com/p/AF1QipMZodfLXvKvhcYoqTde5KlZLGLPmDBncYRjaWzb=w122-h92-k-no","8076933476572545530","ChIJOeNlCzjPwogR-kGRGTQIF3A"
"Waffle House","6502 US-301, Tampa, FL 33610","6502 US-301","Tampa, FL 33610","Breakfast restaurant, American restaurant, Diner, Family restaurant, Takeout Restaurant",,"(813) 621-2227","(813) 621-2227, +1 813-621-2227","YES",1944,4.1,"https://search.google.com/local/reviews?placeid=ChIJkXk1V8XIwogRpTAbd9xuBMo&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14556881788738416805",28.0054904,-82.3564828,"https://locations.wafflehouse.com/tampa-fl-567","locations.wafflehouse.com","Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipMidE2vOYG2pvNkIRlehubQbMTBeFLXKhszDNZe=w122-h92-k-no","14556881788738416805","ChIJkXk1V8XIwogRpTAbd9xuBMo"
"160 BISTRO","4406 N Falkenburg Rd, Tampa, FL 33610","4406 N Falkenburg Rd","Tampa, FL 33610","Restaurant",,"(813) 280-2620","(813) 280-2620, +1 813-280-2620","YES",86,4.5,"https://search.google.com/local/reviews?placeid=ChIJCaSY77LPwogRFVVhaKvDNuc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16660719012461761813",27.9855815,-82.3353987,"http://www.160bistro.com/","160bistro.com","Tuesday: [10 AM-4 PM], Wednesday: [10 AM-4 PM], Thursday: [10 AM-4 PM], Friday: [10 AM-4 PM], Saturday: [11 AM-4 PM], Sunday: [Closed], Monday: [10 AM-4 PM]","https://lh5.googleusercontent.com/p/AF1QipMn2Ck7xMYYfTMC7qVeniapmsjckQwt1aDAF1u9=w122-h92-k-no","16660719012461761813","ChIJCaSY77LPwogRFVVhaKvDNuc"
"Sugar Factory - Tampa Bay","5223 Orient Rd, Tampa, FL 33610","5223 Orient Rd","Tampa, FL 33610","American restaurant, Cocktail bar, Dessert restaurant",,"(813) 521-4262","(813) 521-4262, +1 813-521-4262","YES",2422,4,"https://search.google.com/local/reviews?placeid=ChIJpYLsgUzPwogRrTjJI-sy7fU&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17720876094271862957",27.994145999999997,-82.37129279999999,"https://sf1.sugarfactory.com/","sf1.sugarfactory.com","Tuesday: [11 AM-12 AM], Wednesday: [11 AM-12 AM], Thursday: [11 AM-12 AM], Friday: [11 AM-2 AM], Saturday: [10 AM-2 AM], Sunday: [10 AM-12 AM], Monday: [11 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipOyf3v26bkV_dvOFqXeXchouRGBKdlS03pcjCRb=w80-h106-k-no","17720876094271862957","ChIJpYLsgUzPwogRrTjJI-sy7fU"
"Five Guys","8606 Elm Fair Blvd, Tampa, FL 33610","8606 Elm Fair Blvd","Tampa, FL 33610","Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",,"(813) 623-6680","(813) 623-6680, +1 813-623-6680","YES",1881,4.2,"https://search.google.com/local/reviews?placeid=ChIJC_pHVzLPwogRnT1AI2Jmh5Q&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10702635611153513885",27.9906726,-82.3578404,"https://restaurants.fiveguys.com/8606-elm-fair-blvd","restaurants.fiveguys.com","Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipP2V8S4kcMcruYgE76MS0niuhYXjaCqcBtBVnJY=w122-h92-k-no","10702635611153513885","ChIJC_pHVzLPwogRnT1AI2Jmh5Q"
"Hector's Mexican Food","3121 E Hillsborough Ave, Tampa, FL 33610","3121 E Hillsborough Ave","Tampa, FL 33610","Mexican restaurant, Fast food restaurant",,"(813) 234-3646","(813) 234-3646, +1 813-234-3646","YES",1012,4.2,"https://search.google.com/local/reviews?placeid=ChIJE92jONbFwogRMc2nTlA1a5c&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10910873141268434225",27.9957642,-82.4247591,,,"Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [12 AM-11:30 PM], Sunday: [8 AM-12 AM], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOsE9ufTBo5U1k8j_ZyQdchlrKdLFIhIe7IPtL8=w122-h92-k-no","10910873141268434225","ChIJE92jONbFwogRMc2nTlA1a5c"
"TacoSon Authentic Mexican Grill","7521 N 56th St, Tampa, FL 33617","7521 N 56th St","Tampa, FL 33617","Mexican restaurant, Fast food restaurant, Latin American restaurant",,"(813) 989-2080","(813) 989-2080, +1 813-989-2080","YES",3439,4.6,"https://search.google.com/local/reviews?placeid=ChIJT25iPh_GwogR0_PEEjuQxRE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1280588252449141715",28.017038699999997,-82.3930259,"http://www.tacosonmexicangrill.com/","tacosonmexicangrill.com","Tuesday: [7 AM-9 PM], Wednesday: [7 AM-9 PM], Thursday: [7 AM-9 PM], Friday: [7 AM-9 PM], Saturday: [7 AM-9 PM], Sunday: [Closed], Monday: [7 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMhpWHGNgjmrSC9RL9SAck3aDwIEU0UGZYPYOOV=w122-h92-k-no","1280588252449141715","ChIJT25iPh_GwogR0_PEEjuQxRE"
