"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"The Twisted Fork","2208 El Jobean Rd, Port Charlotte, FL 33948","2208 El Jobean Rd","Port Charlotte, FL 33948","Restaurant",,"(941) 235-3675","(941) 235-3675, +1 941-235-3675","YES",2601,4.5,"https://search.google.com/local/reviews?placeid=ChIJFZv9wOmr3IgR4UJoHayWs-k&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16839969097640329953",27.0008074,-82.1799111,"http://twistedfork.net/","twistedfork.net","Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOp1hZBuGQLWEC8Buo0CloCQo5Vw3q1l_sQ3QIF=w194-h92-k-no","16839969097640329953","ChIJFZv9wOmr3IgR4UJoHayWs-k"
"Chili's Grill & Bar","1471 Tamiami Trl, Port Charlotte, FL 33948","1471 Tamiami Trl","Port Charlotte, FL 33948","Restaurant, American restaurant, Bar, Bar & grill, Family restaurant, Hamburger restaurant, Mexican restaurant, Tex-Mex restaurant",,"(941) 255-0058","(941) 255-0058, +1 941-255-0058","YES",2074,4,"https://search.google.com/local/reviews?placeid=ChIJwTYlJc-r3IgRTtI6GFXBRMQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14142641301073089102",27.0109,-82.143273,"https://www.chilis.com/locations/us/florida/port-charlotte/port-charlotte?utm_source=google&utm_medium=local&utm_campaign=Chilis","chilis.com","Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM], Thursday: [11 AM-11 PM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-11 PM], Monday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipNoDmr3r05xSY2x6t0kaQG376NS02XbveqeB0Np=w122-h92-k-no","14142641301073089102","ChIJwTYlJc-r3IgRTtI6GFXBRMQ"
"Olive Garden Italian Restaurant","1341 Tamiami Trl, Port Charlotte, FL 33948","1341 Tamiami Trl","Port Charlotte, FL 33948","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",,"(941) 625-8807","(941) 625-8807, +1 941-625-8807","YES",3115,4.4,"https://search.google.com/local/reviews?placeid=ChIJ2cvGmcir3IgRobK0ImW61aQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11877604535796282017",27.012,-82.145898,"https://www.olivegarden.com/locations/fl/port-charlotte/port-charlotte-town-center-mall/1197?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:port-charlotte-fl-1197_pl:locurl_rd:1146","olivegarden.com","Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOgbNanrStMuwJDRKwQfGn-Ji6s1B7MhT-MojJX=w122-h92-k-no","11877604535796282017","ChIJ2cvGmcir3IgRobK0ImW61aQ"
"M & F International Restaurant","2395 Tamiami Trl, Port Charlotte, FL 33952","2395 Tamiami Trl","Port Charlotte, FL 33952","Restaurant, Catering food and drink supplier, Dominican restaurant, Mexican restaurant, Steak house",,"(941) 883-4069","(941) 883-4069, +1 941-883-4069","YES",52,4.6,"https://search.google.com/local/reviews?placeid=ChIJS4q_qYOp3IgRk_PdMqHhCbk&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13333436254266454931",26.996420999999998,-82.119557,,,"Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM], Thursday: [11 AM-8 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-2 AM], Sunday: [11 AM-5 PM], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipPSsd_FJbXBo2LzcgB9CkUn5riQVJ2an2uWJNzv=w80-h106-k-no","13333436254266454931","ChIJS4q_qYOp3IgRk_PdMqHhCbk"
"Cheddar's Scratch Kitchen","18600 Veterans Blvd, Port Charlotte, FL 33954","18600 Veterans Blvd","Port Charlotte, FL 33954","Traditional American restaurant, Chicken restaurant, Family restaurant, Takeout Restaurant, Soul food restaurant, Southern restaurant (US)",,"(941) 467-3648","(941) 467-3648, +1 941-467-3648","YES",1217,3.9,"https://search.google.com/local/reviews?placeid=ChIJu8KMBeer3IgR1Us3VHnpKbs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13486567266450885589",27.01398,-82.14491,"https://www.cheddars.com/locations/fl/port-charlotte/port-charlotte/2208?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:port-charlotte-fl-2208_pl:locurl_rd:1181","cheddars.com","Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOF4AlogUG4uTJ4hXxnsUA_vFrcPmwbV7Bznk8j=w122-h92-k-no","13486567266450885589","ChIJu8KMBeer3IgR1Us3VHnpKbs"
"Bob Evans","1050 El Jobean Rd, Port Charlotte, FL 33948","1050 El Jobean Rd","Port Charlotte, FL 33948","Family restaurant, Breakfast restaurant, Takeout Restaurant, Restaurant",,"(941) 764-6111","(941) 764-6111, +1 941-764-6111","YES",976,4,"https://search.google.com/local/reviews?placeid=ChIJLVGSz7ar3IgRwaAJEirLBLE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12755543426171773121",27.0115423,-82.147983,"https://www.bobevans.com/locations/port-charlotte-2?utm_source=google&utm_medium=local&utm_campaign=451-Port-Charlotte-FL","bobevans.com","Tuesday: [7 AM-9 PM], Wednesday: [7 AM-9 PM], Thursday: [7 AM-9 PM], Friday: [7 AM-9 PM], Saturday: [7 AM-9 PM], Sunday: [7 AM-9 PM], Monday: [7 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNIVuAqZxBg8mMLj5l_KWWxJC54TeU8S-K6QLtK=w163-h92-k-no","12755543426171773121","ChIJLVGSz7ar3IgRwaAJEirLBLE"
"Carrabba's Italian Grill","1811 Tamiami Trl, Port Charlotte, FL 33948","1811 Tamiami Trl","Port Charlotte, FL 33948","Italian restaurant, American restaurant, Bar, Bar & grill, Caterer, Gluten-free restaurant, Takeout Restaurant, Restaurant, Wine bar",,"(941) 743-5299","(941) 743-5299, +1 941-743-5299","YES",1834,4.3,"https://search.google.com/local/reviews?placeid=ChIJNeeGGdSr3IgRKffjRYPDihM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1408152802087401257",27.005549799999997,-82.13242269999999,"https://locations.carrabbas.com/florida/pt.-charlotte/1811-north-tamiami-trail?y_source=1_MTU1MDI5ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","locations.carrabbas.com","Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPFR3u-Us5thmqij2DdKRgGNgX1y_fM9EqZZxJF=w122-h92-k-no","1408152802087401257","ChIJNeeGGdSr3IgRKffjRYPDihM"
"Plaza Mexico Restaurant Bar & Grill","2390 Tamiami Trl, Port Charlotte, FL 33952","2390 Tamiami Trl","Port Charlotte, FL 33952","Mexican restaurant, Bar & grill",,"(941) 391-5319","(941) 391-5319, +1 941-391-5319","YES",2649,4.4,"https://search.google.com/local/reviews?placeid=ChIJFTVl_YKp3IgRX-eOKJcCqEw&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5523667791213684575",26.997125699999998,-82.1186984,"http://plazamexicoportcharlotte.com/","plazamexicoportcharlotte.com","Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPitWjH74ZNO1IPrkkcmPu-kf9CHTS3xJQ_X1ll=w122-h92-k-no","5523667791213684575","ChIJFTVl_YKp3IgRX-eOKJcCqEw"
"Tijuana Flats","1100 El Jobean Rd #102, Port Charlotte, FL 33948","1100 El Jobean Rd #102","Port Charlotte, FL 33948","Taco restaurant, Burrito restaurant, Caterer, Chicken wings restaurant, Mexican restaurant, Tex-Mex restaurant",,"(941) 766-8226","(941) 766-8226, +1 941-766-8226","YES",990,4.4,"https://search.google.com/local/reviews?placeid=ChIJlxh6zLer3IgRcnZqBPHPPyY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2756150131042186866",27.0109441,-82.1491353,"https://www.tijuanaflats.com/locations/port-charlotte?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing","tijuanaflats.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [11 AM-8 PM], Monday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipOWOmQ1vWVEtYN52ekWJw84LcIpFDibzOZX2RUm=w122-h92-k-no","2756150131042186866","ChIJlxh6zLer3IgRcnZqBPHPPyY"
"The Grill At 1951","1951 Tamiami Trl, Port Charlotte, FL 33948","1951 Tamiami Trl","Port Charlotte, FL 33948","Fine dining restaurant, Bar, Italian restaurant, Jazz club, Live music venue, Lunch restaurant, Takeout Restaurant, Seafood restaurant, Steak house",,"(941) 255-0994","(941) 255-0994, +1 941-255-0994","YES",1067,4.4,"https://search.google.com/local/reviews?placeid=ChIJweWboNWr3IgRgn3dWx731_U&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17714899369047457154",27.003589599999998,-82.1296844,"http://www.thegrillat1951.com/","thegrillat1951.com","Tuesday: [11:30 AM-9 PM], Wednesday: [11:30 AM-10 PM], Thursday: [11:30 AM-9 PM], Friday: [11:30 AM-9 PM], Saturday: [11:30 AM-9 PM], Sunday: [Closed], Monday: [11:30 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM4TFbyICR9aGFnqEulRlTOcehyRz6u8IGIIE-1=w138-h92-k-no","17714899369047457154","ChIJweWboNWr3IgRgn3dWx731_U"
