"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Thai Island Orlando","2522 S Semoran Blvd, Orlando, FL 32822","2522 S Semoran Blvd","Orlando, FL 32822","Thai restaurant",,"(407) 412-6909","(407) 412-6909, +1 407-412-6909","NO",838,4.5,"https://search.google.com/local/reviews?placeid=ChIJR9bCWuxk54gR-nqy4KU6pUY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5090539437926021882",28.5150167,-81.3111194,"http://orderthaiisland.com/","orderthaiisland.com","Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM], Thursday: [11 AM-11 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-11 PM], Monday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipOYtYxdveFGrVGzTdfdocYgfxwbepb6F129Xyf1=w122-h92-k-no","5090539437926021882","ChIJR9bCWuxk54gR-nqy4KU6pUY"
"Steak 'n Shake","2700 S Semoran Blvd, Orlando, FL 32822","2700 S Semoran Blvd","Orlando, FL 32822","Hamburger restaurant, American restaurant",,"(407) 380-3733","(407) 380-3733, +1 407-380-3733","YES",4096,4.1,"https://search.google.com/local/reviews?placeid=ChIJW9lg7exk54gRYP59P2hGLLY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13126944427433918048",28.5136649,-81.31088629999999,"https://www.steaknshake.com/locations/fl-orlando-s-semoran-boulevard/","steaknshake.com","Tuesday: [10 AM-12 AM], Wednesday: [10 AM-12 AM], Thursday: [10 AM-12 AM], Friday: [10 AM-12 AM], Saturday: [10 AM-12 AM], Sunday: [10 AM-12 AM], Monday: [10 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipPnQp5g4HZZ0kYsU9BwUoLdIxvoN8SbH-pOTSBG=w122-h92-k-no","13126944427433918048","ChIJW9lg7exk54gRYP59P2hGLLY"
"Sazoncito Latin Food","4542 S Semoran Blvd, Orlando, FL 32822","4542 S Semoran Blvd","Orlando, FL 32822","Dominican restaurant",,"(407) 802-2982","(407) 802-2982, +1 407-802-2982","YES",545,4.2,"https://search.google.com/local/reviews?placeid=ChIJGSJSKZpk54gRbAMk1xl7fWI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7096963938719630188",28.4974615,-81.31211019999999,"http://www.sazoncito.net/","sazoncito.net","Tuesday: [10 AM-11:30 PM], Wednesday: [10 AM-11:30 PM], Thursday: [10 AM-11:30 PM], Friday: [10 AM-11:30 PM], Saturday: [10 AM-11:30 PM], Sunday: [10 AM-12 AM], Monday: [10 AM-11:30 PM]","https://lh5.googleusercontent.com/p/AF1QipNxbqiCXNXJ32ZXJZDbc0KT3LvhWoXCougru54w=w80-h106-k-no","7096963938719630188","ChIJGSJSKZpk54gRbAMk1xl7fWI"
"High Tide Harry's","4645 S Semoran Blvd, Orlando, FL 32822","4645 S Semoran Blvd","Orlando, FL 32822","Seafood restaurant, Bar, Crab house, Family restaurant, Oyster bar restaurant",,"(407) 273-4422","(407) 273-4422, +1 407-273-4422","YES",4923,4.4,"https://search.google.com/local/reviews?placeid=ChIJv_4vBJtk54gR-TMiM1S_LsQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14136446648718603257",28.4964347,-81.3094345,"http://hightideharrys.com/","hightideharrys.com","Tuesday: [11 AM-9:30 PM], Wednesday: [11 AM-9:30 PM], Thursday: [11 AM-9:30 PM], Friday: [11 AM-10:30 PM], Saturday: [11 AM-10:30 PM], Sunday: [11 AM-9:30 PM], Monday: [11 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipMh-1S0vMu2s0_wKLqbb2vXluu8ixHEtK2LmAi4=w137-h92-k-no","14136446648718603257","ChIJv_4vBJtk54gR-TMiM1S_LsQ"
"Wingstop","2520 S Semoran Blvd, Orlando, FL 32822","2520 S Semoran Blvd","Orlando, FL 32822","Chicken wings restaurant",,"(407) 270-8828","(407) 270-8828, +1 407-270-8828","YES",715,3.8,"https://search.google.com/local/reviews?placeid=ChIJy1_KWuxk54gR4gtmaoRnhxg&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1767495197184625634",28.515096999999997,-81.31122239999999,"https://www.wingstop.com/location/wingstop-814-orlando-fl-32822/menu?y_source=1_NTUyMDY3NzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","wingstop.com","Tuesday: [11 AM-12 AM], Wednesday: [11 AM-12 AM], Thursday: [11 AM-12 AM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-12 AM], Monday: [11 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipMvOWQ8s96NQ05RXLa7nWJmCNnq_3B84q_3ybya=w80-h106-k-no","1767495197184625634","ChIJy1_KWuxk54gR4gtmaoRnhxg"
"El Cilantrillo Restaurant","2500 S Semoran Blvd, Orlando, FL 32822","2500 S Semoran Blvd","Orlando, FL 32822","Puerto Rican restaurant",,"(407) 730-5061","(407) 730-5061, +1 407-730-5061","YES",8374,4.7,"https://search.google.com/local/reviews?placeid=ChIJedh1n55l54gRJN_Up80M6Io&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10009264249254502180",28.5156544,-81.3112215,"http://www.elcilantrillo.com/","elcilantrillo.com","Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [12-9 PM], Monday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPiethdlztee5BPSpKejf65s0WeE1_gF1Q3JocI=w122-h92-k-no","10009264249254502180","ChIJedh1n55l54gRJN_Up80M6Io"
"504 Restaurant Bar Inc.","4006 S Semoran Blvd, Orlando, FL 32822","4006 S Semoran Blvd","Orlando, FL 32822","Restaurant",,"(407) 286-5718","(407) 286-5718, +1 407-286-5718","YES",79,4.2,"https://search.google.com/local/reviews?placeid=ChIJub0rEAFl54gRYwaF4ztzOBo&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1889386744739333731",28.503310199999998,-81.3125416,,,"Tuesday: [9 AM-10 PM], Wednesday: [9 AM-10 PM], Thursday: [9 AM-10 PM], Friday: [9 AM-10 PM], Saturday: [9 AM-10 PM], Sunday: [9 AM-10 PM], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipOZWy3cYJUwbFmtWZRCO6NWpzykqaauOOvh9wKn=w80-h142-k-no","1889386744739333731","ChIJub0rEAFl54gRYwaF4ztzOBo"
"Chirico Fast Food","4302 S Semoran Blvd, Orlando, FL 32822","4302 S Semoran Blvd","Orlando, FL 32822","Fast food restaurant, Chinese restaurant",,"(407) 207-0022","(407) 207-0022, +1 407-207-0022","YES",837,4.4,"https://search.google.com/local/reviews?placeid=ChIJoX4bkJBk54gRyPbYY0_56Xw&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9000999449649542856",28.5002171,-81.31116229999999,,,"Tuesday: [10:30 AM-10 PM], Wednesday: [10:30 AM-10 PM], Thursday: [10:30 AM-10 PM], Friday: [10:30 AM-10 PM], Saturday: [10:30 AM-10 PM], Sunday: [11:30 AM-10 PM], Monday: [10:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipNqt6PY2cl0yKvAHljBAI-EQ3pz5fSonMeyI8uo=w189-h92-k-no","9000999449649542856","ChIJoX4bkJBk54gRyPbYY0_56Xw"
"Wendy's","4510 S Semoran Blvd, Orlando, FL 32822","4510 S Semoran Blvd","Orlando, FL 32822","Fast food restaurant, Hamburger restaurant, Restaurant",,"(321) 666-8656","(321) 666-8656, +1 321-666-8656","YES",1323,3.7,"https://search.google.com/local/reviews?placeid=ChIJ_8W1_kRl54gR0zBql6LaDHI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8218183811904188627",28.4985085,-81.3107824,"https://locations.wendys.com/united-states/fl/orlando/4510-s-semoran-blvd?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US","locations.wendys.com","Tuesday: [6 AM-2 AM], Wednesday: [6 AM-2 AM], Thursday: [6 AM-2 AM], Friday: [6 AM-2 AM], Saturday: [6 AM-2 AM], Sunday: [6 AM-2 AM], Monday: [6 AM-2 AM]","https://lh5.googleusercontent.com/p/AF1QipPHhb9IjRL4GadDF2OxF1neGB9PiYQ0Qmc-d4Em=w163-h92-k-no","8218183811904188627","ChIJ_8W1_kRl54gR0zBql6LaDHI"
"Chipotle Mexican Grill","2610 S Semoran Blvd, Orlando, FL 32822","2610 S Semoran Blvd","Orlando, FL 32822","Mexican restaurant, Caterer, Fast food restaurant",,"(407) 207-4694","(407) 207-4694, +1 407-207-4694","YES",900,3.7,"https://search.google.com/local/reviews?placeid=ChIJ7Z7AFE9l54gRptL5NwACBHM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8287751414230930086",28.514208099999998,-81.3106416,"https://locations.chipotle.com/fl/orlando/2610-s-semoran-blvd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings","locations.chipotle.com","Tuesday: [10:45 AM-11 PM], Wednesday: [10:45 AM-11 PM], Thursday: [10:45 AM-11 PM], Friday: [10:45 AM-11 PM], Saturday: [10:45 AM-11 PM], Sunday: [10:45 AM-11 PM], Monday: [10:45 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipOBne9jsm2_CEUNz4_7PCHdhuQtqBftJYkWXoCb=w122-h92-k-no","8287751414230930086","ChIJ7Z7AFE9l54gRptL5NwACBHM"
