"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Miller's Ale House","722 Apalachee Pkwy, Tallahassee, FL 32301","722 Apalachee Pkwy","Tallahassee, FL 32301","Restaurant, American restaurant, Bar, Brewpub, Chicken wings restaurant, Takeout Restaurant, Seafood restaurant, Sports bar, Steak house",,"(850) 222-0364","(850) 222-0364, +1 850-222-0364","YES",2869,4,"https://search.google.com/local/reviews?placeid=ChIJBd0vGX317IgRrj_WGgDB_SU&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2737556354705538990",30.4387196,-84.27226139999999,"https://millersalehouse.com/locations/tallahassee/?utm_source=gmb&utm_medium=organic","millersalehouse.com","Thursday: [11 AM-1 AM], Friday: [11 AM-2 AM], Saturday: [11 AM-2 AM], Sunday: [11 AM-1 AM], Monday: [11 AM-1 AM], Tuesday: [11 AM-1 AM], Wednesday: [11 AM-1 AM]","https://lh5.googleusercontent.com/p/AF1QipONhvRo_DQUQBA6zmdZ3rO062O6sNAhsnJirxHg=w122-h92-k-no","2737556354705538990","ChIJBd0vGX317IgRrj_WGgDB_SU"
"BJ's Restaurant & Brewhouse","1749 Apalachee Pkwy, Tallahassee, FL 32301","1749 Apalachee Pkwy","Tallahassee, FL 32301","Restaurant, Bar, Brewery, Sports bar",,"(850) 216-2010","(850) 216-2010, +1 850-216-2010","YES",2320,4.1,"https://search.google.com/local/reviews?placeid=ChIJjXAtPJZf7IgRt3_TCKvMyoM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9496627799223664567",30.4319058,-84.250117,"https://www.bjsrestaurants.com/locations/fl/tallahassee?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","bjsrestaurants.com","Thursday: [11 AM-12 AM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-12 AM], Monday: [11 AM-12 AM], Tuesday: [11 AM-12 AM], Wednesday: [11 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipNQZP2JeH_1XGM_giUotcROQmC0SQT03aDBETSv=w122-h92-k-no","9496627799223664567","ChIJjXAtPJZf7IgRt3_TCKvMyoM"
"Brick House Restaurant & Bar","402 W College Ave, Tallahassee, FL 32301","402 W College Ave","Tallahassee, FL 32301","Restaurant, Bar",,"(850) 577-1230","(850) 577-1230, +1 850-577-1230","YES",282,4,"https://search.google.com/local/reviews?placeid=ChIJiboF1nP17IgRfde0TA8zyS4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3371281936867972989",30.4409033,-84.2859438,"http://brickhousetally.com/","brickhousetally.com","Thursday: [11 AM-12 AM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-10 PM], Monday: [11 AM-11 PM], Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipP0f_S7gBGv5n6rh2b7WkkDMX9k6i-PqgmjbSVx=w138-h92-k-no","3371281936867972989","ChIJiboF1nP17IgRfde0TA8zyS4"
"Olive Garden Italian Restaurant","1103 Apalachee Pkwy, Tallahassee, FL 32301","1103 Apalachee Pkwy","Tallahassee, FL 32301","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",,"(850) 878-2949","(850) 878-2949, +1 850-878-2949","YES",3404,4.2,"https://search.google.com/local/reviews?placeid=ChIJudFOOoZf7IgRQZmjzmU5hA8&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1118081716916033857",30.437334,-84.266123,"https://www.olivegarden.com/locations/fl/tallahassee/tallahassee/1236?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:tallahassee-fl-1236_pl:locurl_rd:1176","olivegarden.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPCTJ5Xqwch6_XCrs9_e6l7X6T7DuxBza9wfkG-=w163-h92-k-no","1118081716916033857","ChIJudFOOoZf7IgRQZmjzmU5hA8"
"Beef 'O' Brady's","1208 Capital Cir SE, Tallahassee, FL 32301","1208 Capital Cir SE","Tallahassee, FL 32301","Family restaurant",,"(850) 504-2333","(850) 504-2333, +1 850-504-2333","YES",614,4.3,"https://search.google.com/local/reviews?placeid=ChIJh86MO0te7IgRzwwGwVd-2K0&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12526901278896688335",30.4306795,-84.22733629999999,"https://www.beefobradys.com/capitalcircle","beefobradys.com","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOEOvtBynawUp_9k_JhjrSk0WCnfnSvLMc8WqaY=w122-h92-k-no","12526901278896688335","ChIJh86MO0te7IgRzwwGwVd-2K0"
"The Edison - Restaurant Tallahassee","470 Suwannee St, Tallahassee, FL 32301","470 Suwannee St","Tallahassee, FL 32301","American restaurant, Brunch restaurant, Lunch restaurant, Restaurant",,"(850) 765-9771","(850) 765-9771, +1 850-765-9771","YES",1842,4,"https://search.google.com/local/reviews?placeid=ChIJL8BLqHz17IgRGiicwMVyRms&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7729992004093618202",30.433656,-84.2773831,"http://www.edisontally.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button&utm_campaign=Tallahassee","edisontally.com","Thursday: [4-9 PM], Friday: [4-10 PM], Saturday: [10 AM-10 PM], Sunday: [10 AM-9 PM], Monday: [4-9 PM], Tuesday: [4-9 PM], Wednesday: [4-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNw_UU440IZ4qmj1XUYabe2xo_CXWiqpgrE1UNo=w137-h92-k-no","7729992004093618202","ChIJL8BLqHz17IgRGiicwMVyRms"
"Bahn Thai Restaurant","2531 Apalachee Pkwy, Tallahassee, FL 32301","2531 Apalachee Pkwy","Tallahassee, FL 32301","Thai restaurant, Asian restaurant, Restaurant, Southeast Asian restaurant",,"(850) 224-4765","(850) 224-4765, +1 850-224-4765","YES",588,4.3,"https://search.google.com/local/reviews?placeid=ChIJWZFuHWb17IgR82C-PrQuWlE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5862049216657776883",30.427113199999997,-84.2368216,,,"Thursday: [12-9 PM], Friday: [12-9 PM], Saturday: [12-9 PM], Sunday: [Closed], Monday: [12-9 PM], Tuesday: [12-9 PM], Wednesday: [12-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOPILXpveKcgj4CLHzjNRFBzHGes3T1qIOSvTrD=w122-h92-k-no","5862049216657776883","ChIJWZFuHWb17IgR82C-PrQuWlE"
"G&G Eat In & Takeout","745 Apalachee Pkwy, Tallahassee, FL 32301","745 Apalachee Pkwy","Tallahassee, FL 32301","Caribbean restaurant, Jamaican restaurant",,"(850) 222-9157","(850) 222-9157, +1 850-222-9157","YES",910,4,"https://search.google.com/local/reviews?placeid=ChIJ6V-Yafv07IgRy3vgVdrxO1s&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6574114001123310539",30.4375838,-84.2715806,,,"Thursday: [10:30 AM-9 PM], Friday: [10:30 AM-10 PM], Saturday: [10:30 AM-10 PM], Sunday: [11 AM-8 PM], Monday: [10:30 AM-9 PM], Tuesday: [10:30 AM-9 PM], Wednesday: [10:30 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNPm0cmUl3ge67oRbKByYtatU5Egmxgn4_DjmEJ=w189-h92-k-no","6574114001123310539","ChIJ6V-Yafv07IgRy3vgVdrxO1s"
"Hobbit American Grill - East","400 Capital Cir SE # 16, Tallahassee, FL 32301","400 Capital Cir SE # 16","Tallahassee, FL 32301","American restaurant, Bar, Restaurant",,"(850) 402-2900","(850) 402-2900, +1 850-402-2900","YES",1399,4,"https://search.google.com/local/reviews?placeid=ChIJL46rQFNe7IgRn_hpl4NKFPo&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18020109938057672863",30.4410317,-84.2281574,"http://www.myhobbitonline.com/","myhobbitonline.com","Thursday: [11 AM-11 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM5oqCIgUS0vRH8Tndzjz7i0Zc-_cIL-Hu9N8p6=w122-h92-k-no","18020109938057672863","ChIJL46rQFNe7IgRn_hpl4NKFPo"
"Pepper’s Mexican Grill & Cantina","1140 Capital Cir SE #15, Tallahassee, FL 32301","1140 Capital Cir SE #15","Tallahassee, FL 32301","Mexican restaurant, Latin American restaurant",,"(850) 877-2020","(850) 877-2020, +1 850-877-2020","YES",963,4.3,"https://search.google.com/local/reviews?placeid=ChIJSYdnSE1e7IgRNCr20aT5E94&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16002408387270027828",30.434143,-84.2273969,"http://peppersmexicancantina.com/","peppersmexicancantina.com","Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10:30 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMxqcFBYOrOOuJsYI9qlPxEmylw_bgI8ER4rxcf=w163-h92-k-no","16002408387270027828","ChIJSYdnSE1e7IgRNCr20aT5E94"
