"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Cheddar's Scratch Kitchen","10040 University Plaza Dr, Fort Myers, FL 33913","10040 University Plaza Dr","Fort Myers, FL 33913","Traditional American restaurant, Chicken restaurant, Family restaurant, Takeout Restaurant, Soul food restaurant, Southern restaurant (US)",,"(239) 561-3618","(239) 561-3618, +1 239-561-3618","YES",3461,4.3,"https://search.google.com/local/reviews?placeid=ChIJGVRFfnMU24gRIp81UHTe7VY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6263907247885492002",26.4920901,-81.7842707,"https://www.cheddars.com/locations/fl/fort-myers/fort-myers/2078?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:fort-myers-fl-2078_pl:locurl_rd:1065","cheddars.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMdOSZ4jffYkRePbj7xEkfJcQ6-_qTq12JUFzy-=w122-h92-k-no","6263907247885492002","ChIJGVRFfnMU24gRIp81UHTe7VY"
"Fancy's Southern Cafe","8890 Salrose Ln #101, Fort Myers, FL 33912","8890 Salrose Ln #101","Fort Myers, FL 33912","Southern restaurant (US)",,"(239) 561-2988","(239) 561-2988, +1 239-561-2988","YES",2154,4.4,"https://search.google.com/local/reviews?placeid=ChIJ1a5BdsUU24gRICHA552NazY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3921383609893658912",26.548341399999998,-81.809103,"http://www.fancyssoutherncafe.com/","fancyssoutherncafe.com","Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [8 AM-2:30 PM, 3:30-9 PM], Sunday: [8 AM-2:30 PM, 3:30-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOzBipKwG5bxH7FjD74TelqLwxfFMLDSnQHpaK5=w138-h92-k-no","3921383609893658912","ChIJ1a5BdsUU24gRICHA552NazY"
"Two Meatballs In The Kitchen - Fort Myers","8880 Salrose Ln, Fort Myers, FL 33912","8880 Salrose Ln","Fort Myers, FL 33912","Italian restaurant",,"(239) 489-1111","(239) 489-1111, +1 239-489-1111","YES",2470,4.4,"https://search.google.com/local/reviews?placeid=ChIJyRPvbsUU24gRGltdjxfpFa0&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12472131030471236378",26.5482938,-81.8097969,"http://2meatballs.com/","2meatballs.com","Thursday: [11 AM-9:30 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9:30 PM], Monday: [11 AM-9:30 PM], Tuesday: [11 AM-9:30 PM], Wednesday: [11 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipP9vfk2c-NAxGSzNPVdRe_Bc6gqpmYOZWj4rHge=w138-h92-k-no","12472131030471236378","ChIJyRPvbsUU24gRGltdjxfpFa0"
"Olive Garden Italian Restaurant","Gulf Coast Town Center, 10020 University Plaza Dr, Fort Myers, FL 33913","Gulf Coast Town Center","10020 University Plaza Dr","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",,"(239) 433-0164","(239) 433-0164, +1 239-433-0164","YES",1825,4.3,"https://search.google.com/local/reviews?placeid=ChIJ2b-WBnMU24gRkx-_gG6XUEY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5066716081654013843",26.4923394,-81.7859481,"https://www.olivegarden.com/locations/fl/fort-myers/gulf-coast-town-center/1895?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:fort-myers-fl-1895_pl:locurl_rd:1735","olivegarden.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO6kJcf0Jnjdje2jDNCq1iMpu4iKgWgg6YIm4Qw=w122-h92-k-no","5066716081654013843","ChIJ2b-WBnMU24gRkx-_gG6XUEY"
"Bob Evans","8940 Colonial Center Dr, Fort Myers, FL 33905","8940 Colonial Center Dr","Fort Myers, FL 33905","Family restaurant, Breakfast restaurant, Takeout Restaurant, Restaurant",,"(239) 936-4552","(239) 936-4552, +1 239-936-4552","YES",1888,4.3,"https://search.google.com/local/reviews?placeid=ChIJ88vIgqZr24gR7TDhSj4DyI4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10288476914807025901",26.613568899999997,-81.8079644,"https://www.bobevans.com/locations/ft-myers?utm_source=google&utm_medium=local&utm_campaign=497-Fort-Meyers-FL","bobevans.com","Thursday: [7 AM-9 PM], Friday: [7 AM-9 PM], Saturday: [7 AM-9 PM], Sunday: [7 AM-9 PM], Monday: [7 AM-9 PM], Tuesday: [7 AM-9 PM], Wednesday: [7 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNUaATxzr3rINCR4O8BkVnL60N0gRGLN1dyViEL=w122-h92-k-no","10288476914807025901","ChIJ88vIgqZr24gR7TDhSj4DyI4"
"Miller's Ale House","10065 Gulf Center Dr, Fort Myers, FL 33913","10065 Gulf Center Dr","Fort Myers, FL 33913","Restaurant, American restaurant, Bar, Brewpub, Chicken wings restaurant, Takeout Restaurant, Seafood restaurant, Sports bar, Steak house",,"(239) 461-9334","(239) 461-9334, +1 239-461-9334","YES",4938,4.5,"https://search.google.com/local/reviews?placeid=ChIJp-1SMg0U24gRrdaoaBtbapI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10550345250346948269",26.4880146,-81.78941429999999,"https://millersalehouse.com/locations/ft-myers-estero/?utm_source=gmb&utm_medium=organic","millersalehouse.com","Thursday: [11 AM-2 AM], Friday: [11 AM-2 AM], Saturday: [11 AM-2 AM], Sunday: [11 AM-2 AM], Monday: [11 AM-2 AM], Tuesday: [11 AM-2 AM], Wednesday: [11 AM-2 AM]","https://lh5.googleusercontent.com/p/AF1QipMexi6zudicoja7CDuKgQHYfOV08xXAjB_ibZZR=w123-h92-k-no","10550345250346948269","ChIJp-1SMg0U24gRrdaoaBtbapI"
"Dos Sabores Restaurant","18731 Three Oaks Pkwy # 7, Fort Myers, FL 33967","18731 Three Oaks Pkwy # 7","Fort Myers, FL 33967","Mexican restaurant",,"(239) 362-1775","(239) 362-1775, +1 239-362-1775","YES",507,4.4,"https://search.google.com/local/reviews?placeid=ChIJtXcm-RwU24gRlkdunQjYKBs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1957051569605068694",26.4700937,-81.7922687,"http://dossabores.com/","dossabores.com","Thursday: [10 AM-9 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [10 AM-9 PM], Monday: [10 AM-9 PM], Tuesday: [10 AM-10 PM], Wednesday: [10 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPwIoNqh6uldOS-sfk_D7Fu33qcZ6zmiVoPLdgP=w122-h92-k-no","1957051569605068694","ChIJtXcm-RwU24gRlkdunQjYKBs"
"El Tarasco Mexican Restaurant","1320 Business Way, Lehigh Acres, FL 33936","1320 Business Way","Lehigh Acres, FL 33936","Mexican restaurant",,"(239) 491-2227","(239) 491-2227, +1 239-491-2227","YES",845,3.9,"https://search.google.com/local/reviews?placeid=ChIJ54vYnVFy24gRCLTf8_PxKeQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16440937944763577352",26.6075797,-81.653832,"https://eltarascolehigh.takeout7.com/","eltarascolehigh.takeout7.com","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-11 PM], Sunday: [12-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPRJku54Luq4_dClbv8mduxC9G91qzG7ztFh6ji=w204-h92-k-no","16440937944763577352","ChIJ54vYnVFy24gRCLTf8_PxKeQ"
"PDQ Chicken","17470 Ben Hill Griffin Pkwy, Fort Myers, FL 33913","17470 Ben Hill Griffin Pkwy","Fort Myers, FL 33913","Chicken restaurant, American restaurant, Fast food restaurant, Restaurant, Salad shop, Sandwich shop",,"(239) 220-5751","(239) 220-5751, +1 239-220-5751","YES",771,4.3,"https://search.google.com/local/reviews?placeid=ChIJvaWsnAwU24gRe0-mq7WGySQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2650797970511253371",26.487202999999997,-81.7844889,"http://www.eatpdq.com/","eatpdq.com","Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 AM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipP5a9sHX9fgjn4E_hpLHlbsW6ldAuY6sZaMSJcN=w122-h92-k-no","2650797970511253371","ChIJvaWsnAwU24gRe0-mq7WGySQ"
"Five Guys","3268 Forum Blvd #207, Fort Myers, FL 33905","3268 Forum Blvd #207","Fort Myers, FL 33905","Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",,"(239) 321-5756","(239) 321-5756, +1 239-321-5756","YES",1266,4.5,"https://search.google.com/local/reviews?placeid=ChIJ1d0zrplr24gR98X-8PACBP4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18303758019399173623",26.615986,-81.7994674,"https://restaurants.fiveguys.com/3268-forum-boulevard","restaurants.fiveguys.com","Thursday: [10:30 AM-10 PM], Friday: [10:30 AM-10 PM], Saturday: [10:30 AM-10 PM], Sunday: [10:30 AM-10 PM], Monday: [10:30 AM-10 PM], Tuesday: [10:30 AM-10 PM], Wednesday: [10:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO-xxidz_vriuCj_6L_ciG4ddvRQdTK-p-jFMH-=w163-h92-k-no","18303758019399173623","ChIJ1d0zrplr24gR98X-8PACBP4"
