"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Mojo's-Food. Music. Soul. (Belleview Location)","4496 SE 100th Pl, Belleview, FL 34420","4496 SE 100th Pl","Belleview, FL 34420","Restaurant, American restaurant, Bar, Cajun restaurant, Caterer, Creole restaurant, Cuban restaurant, Delivery Restaurant, Soul food restaurant, Southern restaurant (US)",,"(352) 307-6656","(352) 307-6656, +1 352-307-6656","YES",2468,4.3,"https://search.google.com/local/reviews?placeid=ChIJDTsrQ8TR54gR5DLsHQLyG9A&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14995845475166073572",29.0760613,-82.0736477,"https://www.ilovemojos.com/location/mojos-belleview-fl/","ilovemojos.com","Thursday: [11 AM-9:30 PM], Friday: [11 AM-10:30 PM], Saturday: [11 AM-10:30 PM], Sunday: [11 AM-9:30 PM], Monday: [11 AM-9:30 PM], Tuesday: [11 AM-9:30 PM], Wednesday: [11 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipMZwOyoZ9qECjshcLaBDyRC0K3vl0SbZTg6-_qo=w204-h92-k-no","14995845475166073572","ChIJDTsrQ8TR54gR5DLsHQLyG9A"
"Pasta Faire","10401 US-441, Belleview, FL 34420","10401 US-441","Belleview, FL 34420","Restaurant, Caterer, Italian restaurant, Pizza restaurant",,"(352) 347-3100","(352) 347-3100, +1 352-347-3100","YES",3045,4.5,"https://search.google.com/local/reviews?placeid=ChIJJf9ANdrR54gRD91mb08i4VM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6044149899474689295",29.0710858,-82.070793,"https://www.pastafaire.com/","pastafaire.com","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPboY6_Ey-DXfl7VQ8XGa0-ehHNAh0Vap9fNsSr=w138-h92-k-no","6044149899474689295","ChIJJf9ANdrR54gRD91mb08i4VM"
"Belleview Pizza & Italian Restaurant","5428 SE Abshier Blvd, Belleview, FL 34420","5428 SE Abshier Blvd","Belleview, FL 34420","Pizza restaurant, Italian restaurant",,"(352) 245-2091","(352) 245-2091, +1 352-245-2091","YES",1319,4.6,"https://search.google.com/local/reviews?placeid=ChIJ9fRzv8bR54gRe_hKreWaYTc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3990641056072530043",29.0596484,-82.0582977,"https://www.belleviewpizzaitalianrestaurant.com/?utm_source=gbp","belleviewpizzaitalianrestaurant.com","Thursday: [3-8 PM], Friday: [3-8 PM], Saturday: [3-8 PM], Sunday: [3-8 PM], Monday: [Closed], Tuesday: [3-8 PM], Wednesday: [3-8 PM]","https://lh5.googleusercontent.com/p/AF1QipOp0QolcOEtnhnJkdi8RS3J7xO3yTd2U5qrx__5=w163-h92-k-no","3990641056072530043","ChIJ9fRzv8bR54gRe_hKreWaYTc"
"Los Magueyes Mex Belleview","10465 US-441, Belleview, FL 34420","10465 US-441","Belleview, FL 34420","Mexican restaurant",,"(352) 203-4894","(352) 203-4894, +1 352-203-4894","YES",1292,4.4,"https://search.google.com/local/reviews?placeid=ChIJG0d5AJfR54gRrnfJ4OP1xnI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8270568124790175662",29.0701914,-82.0697323,"http://www.losmagueyesmexrest.com/","losmagueyesmexrest.com","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPrdK7lJGw2fz8D2UkA06hjgdiH76aJpqxN4LvX=w80-h106-k-no","8270568124790175662","ChIJG0d5AJfR54gRrnfJ4OP1xnI"
"Riccardo's","11783 US-441, Belleview, FL 34420","11783 US-441","Belleview, FL 34420","Pizza restaurant, Italian restaurant, Restaurant",,"(352) 693-5828","(352) 693-5828, +1 352-693-5828","YES",999,4.5,"https://search.google.com/local/reviews?placeid=ChIJNTlAEynO54gRYst1_EiiQbE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12772668452556360546",29.050682199999997,-82.0369889,,,"Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [Closed], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPQslOB8uymoiM2kipjuTezd8zJEeXQj6kOzDjU=w122-h92-k-no","12772668452556360546","ChIJNTlAEynO54gRYst1_EiiQbE"
"Sonny's BBQ","5239 SE Abshier Blvd, Belleview, FL 34420","5239 SE Abshier Blvd","Belleview, FL 34420","Barbecue restaurant",,"(352) 347-5400","(352) 347-5400, +1 352-347-5400","YES",2186,4.3,"https://search.google.com/local/reviews?placeid=ChIJmx4_V8fR54gRWJuezZ0om-E&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16256631938148637528",29.060771799999998,-82.0614288,"https://www.sonnysbbq.com/locations/belleview?utm_source=gmb%26utm_medium=organic%26utm_campaign=local","sonnysbbq.com","Thursday: [11 AM-9 PM], Friday: [11 AM-9:30 PM], Saturday: [11 AM-9:30 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPbPB0kmYYwjoo9pfpRLZq1HC9mdaiubYjk6NXp=w122-h92-k-no","16256631938148637528","ChIJmx4_V8fR54gRWJuezZ0om-E"
"Popeyes Louisiana Kitchen","10786 US-441, Belleview, FL 34420","10786 US-441","Belleview, FL 34420","Chicken restaurant, Cajun restaurant, Fast food restaurant, Restaurant, Seafood restaurant",,"(321) 470-0200","(321) 470-0200, +1 321-470-0200","YES",1079,3.2,"https://search.google.com/local/reviews?placeid=ChIJafLp173R54gRxC1_3XCbOhY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1601763526538374596",29.0652974,-82.068871,"https://www.popeyes.com/store-locator/store/restaurant_85256?utm_source=yext&utm_medium=referral&utm_campaign=organic-local-listings","popeyes.com","Thursday: [10 AM-11 PM], Friday: [10 AM-11 PM], Saturday: [10 AM-11 PM], Sunday: [10 AM-11 PM], Monday: [10 AM-11 PM], Tuesday: [10 AM-11 PM], Wednesday: [10 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMAHMIodZmGFslYJ4EbG2lvV0t7EbQwWbesRZZm=w163-h92-k-no","1601763526538374596","ChIJafLp173R54gRxC1_3XCbOhY"
"Zaxby's Chicken Fingers & Buffalo Wings","10560 US-441, Belleview, FL 34420","10560 US-441","Belleview, FL 34420","Chicken restaurant, Caterer, Chicken wings restaurant, Fast food restaurant, Fried chicken takeaway, Delivery Restaurant",,"(352) 307-8633","(352) 307-8633, +1 352-307-8633","YES",829,4.1,"https://search.google.com/local/reviews?placeid=ChIJ41GBMJbR54gRxcuvRRISsU0&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5598275681486097349",29.069111,-82.07104,"https://www.zaxbys.com/locations/fl/belleview/10560-se-us-highway-441/?utm_source=local&utm_medium=organic&utm_campaign=fb","zaxbys.com","Thursday: [10:30 AM-10 PM], Friday: [10:30 AM-10 PM], Saturday: [10:30 AM-10 PM], Sunday: [10:30 AM-9 PM], Monday: [10:30 AM-10 PM], Tuesday: [10:30 AM-10 PM], Wednesday: [10:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMMQi_vof2GBHm-MUaaNQUpt2RbZKaJXjL5H44Y=w80-h142-k-no","5598275681486097349","ChIJ41GBMJbR54gRxcuvRRISsU0"
"Hardee’s","5741 SE Abshier Blvd, Belleview, FL 34420","5741 SE Abshier Blvd","Belleview, FL 34420","Fast food restaurant, Hamburger restaurant",,"(352) 203-5404","(352) 203-5404, +1 352-203-5404","YES",1386,3.9,"https://search.google.com/local/reviews?placeid=ChIJs8gG9cTR54gRmKZCbWsCGxQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1448754365547587224",29.059450599999998,-82.053602,"https://locations.hardees.com/fl/belleview/5741-se-abshier-blvd","locations.hardees.com","Thursday: [5 AM-10 PM], Friday: [5 AM-10 PM], Saturday: [5 AM-10 PM], Sunday: [6 AM-10 PM], Monday: [5 AM-10 PM], Tuesday: [5 AM-10 PM], Wednesday: [5 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPn2QL6mwixLrfwHUlmLpr7nu4yjPdTYN6cSS48=w163-h92-k-no","1448754365547587224","ChIJs8gG9cTR54gRmKZCbWsCGxQ"
"Checkers","5497 SE Abshier Blvd, Belleview, FL 34420","5497 SE Abshier Blvd","Belleview, FL 34420","Fast food restaurant, American restaurant, Chicken restaurant, Hamburger restaurant, Sandwich shop",,"(352) 820-4059","(352) 820-4059, +1 352-820-4059","YES",1135,3.6,"https://search.google.com/local/reviews?placeid=ChIJZ0n0usbR54gR2moCdQYbfcY&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14302617706145409754",29.0601028,-82.0580126,"https://locations.checkers.com/fl/belleview/5497-se-abshier-blvd?y_source=1_MzI0OTEyMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","locations.checkers.com","Thursday: [10 AM-1 AM], Friday: [10 AM-2 AM], Saturday: [10 AM-2 AM], Sunday: [10 AM-1 AM], Monday: [10 AM-1 AM], Tuesday: [10 AM-1 AM], Wednesday: [10 AM-1 AM]","https://lh5.googleusercontent.com/p/AF1QipO6ZMl-3kpSHFLLYUxO0HhV0POhcMwqWdNw5GKa=w163-h92-k-no","14302617706145409754","ChIJZ0n0usbR54gR2moCdQYbfcY"
