"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"The Joinery","640 E Main St, Lakeland, FL 33801","640 E Main St","Lakeland, FL 33801","Restaurant",,"(863) 808-4025","(863) 808-4025, +1 863-808-4025","YES",2032,4.6,"https://search.google.com/local/reviews?placeid=ChIJeURLrk4_3YgRib-v3y-NC6o&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12253042447947382665",28.0459447,-81.9502777,"http://thejoinerylkld.com/","thejoinerylkld.com","Thursday: [11 AM-9 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOFahHJ6kLe4ja-huq-eZrer1EO74oE9TY6VrrL=w163-h92-k-no","12253042447947382665","ChIJeURLrk4_3YgRib-v3y-NC6o"
"Harry's Seafood Bar & Grille","101 N Kentucky Ave, Lakeland, FL 33801","101 N Kentucky Ave","Lakeland, FL 33801","Seafood restaurant, Bar, Cajun restaurant",,"(863) 686-2228","(863) 686-2228, +1 863-686-2228","YES",7596,4.6,"https://search.google.com/local/reviews?placeid=ChIJ8UJr6bQ43YgRjtTgGWBla70&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13649114559101850766",28.0443064,-81.95498189999999,"http://www.hookedonharrys.com/","hookedonharrys.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOaBA0eHEotBoQaJGS52wx2lkGF55kHmiFO0ckA=w138-h92-k-no","13649114559101850766","ChIJ8UJr6bQ43YgRjtTgGWBla70"
"Terrace Grille Lakeland","329 E Main St, Lakeland, FL 33801","329 E Main St","Lakeland, FL 33801","Restaurant",,"(863) 603-5420","(863) 603-5420, +1 863-603-5420","YES",476,4.2,"https://search.google.com/local/reviews?placeid=ChIJlx5J27Q43YgRHLSGArQI74Q&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9578884501669852188",28.043931599999997,-81.9544615,"https://www.terracegrillelakeland.com/?SEO_id=GMB--R-TPATEUP&y_source=1_Mjg5MTMxMDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","terracegrillelakeland.com","Thursday: [7-10 AM, 11 AM-2 PM, 5-9 PM], Friday: [7-10 AM, 11 AM-2 PM, 5-10 PM], Saturday: [7 AM-2 PM, 5-10 PM], Sunday: [7 AM-2 PM], Monday: [7-10 AM, 11 AM-2 PM, 5-9 PM], Tuesday: [7-10 AM, 11 AM-2 PM, 5-9 PM], Wednesday: [7-10 AM, 11 AM-2 PM, 5-9 PM]","https://lh5.googleusercontent.com/p/AF1QipP7qwtqomlEdUXFp1uHvCu1x2drIbba2obrDVtB=w137-h92-k-no","9578884501669852188","ChIJlx5J27Q43YgRHLSGArQI74Q"
"Nineteen61","215 E Main St, Lakeland, FL 33801","215 E Main St","Lakeland, FL 33801","Latin American restaurant, Bar",,"(863) 688-1961","(863) 688-1961, +1 863-688-1961","YES",2100,4.7,"https://search.google.com/local/reviews?placeid=ChIJv7KpXNI43YgR037qXWy4Aj4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4468336555876581075",28.0438154,-81.95557,"http://nineteen61.com/","nineteen61.com","Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [10 AM-8 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNW4HHcl85IQrCk4P0d3usdqeIDXu6NAoCAbm7a=w122-h92-k-no","4468336555876581075","ChIJv7KpXNI43YgR037qXWy4Aj4"
"Chef T's Garden Grill","1525 E Gary Rd, Lakeland, FL 33801","1525 E Gary Rd","Lakeland, FL 33801","Italian restaurant, French restaurant",,"(863) 687-4386","(863) 687-4386, +1 863-687-4386","YES",236,4.7,"https://search.google.com/local/reviews?placeid=ChIJVTeZ50I_3YgRMd1hZfeGOBc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1673235658684095793",28.0492135,-81.9338327,"https://www.cheftsgardengrill.com/","cheftsgardengrill.com","Thursday: [5-8 PM], Friday: [5-8 PM], Saturday: [5-8 PM], Sunday: [Closed], Monday: [Closed], Tuesday: [Closed], Wednesday: [5-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMbm2fdtm5Paa-nW1jxOs-6BNe1FwPE-w17S9Kb=w122-h92-k-no","1673235658684095793","ChIJVTeZ50I_3YgRMd1hZfeGOBc"
"The Chop Shop","118 S Kentucky Ave, Lakeland, FL 33801","118 S Kentucky Ave","Lakeland, FL 33801","Hamburger restaurant, Bar & grill, Restaurant",,"(863) 603-4040","(863) 603-4040, +1 863-603-4040","YES",1310,4.2,"https://search.google.com/local/reviews?placeid=ChIJa0fl4bQ43YgRx8XQ-AsONbI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12841185357098698183",28.0434535,-81.9550312,"http://www.chopshopburgers.com/","chopshopburgers.com","Thursday: [11 AM-8 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [12-8 PM], Monday: [Closed], Tuesday: [11 AM-3 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMBqxRvh1yMoju8bvq8bAbPC8uIQZ2DcHL5suGG=w122-h92-k-no","12841185357098698183","ChIJa0fl4bQ43YgRx8XQ-AsONbI"
"Patio850 The Original","850 S Tennessee Ave, Lakeland, FL 33801","850 S Tennessee Ave","Lakeland, FL 33801","Restaurant, Wine bar",,,"","YES",602,4.3,"https://search.google.com/local/reviews?placeid=ChIJSww9h8w43YgR8FuDTak8x24&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7982415562385087472",28.0333257,-81.9559254,,,"Thursday: [4-9 PM], Friday: [4-10 PM], Saturday: [4-10 PM], Sunday: [Closed], Monday: [4-9 PM], Tuesday: [4-9 PM], Wednesday: [4-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPhrYsBEbPwP8R6SwPwB_LA8oiYdrzFcMj7okfG=w163-h92-k-no","7982415562385087472","ChIJSww9h8w43YgR8FuDTak8x24"
"Tapatio's Restaurante Mexicano","734 E Memorial Blvd, Lakeland, FL 33801","734 E Memorial Blvd","Lakeland, FL 33801","Mexican restaurant",,"(863) 686-6958","(863) 686-6958, +1 863-686-6958","YES",2930,4.5,"https://search.google.com/local/reviews?placeid=ChIJFemouFM_3YgRT1Z-KrcmYfk&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17969686556318783055",28.0553536,-81.949468,"https://www.tapatiosmemorial.com/","tapatiosmemorial.com","Thursday: [11 AM-8 PM], Friday: [11 AM-8 PM], Saturday: [11 AM-8 PM], Sunday: [11 AM-8 PM], Monday: [Closed], Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNTgYx8ehtD7I04nUdgDdeY45vbh9D53ptjCrcX=w122-h92-k-no","17969686556318783055","ChIJFemouFM_3YgRT1Z-KrcmYfk"
"Taco Bus","126 S Kentucky Ave, Lakeland, FL 33801","126 S Kentucky Ave","Lakeland, FL 33801","Mexican restaurant",,"(863) 816-5407","(863) 816-5407, +1 863-816-5407","YES",2799,4.6,"https://search.google.com/local/reviews?placeid=ChIJhzIQ4LQ43YgRhk-AlzBUZYc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9756296735444979590",28.043198699999998,-81.9550235,"http://taco-bus.com/","taco-bus.com","Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-3 AM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMaGqzAoz3f1s_Vyq9EiD3vaNlO_fYzdw0JY2_i=w122-h92-k-no","9756296735444979590","ChIJhzIQ4LQ43YgRhk-AlzBUZYc"
"Sazon Fry & Grill","1401 E Gary Rd, Lakeland, FL 33801","1401 E Gary Rd","Lakeland, FL 33801","Latin American restaurant, Restaurant",,"(863) 603-8430","(863) 603-8430, +1 863-603-8430","YES",142,4.6,"https://search.google.com/local/reviews?placeid=ChIJNf6KubU_3YgRpl9iiV5imGA&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6960421382272475046",28.049516399999998,-81.9370072,"https://sazonfryandgrill.froogleonline.io/","froogleonline.io","Thursday: [11 AM-8 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-8 PM], Monday: [Closed], Tuesday: [Closed], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMo6ZAhuA3OruEHGKL5TV_9CE41say2VVcpLhx7=w122-h92-k-no","6960421382272475046","ChIJNf6KubU_3YgRpl9iiV5imGA"
