"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Cress Restaurant","103 W Indiana Ave, DeLand, FL 32720","103 W Indiana Ave","DeLand, FL 32720","New American restaurant, American restaurant, Continental restaurant, Restaurant, Brasserie, Seafood restaurant, Steak house",,"(386) 734-3740","(386) 734-3740, +1 386-734-3740","YES",396,4.6,"https://search.google.com/local/reviews?placeid=ChIJmX10-3Ab54gR3laASRoCMtM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15218228402763880158",29.029086,-81.30372899999999,"http://www.cressrestaurant.com/","cressrestaurant.com","Thursday: [5-9 PM], Friday: [5-9 PM], Saturday: [5-9 PM], Sunday: [Closed], Monday: [Closed], Tuesday: [5-9 PM], Wednesday: [5-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMV2YZXAfIZGFtD69pJmM2dcrJb9l0OTYovLIhj=w80-h106-k-no","15218228402763880158","ChIJmX10-3Ab54gR3laASRoCMtM"
"Santorini Greek Cuisine","136 N Woodland Blvd, DeLand, FL 32720","136 N Woodland Blvd","DeLand, FL 32720","Greek restaurant, Restaurant",,"(386) 736-7726","(386) 736-7726, +1 386-736-7726","YES",1759,4.8,"https://search.google.com/local/reviews?placeid=ChIJM0cljHAb54gRTeHG6GbNzD4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4525217567476212045",29.029458199999997,-81.3036236,"http://www.santoriniindeland.com/","santoriniindeland.com","Thursday: [3-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [Closed], Monday: [Closed], Tuesday: [3-9 PM], Wednesday: [3-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNxIUIe_1SEC6OfwixaCIuTtCWGceW_GEiScEI0=w122-h92-k-no","4525217567476212045","ChIJM0cljHAb54gRTeHG6GbNzD4"
"The Parched Oak","145 N Woodland Blvd, DeLand, FL 32720","145 N Woodland Blvd","DeLand, FL 32720","Restaurant",,"(386) 873-4976","(386) 873-4976, +1 386-873-4976","YES",185,4.3,"https://search.google.com/local/reviews?placeid=ChIJFy41Z5gb54gRfrmTBE1MsgM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=266359221641263486",29.0296843,-81.3032556,"https://www.theparchedoak.com/menu.html","theparchedoak.com","Thursday: [11 AM-12 AM], Friday: [11 AM-2 AM], Saturday: [11 AM-2 AM], Sunday: [10 AM-1 AM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOCbl1jCxXPwboYAbNnXvn2UrRLSIa_M4eFYUoP=w122-h92-k-no","266359221641263486","ChIJFy41Z5gb54gRfrmTBE1MsgM"
"Pho Company Noodle House","111 N Woodland Blvd, DeLand, FL 32720","111 N Woodland Blvd","DeLand, FL 32720","Vietnamese restaurant, Pho restaurant",,"(386) 624-7623","(386) 624-7623, +1 386-624-7623","YES",565,4.4,"https://search.google.com/local/reviews?placeid=ChIJB48L4nAb54gR2TFx01jDFC8&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3392551205588775385",29.028552299999998,-81.3032202,"https://phocompanydeland.com/","phocompanydeland.com","Thursday: [11 AM-2:30 PM, 5-8 PM], Friday: [11 AM-2:30 PM, 5-9 PM], Saturday: [12-3 PM, 5-9 PM], Sunday: [Closed], Monday: [11 AM-2:30 PM, 5-8 PM], Tuesday: [11 AM-2:30 PM, 5-8 PM], Wednesday: [11 AM-2:30 PM, 5-8 PM]","https://lh5.googleusercontent.com/p/AF1QipP-nfJ1qx285LMr34viJdmc5pZVQ07gnkr1M9su=w80-h100-k-no","3392551205588775385","ChIJB48L4nAb54gR2TFx01jDFC8"
"El Taco Rico Mexican Kitchen","210 N Woodland Blvd, DeLand, FL 32720","210 N Woodland Blvd","DeLand, FL 32720","Restaurant, Mexican restaurant, Mexican torta restaurant, Taco restaurant",,"(386) 469-9462","(386) 469-9462, +1 386-469-9462","YES",369,4.3,"https://search.google.com/local/reviews?placeid=ChIJ2xTznKAb54gRLPBddxEKFqQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11823648941841182764",29.0303133,-81.30373929999999,"http://eltacoricomexkitchen.com/","eltacoricomexkitchen.com","Thursday: [11 AM-8:30 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [12-8 PM], Monday: [11 AM-8:30 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-8:30 PM]","https://lh5.googleusercontent.com/p/AF1QipOKq3S0gP2Xq1UZZ7j2CXwwVCLpR42iDnqACO1S=w194-h92-k-no","11823648941841182764","ChIJ2xTznKAb54gRLPBddxEKFqQ"
"Dobro's Restaurant","803 New York Ave W, DeLand, FL 32720","803 New York Ave W","DeLand, FL 32720","Italian restaurant, Caterer, Delivery Restaurant, Takeout Restaurant, Pizza delivery, Pizza restaurant, Pizza Takeout",,"(386) 279-0003","(386) 279-0003, +1 386-279-0003","YES",794,4.6,"https://search.google.com/local/reviews?placeid=ChIJbZmVCmkb54gRtK2s7CP8Ao4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10233018534563982772",29.0281536,-81.31860259999999,"https://www.dobrosdeland.com/","dobrosdeland.com","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [Closed], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPovufY_NK0VyhhGUOK1jHWDUc9lYAVFQSdvRq7=w163-h92-k-no","10233018534563982772","ChIJbZmVCmkb54gRtK2s7CP8Ao4"
"Half Wall DeLand","105 W Indiana Ave, DeLand, FL 32720","105 W Indiana Ave","DeLand, FL 32720","Restaurant, Sports bar",,"(386) 740-7720","(386) 740-7720, +1 386-740-7720","YES",2017,4.5,"https://search.google.com/local/reviews?placeid=ChIJj5tK-nAb54gRUFWV9mhE6ho&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1939437807140689232",29.0291917,-81.30382209999999,"http://thehalfwall.com/","thehalfwall.com","Thursday: [11:30 AM-11 PM], Friday: [11:30 AM-12 AM], Saturday: [11:30 AM-12 AM], Sunday: [11:30 AM-11 PM], Monday: [11:30 AM-11 PM], Tuesday: [11:30 AM-11 PM], Wednesday: [11:30 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipPjmgEvYWLvelNmXijuyZO8uvigAbnHAkxzvjAY=w113-h92-k-no","1939437807140689232","ChIJj5tK-nAb54gRUFWV9mhE6ho"
"Saigon Bistro","111 E Rich Ave, DeLand, FL 32724","111 E Rich Ave","DeLand, FL 32724","Asian restaurant",,"(386) 279-0198","(386) 279-0198, +1 386-279-0198","NO",85,4.2,"https://search.google.com/local/reviews?placeid=ChIJpWCCGb4b54gRSMJkEZeru4A&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9276196522819895880",29.0300919,-81.3029332,,,"Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [Closed], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM9PkxSuXmCEt_v8cKFtXOzYujTAJDexsAbm2ya=w122-h92-k-no","9276196522819895880","ChIJpWCCGb4b54gRSMJkEZeru4A"
"The Table Restaurant","100 E New York Ave, DeLand, FL 32724","100 E New York Ave","DeLand, FL 32724","Restaurant, Cocktail bar, Southern restaurant (US), Steak house",,"(386) 327-0407","(386) 327-0407, +1 386-327-0407","YES",1747,4.4,"https://search.google.com/local/reviews?placeid=ChIJS3MdGnEb54gRuIgOn2nA-Tc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4033466501159618744",29.0279039,-81.30331009999999,"http://www.thetabledeland.com/","thetabledeland.com","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [10 AM-3 PM, 4-10 PM], Sunday: [10 AM-3 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNX5J8e3qYMaKC2CXOLnQFNIz_C8GrNgdelp9po=w122-h92-k-no","4033466501159618744","ChIJS3MdGnEb54gRuIgOn2nA-Tc"
"Urban Brick","112 N Woodland Blvd, DeLand, FL 32720","112 N Woodland Blvd","DeLand, FL 32720","Pizza restaurant, Italian restaurant",,"(386) 337-7040","(386) 337-7040, +1 386-337-7040","YES",779,4.6,"https://search.google.com/local/reviews?placeid=ChIJi-7x_XAb54gR1RkaOv_nSss&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14648775821353425365",29.0285373,-81.30372849999999,"http://urbanbrick.com/","urbanbrick.com","Thursday: [5-9 PM], Friday: [5-9 PM], Saturday: [12-9 PM], Sunday: [12-9 PM], Monday: [5-9 PM], Tuesday: [Closed], Wednesday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipPxiV8Xe0tbA995eF_S145uZCi6Zf3h4iY9YSxE=w122-h92-k-no","14648775821353425365","ChIJi-7x_XAb54gR1RkaOv_nSss"
