"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"The Top","30 N Main St, Gainesville, FL 32601","30 N Main St","Gainesville, FL 32601","American restaurant, Restaurant, Vegan restaurant, Vegetarian restaurant",,"(352) 337-1188","(352) 337-1188, +1 352-337-1188","YES",2673,4.5,"https://search.google.com/local/reviews?placeid=ChIJ2-LhlIyj6IgRQ8m7dbD2M2I&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7076270677279099203",29.652562399999997,-82.3252783,"http://www.thetophub.com/","thetophub.com","Thursday: [5 PM-2 AM], Friday: [5 PM-2 AM], Saturday: [5 PM-2 AM], Sunday: [5 PM-2 AM], Monday: [Closed], Tuesday: [5 PM-2 AM], Wednesday: [5 PM-2 AM]","https://lh5.googleusercontent.com/p/AF1QipNYnQG3AhAXRw0081Q7CIDJAnRovxaA95q93Kc5=w122-h92-k-no","7076270677279099203","ChIJ2-LhlIyj6IgRQ8m7dbD2M2I"
"Harry's Seafood Bar & Grille","110 SE 1st St, Gainesville, FL 32601","110 SE 1st St","Gainesville, FL 32601","Seafood restaurant, Bar & grill",,"(352) 372-1555","(352) 372-1555, +1 352-372-1555","YES",2788,4.4,"https://search.google.com/local/reviews?placeid=ChIJZVwj1oyj6IgRkeifh6f1Nzg&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4050976489726797969",29.6508005,-82.32421649999999,"http://hookedonharrys.com/location/gainesville/","hookedonharrys.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPYLSqvJRy10z_6Iq92dAay9LfbYAj1rj7kPWUX=w122-h92-k-no","4050976489726797969","ChIJZVwj1oyj6IgRkeifh6f1Nzg"
"Paramount Grill","12 SW 1st Ave, Gainesville, FL 32601","12 SW 1st Ave","Gainesville, FL 32601","American restaurant",,"(352) 378-3398","(352) 378-3398, +1 352-378-3398","YES",284,4.3,"https://search.google.com/local/reviews?placeid=ChIJLZRY-4yj6IgR83ApzFhH1iM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2582329883051520243",29.651177999999998,-82.3255678,"http://www.paramountgrill.com/","paramountgrill.com","Thursday: [11 AM-1:30 PM, 5-9 PM], Friday: [11 AM-1:30 PM, 5-9:30 PM], Saturday: [5-9:30 PM], Sunday: [10 AM-2 PM], Monday: [Closed], Tuesday: [11 AM-1:30 PM, 5-9 PM], Wednesday: [11 AM-1:30 PM, 5-9 PM]","https://lh5.googleusercontent.com/p/AF1QipO7L6h-5sJ2Czo6wm_JHt5xtjNnF8P-O9heDjbI=w122-h92-k-no","2582329883051520243","ChIJLZRY-4yj6IgR83ApzFhH1iM"
"Alpin Bistro","15 SW 2nd St, Gainesville, FL 32601","15 SW 2nd St","Gainesville, FL 32601","French restaurant",,"(352) 204-2873","(352) 204-2873, +1 352-204-2873","YES",512,4.6,"https://search.google.com/local/reviews?placeid=ChIJFcVXV4yj6IgRfm1Kic5YW0M&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4853570667511704958",29.6514785,-82.3265083,"http://www.alpinbistro.com/","alpinbistro.com","Thursday: [5-10 PM], Friday: [5-11 PM], Saturday: [11 AM-2:30 PM, 5-11 PM], Sunday: [Closed], Monday: [Closed], Tuesday: [5-10 PM], Wednesday: [5-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOTnuDLACpi6UIneQRWBOE51IwM21QROUkNHKuk=w122-h92-k-no","4853570667511704958","ChIJFcVXV4yj6IgRfm1Kic5YW0M"
"Cry Baby’s","1 W University Ave, Gainesville, FL 32601","1 W University Ave","Gainesville, FL 32601","Restaurant, Cocktail bar",,"(352) 505-5026","(352) 505-5026, +1 352-505-5026","YES",329,4.4,"https://search.google.com/local/reviews?placeid=ChIJC2p8EbKj6IgRKUUx8t8-8L0&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13686508399140881705",29.651815499999998,-82.32518759999999,"https://www.toasttab.com/crybabys","toasttab.com","Thursday: [5 PM-12 AM], Friday: [5 PM-2 AM], Saturday: [5 PM-2 AM], Sunday: [Closed], Monday: [Closed], Tuesday: [5 PM-12 AM], Wednesday: [5 PM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipPI-ThEhiIWQL7m1bSVn4EE80nCIoRDpSYvxIc2=w122-h92-k-no","13686508399140881705","ChIJC2p8EbKj6IgRKUUx8t8-8L0"
"Original American Kitchen (OAK)","15 SE 1st Ave, Gainesville, FL 32601","15 SE 1st Ave","Gainesville, FL 32601","American restaurant, Brunch restaurant, Cocktail bar, Restaurant",,"(352) 283-8646","(352) 283-8646, +1 352-283-8646","YES",882,4.2,"https://search.google.com/local/reviews?placeid=ChIJsULi2Iyj6IgRF-z0u6VLOOg&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16733207590690155543",29.650803,-82.324388,"http://www.oakgainesville.com/","oakgainesville.com","Thursday: [11:30 AM-12 AM], Friday: [11:30 AM-1 AM], Saturday: [11 AM-2:30 PM, 3:30 PM-1 AM], Sunday: [11 AM-2:30 PM, 3:30-10 PM], Monday: [11:30 AM-10 PM], Tuesday: [11:30 AM-10 PM], Wednesday: [11:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOQb6yw7cGtGE49eKlqYl1geXRO0G3AhsqgwiMW=w125-h92-k-no","16733207590690155543","ChIJsULi2Iyj6IgRF-z0u6VLOOg"
"Underground Kitchen","722 NW 5th Ave, Gainesville, FL 32601","722 NW 5th Ave","Gainesville, FL 32601","Southern restaurant (US), Restaurant, Soul food restaurant",,"(352) 451-4113","(352) 451-4113, +1 352-451-4113","YES",119,4.9,"https://search.google.com/local/reviews?placeid=ChIJvx3vqy2j6IgRcfF5XqysghA&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1189703107898634609",29.6557437,-82.3323971,"https://chefempowerment.org/","chefempowerment.org","Thursday: [4-8 PM], Friday: [4-8 PM], Saturday: [4-8 PM], Sunday: [3-8 PM], Monday: [Closed], Tuesday: [Closed], Wednesday: [4-8 PM]","https://lh5.googleusercontent.com/p/AF1QipPklDP5PN-6iEhBaO2iww5DSRh2M7uhULCv8A63=w80-h106-k-no","1189703107898634609","ChIJvx3vqy2j6IgRcfF5XqysghA"
"Pop-A-Top Sandwich Shop","2 E University Ave, Gainesville, FL 32601","2 E University Ave","Gainesville, FL 32601","Sandwich shop",,"(352) 692-0068","(352) 692-0068, +1 352-692-0068","YES",73,4.4,"https://search.google.com/local/reviews?placeid=ChIJpx39v4yj6IgR3062Qpej3Gs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7772266926989266655",29.652131599999997,-82.3248309,"https://m.facebook.com/popatopcornerstore/","m.facebook.com","Thursday: [11 AM-12 AM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [Closed], Monday: [11 AM-5 PM], Tuesday: [11 AM-5 PM], Wednesday: [11 AM-5 PM]","https://lh5.googleusercontent.com/p/AF1QipPRdDa16E0J9K59QisFpQZ2RJPGARLFA19JjAQv=w122-h92-k-no","7772266926989266655","ChIJpx39v4yj6IgR3062Qpej3Gs"
"Relish Downtown","201 SE 1st St, Gainesville, FL 32601","201 SE 1st St","Gainesville, FL 32601","Fast food restaurant",,"(352) 554-5443","(352) 554-5443, +1 352-554-5443","YES",379,4.4,"https://search.google.com/local/reviews?placeid=ChIJQ073LY2j6IgRpTlcZa70Q0E&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4702871465766959525",29.649881999999998,-82.323781,"http://relishusa.com/","relishusa.com","Thursday: [10:30 AM-10 PM], Friday: [10:30 AM-12 AM], Saturday: [10:30 AM-12 AM], Sunday: [10:30 AM-1:30 AM], Monday: [10:30 AM-9 PM], Tuesday: [10:30 AM-9 PM], Wednesday: [10:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMkPq22_Wk9pa14_LQqwdGZQZYHSqHCATBWxCRD=w121-h92-k-no","4702871465766959525","ChIJQ073LY2j6IgRpTlcZa70Q0E"
"Germain's Chicken Sandwiches","220 NW 8th Ave #10, Gainesville, FL 32601","220 NW 8th Ave #10","Gainesville, FL 32601","Fast food restaurant, Sandwich shop",,"(352) 554-4545","(352) 554-4545, +1 352-554-4545","YES",506,4.9,"https://search.google.com/local/reviews?placeid=ChIJIZBCHZ6j6IgRcKC_Bqug8AQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=355961026975342704",29.6598534,-82.327512,"http://germainsgnv.com/","germainsgnv.com","Thursday: [11 AM-8 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [Closed], Monday: [11 AM-8 PM], Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipN2Oup8sC9AJsH0eHk7s6gt2cGwuBAUHlJTJejL=w80-h106-k-no","355961026975342704","ChIJIZBCHZ6j6IgRcKC_Bqug8AQ"
