"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Ruby Tuesday","2235 E Gulf to Lake Hwy, Inverness, FL 34453","2235 E Gulf to Lake Hwy","Inverness, FL 34453","American restaurant",,"(352) 344-1752","(352) 344-1752, +1 352-344-1752","YES",2118,4.1,"https://search.google.com/local/reviews?placeid=ChIJ4-yPsM9y6IgRj2yW8RH2nxU&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1558234553021525135",28.856063799999998,-82.397103,"https://rubytuesday.com/","rubytuesday.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOg1Tw6Jw5o-LtNpmXBVRkfsVgPn0MHecVsALDR=w163-h92-k-no","1558234553021525135","ChIJ4-yPsM9y6IgRj2yW8RH2nxU"
"Stumpknockers Restaurants","110 W Main St, Inverness, FL 34450","110 W Main St","Inverness, FL 34450","Seafood restaurant",,"(352) 726-2212","(352) 726-2212, +1 352-726-2212","YES",2254,4.3,"https://search.google.com/local/reviews?placeid=ChIJtWgUBTFz6IgR78Mlb2_UJuk&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16800349035023418351",28.836205099999997,-82.3311449,,,"Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [11 AM-9 PM], Monday: [Closed], Tuesday: [Closed], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMm6B_Aw2kvllSmTVrr9shbz1RWKGkRy8cXR3eV=w163-h92-k-no","16800349035023418351","ChIJtWgUBTFz6IgR78Mlb2_UJuk"
"El Ranchito Mexican Restaurant","2645 E Gulf to Lake Hwy, Inverness, FL 34453","2645 E Gulf to Lake Hwy","Inverness, FL 34453","Mexican restaurant, Family restaurant, Restaurant",,"(352) 341-0707","(352) 341-0707, +1 352-341-0707","YES",921,4.2,"https://search.google.com/local/reviews?placeid=ChIJ3Ty4BaBy6IgRS5dfQuCy-tE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15130602574360581963",28.854335,-82.39000089999999,,,"Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-10 PM], Sunday: [12-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOPYqh651DZVHLge4N2m9dPt27xKBTAIjC2lWlf=w163-h92-k-no","15130602574360581963","ChIJ3Ty4BaBy6IgRS5dfQuCy-tE"
"Olive Garden Italian Restaurant","2151 E Gulf to Lake Hwy, Inverness, FL 34453","2151 E Gulf to Lake Hwy","Inverness, FL 34453","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",,"(352) 344-0943","(352) 344-0943, +1 352-344-0943","YES",3175,4.4,"https://search.google.com/local/reviews?placeid=ChIJxSAyLc5y6IgRhJZP3Otsh-M&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16395192728734897796",28.856189399999998,-82.397911,"https://www.olivegarden.com/locations/fl/inverness/inverness/1854?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:inverness-fl-1854_pl:locurl_rd:1698","olivegarden.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOmAyP0JoqFGSYqNuCpT4JzJU0ThWMn8Tswd9tw=w189-h92-k-no","16395192728734897796","ChIJxSAyLc5y6IgRhJZP3Otsh-M"
"Los Magueyes Inverness","1674 US-41, Inverness, FL 34450","1674 US-41","Inverness, FL 34450","Mexican restaurant",,"(352) 765-3914","(352) 765-3914, +1 352-765-3914","YES",2212,4.4,"https://search.google.com/local/reviews?placeid=ChIJeXNX2wFz6IgREOuDC0KAP-g&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16735235761481444112",28.8453587,-82.34412859999999,"http://www.losmagueyesmexrest.com/","losmagueyesmexrest.com","Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPWMdWfephp-BGjtXCLO7yhg9NDorSfUcYaoBRF=w122-h92-k-no","16735235761481444112","ChIJeXNX2wFz6IgREOuDC0KAP-g"
"Burger Station","2700 N Florida Ave, Hernando, FL 34442","2700 N Florida Ave","Hernando, FL 34442","Hamburger restaurant",,"(352) 726-0040","(352) 726-0040, +1 352-726-0040","YES",1938,4.6,"https://search.google.com/local/reviews?placeid=ChIJMWo3jRJy6IgROa5q4dfbPs8&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14933615134653460025",28.902347,-82.37641599999999,"https://www.facebook.com/BurgerStationHernando","facebook.com","Thursday: [11 AM-8 PM], Friday: [11 AM-8 PM], Saturday: [11 AM-8 PM], Sunday: [Closed], Monday: [Closed], Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMcJr9Q5fu9slNwqK3xSKGsDv5h1v-GP5g-wC1-=w163-h92-k-no","14933615134653460025","ChIJMWo3jRJy6IgROa5q4dfbPs8"
"Chili's Grill & Bar","800 W Main St, Inverness, FL 34450","800 W Main St","Inverness, FL 34450","Restaurant, American restaurant, Bar, Bar & grill, Family restaurant, Hamburger restaurant, Mexican restaurant, Tex-Mex restaurant",,"(352) 565-5571","(352) 565-5571, +1 352-565-5571","YES",388,4.1,"https://search.google.com/local/reviews?placeid=ChIJ2XbFhtlz6IgRGh1V6f3h6nI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8280679345531723034",28.8363654,-82.339495,"https://www.chilis.com/locations/us/florida/inverness/inverness/?utm_source=google&utm_medium=local&utm_campaign=Chilis","chilis.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOq7tTMH16fykmi9naauFFGUFg4f7GfCc9Pn9ZJ=w80-h106-k-no","8280679345531723034","ChIJ2XbFhtlz6IgRGh1V6f3h6nI"
"Coach's Pub & Eatery","114 W Main St, Inverness, FL 34450","114 W Main St","Inverness, FL 34450","American restaurant, Chicken wings restaurant, Hamburger restaurant, Sports bar, Steak house",,"(352) 344-3333","(352) 344-3333, +1 352-344-3333","YES",2133,4.3,"https://search.google.com/local/reviews?placeid=ChIJA-aZBjFz6IgRlYzYxB8P-uQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16499516813946162325",28.8362202,-82.3313276,"http://www.coachspubeatery.com/","coachspubeatery.com","Thursday: [11 AM-11 PM], Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-11 PM], Monday: [11 AM-11 PM], Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipPvm6NFgUR4FG0w054faiPwW8y3kR3oFY9Yoj9Q=w122-h92-k-no","16499516813946162325","ChIJA-aZBjFz6IgRlYzYxB8P-uQ"
"Applebee's Grill + Bar","1901 W Main St, Inverness, FL 34452","1901 W Main St","Inverness, FL 34452","Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",,"(352) 560-0300","(352) 560-0300, +1 352-560-0300","YES",2626,3.9,"https://search.google.com/local/reviews?placeid=ChIJAUXbgtFy6IgR4-mOe7BHn8w&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14744582528347072995",28.8357368,-82.3534306,"https://restaurants.applebees.com/en-us/fl/inverness/1901-w.-main-street-95018?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=95018&utm_content=website","restaurants.applebees.com","Thursday: [11 AM-1 AM], Friday: [11 AM-1 AM], Saturday: [11 AM-1 AM], Sunday: [11 AM-12 AM], Monday: [11 AM-12 AM], Tuesday: [11 AM-12 AM], Wednesday: [11 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipNxnh8HbiQfw4ArxMcK64_klXS3M4pvzCCr8WQO=w122-h92-k-no","14744582528347072995","ChIJAUXbgtFy6IgR4-mOe7BHn8w"
"Sauced Hogs","2408 N Fatima Ave, Hernando, FL 34442","2408 N Fatima Ave","Hernando, FL 34442","Barbecue restaurant, Bar",,"(352) 419-8990","(352) 419-8990, +1 352-419-8990","YES",1390,4.5,"https://search.google.com/local/reviews?placeid=ChIJlaxbnYtt6IgRPYjFWE3k2SI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2511289288088717373",28.8982532,-82.3925271,"https://www.facebook.com/sauced.hogs","facebook.com","Thursday: [11:30 AM-9 PM], Friday: [11:30 AM-10 PM], Saturday: [11:30 AM-10 PM], Sunday: [12-8 PM], Monday: [11:30 AM-9 PM], Tuesday: [11:30 AM-9 PM], Wednesday: [11:30 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMj2GNm2axThWYuv9tVL1d-32BGcJ9YTdJt63PY=w122-h92-k-no","2511289288088717373","ChIJlaxbnYtt6IgRPYjFWE3k2SI"
