"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"El Potro Mexican Restaurant","7200 Normandy Blvd #12, Jacksonville, FL 32205","7200 Normandy Blvd #12","Jacksonville, FL 32205","Restaurant, Mexican restaurant",,"(904) 378-9822","(904) 378-9822, +1 904-378-9822","YES",1119,4.3,"https://search.google.com/local/reviews?placeid=ChIJAxY8sMW45YgRnMZ9SGz-5qw&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12458925160193181340",30.2994241,-81.76515859999999,"http://www.elpotrorestaurant.com/","elpotrorestaurant.com","Thursday: [11 AM-10 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [Closed], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipM-ipvrE4ojlITNJBuDZGdoc2KelSAQcRay5UuO=w189-h92-k-no","12458925160193181340","ChIJAxY8sMW45YgRnMZ9SGz-5qw"
"Wally's Ribs & Sea Food","Jacksonville, FL 32205","Jacksonville, FL 32205","","American restaurant, Barbecue restaurant, Seafood restaurant",,,"","NO",2,4,"https://search.google.com/local/reviews?placeid=ChIJow1JfSC55YgRexosNCKyYPg&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17897500779144288891",30.3148834,-81.7594877,,,"Thursday: [11 AM-9 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPDPyBhN01njTJPDhNM8a2dBa6QgSQPc8kL847W=w80-h106-k-no","17897500779144288891","ChIJow1JfSC55YgRexosNCKyYPg"
"Cross Creek BBQ and Steakhouse","850 Lane Ave S, Jacksonville, FL 32205","850 Lane Ave S","Jacksonville, FL 32205","Restaurant, Barbecue restaurant, Steak house",,"(904) 783-9579","(904) 783-9579, +1 904-783-9579","YES",3469,4.1,"https://search.google.com/local/reviews?placeid=ChIJowB-c-G45YgR_WOURxzQBes&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16935170793675187197",30.3104712,-81.75234499999999,"http://www.crosscreeksteakhouse.com/","crosscreeksteakhouse.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOJhusmssbaU43EGa_EppM-PYDPb_Bg6ImnKA2L=w80-h106-k-no","16935170793675187197","ChIJowB-c-G45YgR_WOURxzQBes"
"Waffle House","7180 Normandy Blvd, Jacksonville, FL 32205","7180 Normandy Blvd","Jacksonville, FL 32205","Breakfast restaurant, American restaurant, Diner, Family restaurant, Takeout Restaurant",,"(904) 781-9594","(904) 781-9594, +1 904-781-9594","YES",1514,4,"https://search.google.com/local/reviews?placeid=ChIJvUrSq8W45YgR5EU98zRSE-U&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16506627446615655908",30.3000233,-81.7653213,"https://locations.wafflehouse.com/jacksonville-fl-2104","locations.wafflehouse.com","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOG9gbhCHsURTf6m6XXGfOeTgGYa_wjdC9Yv7-T=w80-h106-k-no","16506627446615655908","ChIJvUrSq8W45YgR5EU98zRSE-U"
"Panda Express","6752 Normandy Blvd, Jacksonville, FL 32205","6752 Normandy Blvd","Jacksonville, FL 32205","Chinese restaurant, Asian restaurant, Restaurant",,"(904) 693-9616","(904) 693-9616, +1 904-693-9616","YES",974,3.8,"https://search.google.com/local/reviews?placeid=ChIJk2iiSN245YgR1av1bH2oGQs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=799855665487391701",30.3030628,-81.75806709999999,"https://www.pandaexpress.com/locations/fl/jacksonville/1770","pandaexpress.com","Thursday: [10 AM-9:30 PM], Friday: [10 AM-10 PM], Saturday: [10 AM-10 PM], Sunday: [10:30 AM-9:30 PM], Monday: [10 AM-9:30 PM], Tuesday: [10 AM-9:30 PM], Wednesday: [10 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipNfkxsZCWiLursAkXyZP2u-ScaZmq9kg9seMi5O=w80-h106-k-no","799855665487391701","ChIJk2iiSN245YgR1av1bH2oGQs"
"Sonic Drive-In","7045 Normandy Blvd, Jacksonville, FL 32205","7045 Normandy Blvd","Jacksonville, FL 32205","Fast food restaurant",,"(904) 786-8887","(904) 786-8887, +1 904-786-8887","YES",2672,3.5,"https://search.google.com/local/reviews?placeid=ChIJe1C-48S45YgRibdMU5nEjY4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10272082487908546441",30.3011622,-81.764844,"https://www.sonicdrivein.com/locations/us/fl/jacksonville/7045-normandy-blvd/store-4120/?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link","sonicdrivein.com","Thursday: [7 AM-1 AM], Friday: [7 AM-2 AM], Saturday: [7 AM-2 AM], Sunday: [7 AM-1 AM], Monday: [7 AM-1 AM], Tuesday: [7 AM-1 AM], Wednesday: [7 AM-1 AM]","https://lh5.googleusercontent.com/p/AF1QipMJZK8ajV5-nsUW5j5X60GyYoRezTlkM64W21oT=w122-h92-k-no","10272082487908546441","ChIJe1C-48S45YgRibdMU5nEjY4"
"Burger King","6634 Normandy Blvd, Jacksonville, FL 32205","6634 Normandy Blvd","Jacksonville, FL 32205","Restaurant, Fast food restaurant",,"(904) 786-5554","(904) 786-5554, +1 904-786-5554","YES",1417,3.2,"https://search.google.com/local/reviews?placeid=ChIJMxOwsOe45YgRKi8lkSOES4Q&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9532858324553641770",30.304327699999998,-81.7546977,"https://burgerking.com/store-locator/store/restaurant_2959","burgerking.com","Thursday: [7 AM-11 PM], Friday: [7 AM-11 PM], Saturday: [7 AM-11 PM], Sunday: [7 AM-11 PM], Monday: [7 AM-11 PM], Tuesday: [7 AM-11 PM], Wednesday: [7 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipPNrvHuvwUTnEjJ-Y3Jy_1y3iIOJNSLnXVzR9QH=w122-h92-k-no","9532858324553641770","ChIJMxOwsOe45YgRKi8lkSOES4Q"
"Lewey's Seafood & Wings","6510 Normandy Blvd, Jacksonville, FL 32205","6510 Normandy Blvd","Jacksonville, FL 32205","Seafood restaurant, Chicken wings restaurant, Fast food restaurant",,"(904) 240-9054","(904) 240-9054, +1 904-240-9054","YES",458,4.2,"https://search.google.com/local/reviews?placeid=ChIJb0yM2jFL5IgRN7-hnAN_OU4&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5636676062120361783",30.305398999999998,-81.7523231,"https://leweys-seafood-wings.business.site/?utm_source=gmb&utm_medium=referral","business.site","Thursday: [11 AM-9 PM], Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [Closed], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOfLleQ3kWURk1kWj33CRIAC6rlTLHX98gkV6QG=w122-h92-k-no","5636676062120361783","ChIJb0yM2jFL5IgRN7-hnAN_OU4"
"Captain D's","6550 Normandy Blvd, Jacksonville, FL 32205","6550 Normandy Blvd","Jacksonville, FL 32205","Seafood restaurant, American restaurant, Family restaurant, Fast food restaurant, Fish & chips restaurant",,"(904) 781-2727","(904) 781-2727, +1 904-781-2727","YES",1596,3.7,"https://search.google.com/local/reviews?placeid=ChIJoYwkV-a45YgRBpoYHjmmyq8&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12667119666181216774",30.304986,-81.753618,"https://locations.captainds.com/ll/US/FL/Jacksonville/6550-Normandy-Blvd","locations.captainds.com","Thursday: [10:30 AM-10 PM], Friday: [10:30 AM-11 PM], Saturday: [10:30 AM-11 PM], Sunday: [10:30 AM-10 PM], Monday: [10:30 AM-10 PM], Tuesday: [10:30 AM-10 PM], Wednesday: [10:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO8-I99qeSmB32XlLQjn5ObLgx4BJngOuF_mOgV=w122-h92-k-no","12667119666181216774","ChIJoYwkV-a45YgRBpoYHjmmyq8"
"Wendy's","7211 Normandy Blvd, Jacksonville, FL 32205","7211 Normandy Blvd","Jacksonville, FL 32205","Fast food restaurant, Hamburger restaurant, Restaurant",,"(904) 378-1290","(904) 378-1290, +1 904-378-1290","YES",1369,3.4,"https://search.google.com/local/reviews?placeid=ChIJS_DwCsW45YgRLnc2aV1aV9c&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15516970398371968814",30.300447899999998,-81.7662862,"https://locations.wendys.com/united-states/fl/jacksonville/7211-normandy-blvd?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US","locations.wendys.com","Thursday: [6:30 AM-12 AM], Friday: [6:30 AM-1 AM], Saturday: [6:30 AM-1 AM], Sunday: [6:30 AM-12 AM], Monday: [6:30 AM-12 AM], Tuesday: [6:30 AM-12 AM], Wednesday: [6:30 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipNfw3nLeBSTyte1z2HXELihv8qtIN-pPG76DhJc=w122-h92-k-no","15516970398371968814","ChIJS_DwCsW45YgRLnc2aV1aV9c"
