"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Cheddar's Scratch Kitchen","16455 SW 88th St, Miami, FL 33196","16455 SW 88th St","Miami, FL 33196","Traditional American restaurant, Chicken restaurant, Family restaurant, Takeout Restaurant, Soul food restaurant, Southern restaurant (US)",,"(305) 388-6236","(305) 388-6236, +1 305-388-6236","YES",1012,4.3,"https://search.google.com/local/reviews?placeid=ChIJK0u2GOLr2YgRtA-M6IFZXxs&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1972393576298713012",25.6844649,-80.45848389999999,"https://www.cheddars.com/locations/fl/miami/kendall/2200?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:miami-fl-2200_pl:locurl_rd:1169","cheddars.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO9PMv-dw1kOBsMqVhjJZxApaZvRHnz9UUZTbUJ=w122-h92-k-no","1972393576298713012","ChIJK0u2GOLr2YgRtA-M6IFZXxs"
"Olive Garden Italian Restaurant","8925 SW 162nd Ave, Miami, FL 33196","8925 SW 162nd Ave","Miami, FL 33196","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",,"(305) 408-6810","(305) 408-6810, +1 305-408-6810","YES",2963,4.5,"https://search.google.com/local/reviews?placeid=ChIJ2eJmXUDr2YgRwS8UPF-lHzo&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4188248006926282689",25.683518199999998,-80.4548081,"https://www.olivegarden.com/locations/fl/miami/miami-kendall/4493?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:miami-fl-4493_pl:locurl_rd:1822","olivegarden.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOr6kqpbLWYTraHCxjYSHWzNfqgPXVrVTOySFf_=w163-h92-k-no","4188248006926282689","ChIJ2eJmXUDr2YgRwS8UPF-lHzo"
"Los Verdes 88","9135 SW 162nd Ave, Miami, FL 33196","9135 SW 162nd Ave","Miami, FL 33196","Hamburger restaurant",,"(786) 558-5378","(786) 558-5378, +1 786-558-5378","YES",278,4.4,"https://search.google.com/local/reviews?placeid=ChIJscJd1TDr2YgRXUDY2QKehOo&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16898805436882894941",25.6821195,-80.45544579999999,"http://www.losverdes.com/","losverdes.com","Thursday: [11 AM-1 AM], Friday: [11 AM-2 AM], Saturday: [11 AM-2 AM], Sunday: [11 AM-1 AM], Monday: [11 AM-1 AM], Tuesday: [11 AM-1 AM], Wednesday: [11 AM-1 AM]","https://lh5.googleusercontent.com/p/AF1QipPP5JV6YuliNdXgXLcLlKBZcM8M59ik7OxDv568=w122-h92-k-no","16898805436882894941","ChIJscJd1TDr2YgRXUDY2QKehOo"
"Little Louies Italian Kitchen","4254 SW 152nd Ave, Miami, FL 33185","4254 SW 152nd Ave","Miami, FL 33185","Italian restaurant, Caterer, Delivery service, Pizza delivery, Pizza restaurant, Pizza Takeout, Self service restaurant, Sicilian restaurant",,"(305) 225-1500","(305) 225-1500, +1 305-225-1500","YES",291,4.2,"https://search.google.com/local/reviews?placeid=ChIJad_yIva_2YgRQem5lFp_vz8&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4593530171960191297",25.7271328,-80.44124409999999,"https://littlelouiesmiami.com/","littlelouiesmiami.com","Thursday: [11 AM-9:30 PM], Friday: [11 AM-10:30 PM], Saturday: [11 AM-10:30 PM], Sunday: [11 AM-9:30 PM], Monday: [11 AM-9:30 PM], Tuesday: [11 AM-9:30 PM], Wednesday: [11 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipOEO_U4kKWVt_t6fEfVO-ptTXBZkyGySjRcIARc=w176-h92-k-no","4593530171960191297","ChIJad_yIva_2YgRQem5lFp_vz8"
"Moon Thai & Japanese","16311 N Kendall Dr, Kendall, FL 33196","16311 N Kendall Dr","Kendall, FL 33196","Asian restaurant, Japanese restaurant, Thai restaurant",,"(305) 388-5901","(305) 388-5901, +1 305-388-5901","YES",837,4.3,"https://search.google.com/local/reviews?placeid=ChIJSzd6J4Hq2YgRa09QXwTObqc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12064806969946427243",25.6849562,-80.4563372,"https://moonthai.com/","moonthai.com","Thursday: [4:30-11 PM], Friday: [4:30-11:30 PM], Saturday: [3-11:30 PM], Sunday: [3-10:30 PM], Monday: [4:30-11 PM], Tuesday: [4:30-11 PM], Wednesday: [4:30-11 PM]","https://lh5.googleusercontent.com/p/AF1QipNVe-Fm806SHKdOHHiNmdHNr5DsFTQqhIXRvngn=w214-h92-k-no","12064806969946427243","ChIJSzd6J4Hq2YgRa09QXwTObqc"
"Hurricane Grill & Wings-Kendall","15500 SW 88th St, Miami, FL 33196","15500 SW 88th St","Miami, FL 33196","American restaurant, Chicken wings restaurant, Sports bar",,"(305) 383-5601","(305) 383-5601, +1 305-383-5601","YES",1089,4.4,"https://search.google.com/local/reviews?placeid=ChIJSzXzki3A2YgRzvSbBY_HTIQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9533213928324854990",25.6828894,-80.4445169,"https://locations.hurricanewings.com/ll/US/FL/Miami/15500-SW-88th-Street","locations.hurricanewings.com","Thursday: [12 PM-12 AM], Friday: [12 PM-12 AM], Saturday: [12 PM-12 AM], Sunday: [12 PM-12 AM], Monday: [12 PM-12 AM], Tuesday: [12 PM-12 AM], Wednesday: [12 PM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipOrK8e40YNZKPO195-_Mcq2Ls61lhj0WUrRtK19=w122-h92-k-no","9533213928324854990","ChIJSzXzki3A2YgRzvSbBY_HTIQ"
"Texas Roadhouse","9045 SW 162nd Ave W, Miami, FL 33196","9045 SW 162nd Ave W","Miami, FL 33196","Steak house, American restaurant, Restaurant",,"(305) 907-5464","(305) 907-5464, +1 305-907-5464","YES",2244,4.5,"https://search.google.com/local/reviews?placeid=ChIJVYOoqp_r2YgRcutilAJh1yA&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2366466792913824626",25.681983,-80.4568812,"https://www.texasroadhouse.com/locations/florida/west-kendall?utm_source=listing&utm_medium=search","texasroadhouse.com","Thursday: [4-10 PM], Friday: [11:30 AM-11 PM], Saturday: [11:30 AM-11 PM], Sunday: [11:30 AM-10 PM], Monday: [4-10 PM], Tuesday: [4-10 PM], Wednesday: [4-10 PM]","https://lh5.googleusercontent.com/p/AF1QipONrmzKlahtOSXSiH2VYgkHRCmjDP3J6xWXjLYj=w122-h92-k-no","2366466792913824626","ChIJVYOoqp_r2YgRcutilAJh1yA"
"Pollo Tropical","16201 SW 88th St, Miami, FL 33196","16201 SW 88th St","Miami, FL 33196","Chicken restaurant, Cuban restaurant",,"(305) 752-1877","(305) 752-1877, +1 305-752-1877","YES",1685,3.8,"https://search.google.com/local/reviews?placeid=ChIJnUjYeirA2YgRrtuJAjXuPYM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9456976703991176110",25.6845443,-80.45438539999999,"https://www.pollotropical.com/","pollotropical.com","Thursday: [10 AM-12 AM], Friday: [10 AM-12 AM], Saturday: [10 AM-12 AM], Sunday: [10 AM-12 AM], Monday: [10 AM-12 AM], Tuesday: [10 AM-12 AM], Wednesday: [10 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipNPEKpuSMXreJf2Cxf_-ZM4PoE-qVZ4MikDZHR6=w122-h92-k-no","9456976703991176110","ChIJnUjYeirA2YgRrtuJAjXuPYM"
"Ciao Ristorante","16347 SW 88th St, Miami, FL 33196","16347 SW 88th St","Miami, FL 33196","Italian restaurant, Pasta shop, Pizza delivery, Pizza restaurant, Pizza Takeout, Restaurant",,"(786) 803-8586","(786) 803-8586, +1 786-803-8586","YES",309,4.4,"https://search.google.com/local/reviews?placeid=ChIJz0bdudbr2YgRkZo2oregj9g&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15604867944423004817",25.684893,-80.45752399999999,"https://ciaoristorantemiami.com/","ciaoristorantemiami.com","Thursday: [5-9 PM], Friday: [12-10 PM], Saturday: [12-10 PM], Sunday: [12-9 PM], Monday: [Closed], Tuesday: [5-9 PM], Wednesday: [5-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNBUkG4_UNal7OHvJ9cibXLjFch6Css3MGkxD_3=w122-h92-k-no","15604867944423004817","ChIJz0bdudbr2YgRkZo2oregj9g"
"Fuddruckers","Southwest 153rd Place, N Kendall Dr #15400, Miami, FL 33196","Southwest 153rd Place","N Kendall Dr #15400","Hamburger restaurant, American restaurant, Caterer, Fast food restaurant",,"(305) 380-8340","(305) 380-8340, +1 305-380-8340","YES",2860,4.6,"https://search.google.com/local/reviews?placeid=ChIJDyaSPzLA2YgRCoAZjkLiSxM&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1390453685453684746",25.6839294,-80.4441452,"https://www.fuddruckers.com/miami-kendall-drive","fuddruckers.com","Thursday: [11 AM-10 PM], Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMjHCiXIQjXn-OS5ANdD84Oez9hBw71FD3vBtlK=w122-h92-k-no","1390453685453684746","ChIJDyaSPzLA2YgRCoAZjkLiSxM"
