"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Bonefish Grill","1455 N University Dr, Coral Springs, FL 33071","1455 N University Dr","Coral Springs, FL 33071","Seafood restaurant, American restaurant, Bar & grill, Brunch restaurant, Californian restaurant, Caterer, Gluten-free restaurant, Takeout Restaurant, Restaurant, Wine bar",,"(954) 509-0405","(954) 509-0405, +1 954-509-0405","YES",1966,4.4,"https://search.google.com/local/reviews?placeid=ChIJDfnW5BQF2YgRYehZAeoRx-c&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16701337439869462625",26.249001099999997,-80.2524873,"https://locations.bonefishgrill.com/florida/coral-springs/1455-n.-university-drive?y_source=1_MTU1MDI2ODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","locations.bonefishgrill.com","Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPbikx11odrZ-RMTffSxslhIpgzGOiGIjIn14fr=w122-h92-k-no","16701337439869462625","ChIJDfnW5BQF2YgRYehZAeoRx-c"
"Chili's Grill & Bar","1650 N University Dr, Coral Springs, FL 33071","1650 N University Dr","Coral Springs, FL 33071","Restaurant, American restaurant, Bar, Bar & grill, Family restaurant, Hamburger restaurant, Mexican restaurant, Tex-Mex restaurant",,"(954) 341-6604","(954) 341-6604, +1 954-341-6604","YES",2425,4,"https://search.google.com/local/reviews?placeid=ChIJnZH2NRUF2YgR4wt2ZegUbYc&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9758478955948936163",26.251285,-80.253996,"https://www.chilis.com/locations/us/florida/coral-springs/coral-springs?utm_source=google&utm_medium=local&utm_campaign=Chilis","chilis.com","Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-11 PM], Monday: [11 AM-11 PM], Tuesday: [11 AM-11 PM], Wednesday: [11 AM-11 PM], Thursday: [11 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipOIxYwbq1ij8cTZCr_LmO6rK5puhpVRZNf_vmxf=w163-h92-k-no","9758478955948936163","ChIJnZH2NRUF2YgR4wt2ZegUbYc"
"BJ's Restaurant & Brewhouse","1580 N University Dr, Coral Springs, FL 33071","1580 N University Dr","Coral Springs, FL 33071","Restaurant, Bar, Brewery, Sports bar",,"(954) 227-7055","(954) 227-7055, +1 954-227-7055","YES",2559,4.1,"https://search.google.com/local/reviews?placeid=ChIJn_rfLRUF2YgRDfjak5b1TFI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5930384836414601229",26.250415099999998,-80.2539855,"https://www.bjsrestaurants.com/locations/fl/coral-springs?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","bjsrestaurants.com","Friday: [11 AM-12 AM], Saturday: [11 AM-12 AM], Sunday: [11 AM-12 AM], Monday: [11 AM-12 AM], Tuesday: [11 AM-12 AM], Wednesday: [11 AM-12 AM], Thursday: [11 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipNBebMGhzS5tQZqymWP06A_pqpMQJz-bAa0b_gq=w122-h92-k-no","5930384836414601229","ChIJn_rfLRUF2YgRDfjak5b1TFI"
"Miller's Ale House","1915 N University Dr, Coral Springs, FL 33071","1915 N University Dr","Coral Springs, FL 33071","Restaurant, American restaurant, Bar, Brewpub, Chicken wings restaurant, Takeout Restaurant, Seafood restaurant, Sports bar, Steak house",,"(954) 825-0574","(954) 825-0574, +1 954-825-0574","YES",3066,4.1,"https://search.google.com/local/reviews?placeid=ChIJt6cvUD4F2YgRI2rA1sxLIuE&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16222612150890293795",26.2546902,-80.2512259,"https://millersalehouse.com/locations/coral-springs/?utm_source=gmb&utm_medium=organic","millersalehouse.com","Friday: [11:30 AM-2 AM], Saturday: [11 AM-2 AM], Sunday: [11 AM-1 AM], Monday: [11:30 AM-1 AM], Tuesday: [11:30 AM-1 AM], Wednesday: [11:30 AM-1 AM], Thursday: [11:30 AM-1 AM]","https://lh5.googleusercontent.com/p/AF1QipPkTls9HGmhCc1MazwgTr4lm9Udi3qXa1zSBEnl=w204-h92-k-no","16222612150890293795","ChIJt6cvUD4F2YgRI2rA1sxLIuE"
"Olive Garden Italian Restaurant","1555 N University Dr, Coral Springs, FL 33071","1555 N University Dr","Coral Springs, FL 33071","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",,"(954) 344-5226","(954) 344-5226, +1 954-344-5226","YES",3779,4.3,"https://search.google.com/local/reviews?placeid=ChIJ25UyEBUF2YgR5ZztoDnCHXU&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8439114829531028709",26.250633999999998,-80.252445,"https://www.olivegarden.com/locations/fl/coral-springs/coral-springs/1078?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:coral-springs-fl-1078_pl:locurl_rd:1047","olivegarden.com","Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMDxzpJyu62HQ51uwOEjz7bUh2LMQzHAybHCKq7=w122-h92-k-no","8439114829531028709","ChIJ25UyEBUF2YgR5ZztoDnCHXU"
"Hellenic Republic","2764 N University Dr, Coral Springs, FL 33065","2764 N University Dr","Coral Springs, FL 33065","Greek restaurant",,"(954) 302-8994","(954) 302-8994, +1 954-302-8994","YES",656,4.5,"https://search.google.com/local/reviews?placeid=ChIJoWtPkPgF2YgRrjif6Jfl0F0&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6760155481288685742",26.2640124,-80.2507062,"http://www.ordergreekfood.com/","ordergreekfood.com","Friday: [11 AM-10 PM], Saturday: [11 AM-10 PM], Sunday: [Closed], Monday: [Closed], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOFUhvIAOjWxsE0_ImPefsvmYZ-tikx9XL08qv8=w122-h92-k-no","6760155481288685742","ChIJoWtPkPgF2YgRrjif6Jfl0F0"
"Carrabba's Italian Grill","2501 N University Dr, Coral Springs, FL 33065","2501 N University Dr","Coral Springs, FL 33065","Italian restaurant, American restaurant, Bar, Bar & grill, Caterer, Gluten-free restaurant, Takeout Restaurant, Restaurant, Wine bar",,"(954) 345-4600","(954) 345-4600, +1 954-345-4600","YES",1374,4.1,"https://search.google.com/local/reviews?placeid=ChIJNxcCnDkF2YgRRiqU56CQmdQ&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15319434628231866950",26.2616397,-80.2492516,"https://locations.carrabbas.com/florida/coral-springs/2501-university-drive?y_source=1_MTU1MDMwODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","locations.carrabbas.com","Friday: [11 AM-11 PM], Saturday: [11 AM-11 PM], Sunday: [11 AM-10 PM], Monday: [11 AM-10 PM], Tuesday: [11 AM-10 PM], Wednesday: [11 AM-10 PM], Thursday: [11 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMT5S6KNEB0ZwocHyyRVPEYM_Xxo_WW-lw4rz2-=w122-h92-k-no","15319434628231866950","ChIJNxcCnDkF2YgRRiqU56CQmdQ"
"La Parrilla Rotisserie & Grill","8357 W Atlantic Blvd, Coral Springs, FL 33071","8357 W Atlantic Blvd","Coral Springs, FL 33071","Latin American restaurant, Cuban restaurant, Dominican restaurant, Lunch restaurant, Peruvian restaurant, Restaurant, Spanish restaurant",,"(954) 345-5467","(954) 345-5467, +1 954-345-5467","YES",999,4.2,"https://search.google.com/local/reviews?placeid=ChIJT64VkwMF2YgRk5aE0Sx849A&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15052010911537862291",26.2360792,-80.2364712,"https://laparrillafl.com/","laparrillafl.com","Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [12-8 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNvDrTLfmKKJ1Kf1IKiJuFVnK7Yy1ZM_TzYBiUv=w122-h92-k-no","15052010911537862291","ChIJT64VkwMF2YgRk5aE0Sx849A"
"Coral Springs Diner","10410 W Sample Rd, Coral Springs, FL 33065","10410 W Sample Rd","Coral Springs, FL 33065","Restaurant",,"(954) 346-1944","(954) 346-1944, +1 954-346-1944","YES",1067,4.4,"https://search.google.com/local/reviews?placeid=ChIJA6f88E0F2YgRAmpuB_ZCp30&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9054279200305736194",26.271999599999997,-80.2651061,"https://coralspringsdiner.com/","coralspringsdiner.com","Friday: [7 AM-8 PM], Saturday: [7 AM-8 PM], Sunday: [7 AM-8 PM], Monday: [7 AM-8 PM], Tuesday: [7 AM-8 PM], Wednesday: [7 AM-8 PM], Thursday: [7 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMfcTGCtEI9d-zCsiipXoLXs-bP0w49qrTD0C3-=w122-h92-k-no","9054279200305736194","ChIJA6f88E0F2YgRAmpuB_ZCp30"
"Zona Fresca","1410 N University Dr, Coral Springs, FL 33071","1410 N University Dr","Coral Springs, FL 33071","Mexican restaurant, Fast food restaurant",,"(954) 227-2828","(954) 227-2828, +1 954-227-2828","YES",1142,4.5,"https://search.google.com/local/reviews?placeid=ChIJY4ERthQF2YgRHQBcLhsVGUI&q=Restaurants&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4762861287407091741",26.248351,-80.2538962,"https://zonafresca.com/","zonafresca.com","Friday: [11 AM-10 PM], Saturday: [11 AM-9 PM], Sunday: [11 AM-9 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipN-JDsNM4uX3e4l-OEWtQppOAi1Q7g0RBIYh3p-=w126-h92-k-no","4762861287407091741","ChIJY4ERthQF2YgRHQBcLhsVGUI"
