"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"General Store","639 N Citrus Ave, Crystal River, FL 34428","639 N Citrus Ave","Crystal River, FL 34428","General store",,"(352) 564-0311","(352) 564-0311, +1 352-564-0311","NO",46,4.5,"https://search.google.com/local/reviews?placeid=ChIJCdS6CrBB6IgRIHJitH8UowU&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=406190930113229344",28.900525,-82.592995,,,"Tuesday: [10 AM-5 PM], Wednesday: [10 AM-5 PM], Thursday: [10 AM-5 PM], Friday: [10 AM-5 PM], Saturday: [10 AM-5 PM], Sunday: [11 AM-3 PM], Monday: [10 AM-5 PM]","https://lh5.googleusercontent.com/p/AF1QipPNu9bsfIE74swcJmG-o00VF1cgE5sIvGzc7IfA=w80-h106-k-no","406190930113229344","ChIJCdS6CrBB6IgRIHJitH8UowU"
"Save A Lot","204 SE US Hwy 19, Crystal River, FL 34429","204 SE US Hwy 19","Crystal River, FL 34429","Grocery store, Discount supermarket, Supermarket",,"(352) 563-5189","(352) 563-5189, +1 352-563-5189","YES",586,3.9,"https://search.google.com/local/reviews?placeid=ChIJXUL8NrRB6IgRHFlLlTthiqw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12432856629845383452",28.893288599999998,-82.58676009999999,"https://savealot.com/grocery-stores/crystal-river-34429-60109?utm_source=google&utm_medium=organic&utm_campaign=gmb","savealot.com","Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMLJIdT5C8yPMItLLQsSqD0wj24uFHAVZL4lLy9=w122-h92-k-no","12432856629845383452","ChIJXUL8NrRB6IgRHFlLlTthiqw"
"Super Discount","1943 U.S. Hwy 19, Crystal River, FL 34428","1943 U.S. Hwy 19","Crystal River, FL 34428","Convenience store",,"(352) 794-6034","(352) 794-6034, +1 352-794-6034","YES",5,3.8,"https://search.google.com/local/reviews?placeid=ChIJjzmYKHVB6IgR_i_lUkNufRE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1260284706166222846",28.914093299999998,-82.6082699,,,"Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM], Thursday: [8 AM-9 PM], Friday: [8 AM-9:30 PM], Saturday: [8 AM-9:30 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMEjVNCVDQU2BCpvYY6KCiyOWRZb9xycbFiSIXc=w122-h92-k-no","1260284706166222846","ChIJjzmYKHVB6IgR_i_lUkNufRE"
"Dollar General","736 SE US Hwy 19, Crystal River, FL 34429","736 SE US Hwy 19","Crystal River, FL 34429","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 364-8337","(352) 364-8337, +1 352-364-8337","YES",280,4.1,"https://search.google.com/local/reviews?placeid=ChIJ6XhGI7VB6IgR8Mt-LBZyMNc&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15506018956597971952",28.889481999999997,-82.58562479999999,"https://www.dollargeneral.com/store-directory/fl/crystal-river/1560","dollargeneral.com","Tuesday: [8 AM-8 PM], Wednesday: [8 AM-8 PM], Thursday: [8 AM-8 PM], Friday: [8 AM-8 PM], Saturday: [8 AM-8 PM], Sunday: [8 AM-8 PM], Monday: [8 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipOMwShAyROoKFtDQTF2NuEaxrWu9R7suCrHvVJ3=w149-h92-k-no","15506018956597971952","ChIJ6XhGI7VB6IgR8Mt-LBZyMNc"
"Winn-Dixie","1651 U.S. Hwy 19, Crystal River, FL 34429","1651 U.S. Hwy 19","Crystal River, FL 34429","Grocery store",,"(352) 563-0100","(352) 563-0100, +1 352-563-0100","YES",1328,4.2,"https://search.google.com/local/reviews?placeid=ChIJNVfO0zVA6IgR1nx7vNg4PnE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8160022078368218326",28.8833436,-82.5807068,"https://www.winndixie.com/","winndixie.com","Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM], Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipNRgo0xEyq_frhx5v9XISdsMoN0xIiBQcYP7SZG=w158-h92-k-no","8160022078368218326","ChIJNVfO0zVA6IgR1nx7vNg4PnE"
"Big Lots","146 SE US Hwy 19, Crystal River, FL 34429","146 SE US Hwy 19","Crystal River, FL 34429","Discount store, Furniture store",,"(352) 563-5755","(352) 563-5755, +1 352-563-5755","YES",1049,4.3,"https://search.google.com/local/reviews?placeid=ChIJtX2ZwjVA6IgRCO7Ud_1QLXE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8155263549805227528",28.8941175,-82.5868351,"https://local.biglots.com/fl/crystal-river/516?utm_source=google&utm_medium=distrib&utm_campaign=google-distrib","local.biglots.com","Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-7 PM], Monday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOdnbLmiJnglutODWtL8Zoz_SQCxA9s3V5uc4f4=w80-h106-k-no","8155263549805227528","ChIJtX2ZwjVA6IgRCO7Ud_1QLXE"
"RSVP MARKET","717 NE 5th St, Crystal River, FL 34429","717 NE 5th St","Crystal River, FL 34429","Home goods store",,"(352) 228-8325","(352) 228-8325, +1 352-228-8325","YES",23,4.7,"https://search.google.com/local/reviews?placeid=ChIJR4g_RaBB6IgRZIKmTXd1dvk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17975684117960229476",28.898658599999997,-82.5822938,"http://rsvpmarket.com/","rsvpmarket.com","Tuesday: [10 AM-6 PM], Wednesday: [10 AM-6 PM], Thursday: [10 AM-6 PM], Friday: [10 AM-6 PM], Saturday: [10 AM-6 PM], Sunday: [Closed], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipMHZTXZ2HyV7M-9jT_fJjRRPpXj-mQew2z994K9=w122-h92-k-no","17975684117960229476","ChIJR4g_RaBB6IgRZIKmTXd1dvk"
"Fishhook Outfitters Inc.","560 N Citrus Ave, Crystal River, FL 34428","560 N Citrus Ave","Crystal River, FL 34428","Clothing store",,"(352) 794-3151","(352) 794-3151, +1 352-794-3151","YES",8,4.3,"https://search.google.com/local/reviews?placeid=ChIJORW_6ahB6IgRFX-wVuN5MTU&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3832978775187947285",28.899213399999997,-82.5934292,"http://fishhook-outfitters.square.site/","square.site","Tuesday: [10 AM-4 PM], Wednesday: [10 AM-4 PM], Thursday: [10 AM-4 PM], Friday: [10 AM-4 PM], Saturday: [10 AM-4 PM], Sunday: [Closed], Monday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipNS-wpn_kH5U_khgJFIdvbrJDGiDTkrtHoLQ6pR=w122-h92-k-no","3832978775187947285","ChIJORW_6ahB6IgRFX-wVuN5MTU"
"Dollar Tree","1631 SE US Hwy 19, Crystal River, FL 34429","1631 SE US Hwy 19","Crystal River, FL 34429","Dollar store, Craft store, Discount store, Grocery store, Home goods store, Kitchen supply store, Party store, School supply store, Toy store, Variety store",,"(352) 228-6198","(352) 228-6198, +1 352-228-6198","YES",242,4.3,"https://search.google.com/local/reviews?placeid=ChIJa3ZtiDVA6IgR4JGA5DouKU4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5632083639480127968",28.8833026,-82.5815887,"https://www.dollartree.com/locations/fl/crystal-river/2808/?utm_source=google&utm_medium=organic&utm_campaign=maps","dollartree.com","Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-9 PM], Monday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPBpJ-0mkks8IOwNxf_cqDHna2dI0ale4mBk1p-=w163-h92-k-no","5632083639480127968","ChIJa3ZtiDVA6IgR4JGA5DouKU4"
"Foodmart","809 N Citrus Ave, Crystal River, FL 34428","809 N Citrus Ave","Crystal River, FL 34428","Convenience store, Gas station",,"(352) 563-2717","(352) 563-2717, +1 352-563-2717","NO",5,1.8,"https://search.google.com/local/reviews?placeid=ChIJRZY7vbpB6IgRhdBwotK76fo&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18080188692398395525",28.902686499999998,-82.5926601,,,"Tuesday: [7:30 AM-9:30 PM], Wednesday: [7:30 AM-9:30 PM], Thursday: [7:30 AM-9:30 PM], Friday: [7:30 AM-9:30 PM], Saturday: [7:30 AM-9:30 PM], Sunday: [7:30 AM-9:30 PM], Monday: [7:30 AM-9:30 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-PBIuHVO7Ngr4vB2dbSk6w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=6.4936085&pitch=0&thumbfov=100","18080188692398395525","ChIJRZY7vbpB6IgRhdBwotK76fo"
