"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"bealls","12810 US-301, Dade City, FL 33525","12810 US-301","Dade City, FL 33525","Outlet store, Clothing store, Home goods store, Shoe store",,"(352) 567-0843","(352) 567-0843, +1 352-567-0843","YES",314,4.4,"https://search.google.com/local/reviews?placeid=ChIJ5YJYUW9T3YgR3iJ9v16vqzg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4083550308615922398",28.3443479,-82.18512869999999,"https://stores.bealls.com/fl/dadecity/clothing-store-391.html?utm_source=GMBlisting&utm_medium=organic","stores.bealls.com","Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM], Friday: [9 AM-9:30 PM], Saturday: [9 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOPw-t_ZpY934a7K0vnb16dir_rfj-Xu4GW5njB=w122-h92-k-no","4083550308615922398","ChIJ5YJYUW9T3YgR3iJ9v16vqzg"
"Dollar General","12854 US-301, Dade City, FL 33525","12854 US-301","Dade City, FL 33525","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 437-6395","(352) 437-6395, +1 352-437-6395","YES",208,4.4,"https://search.google.com/local/reviews?placeid=ChIJxaKL-2VT3YgRqGoV7F8L3Sw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3232752614132509352",28.3453388,-82.1856002,"https://www.dollargeneral.com/store-directory/fl/dade-city/1348","dollargeneral.com","Tuesday: [8 AM-8 PM], Wednesday: [8 AM-8 PM], Thursday: [8 AM-8 PM], Friday: [8 AM-8 PM], Saturday: [8 AM-8 PM], Sunday: [8 AM-8 PM], Monday: [8 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMX2bcFA_uSBkjWhmlmJelYT7_w2cP4VkN4A8B-=w149-h92-k-no","3232752614132509352","ChIJxaKL-2VT3YgRqGoV7F8L3Sw"
"Circle A","15446 14th St, Dade City, FL 33523","15446 14th St","Dade City, FL 33523","Convenience store",,"(352) 518-9009","(352) 518-9009, +1 352-518-9009","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJjSVaqMFU3YgRczSR0Sn8Zf4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18331335114821284979",28.3831208,-82.1953857,,,"Tuesday: [8 AM-8 PM], Wednesday: [8 AM-8 PM], Thursday: [8 AM-8 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-8 PM], Monday: [8 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMt1HE3vtd__LAQKTffchiD5ehKDf_N9v9VmmKR=w122-h92-k-no","18331335114821284979","ChIJjSVaqMFU3YgRczSR0Sn8Zf4"
"Save A Lot","12860 US-301 #5, Dade City, FL 33525","12860 US-301 #5","Dade City, FL 33525","Grocery store",,"(352) 567-1370","(352) 567-1370, +1 352-567-1370","YES",501,4.3,"https://search.google.com/local/reviews?placeid=ChIJDadj-2VT3YgRa48tahezRMw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14719086395300613995",28.3454761,-82.1858845,"https://savealot.com/grocery-stores/dade-city-33525-60092","savealot.com","Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO5ftAOd4iYKlbGX_rz332Ce4e1hDcpRvUbwqyd=w80-h106-k-no","14719086395300613995","ChIJDadj-2VT3YgRa48tahezRMw"
"Family Dollar","14831 US-301, Dade City, FL 33523","14831 US-301","Dade City, FL 33523","Dollar store, Beer store, Clothing store, Discount store, Discount supermarket, School supply store, Tobacco shop, Toy store, Wine store",,"(352) 834-6266","(352) 834-6266, +1 352-834-6266","YES",50,3.7,"https://search.google.com/local/reviews?placeid=ChIJ38LTkJZU3YgRnfbe1O2GshE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1275230000536024733",28.3739223,-82.19100949999999,"https://www.familydollar.com/locations/fl/dade-city/20473/","familydollar.com","Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-9 PM], Monday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipP0V1-3QP_ZoR67--m8R8Wr2R58My0pRaNGh4uW=w92-h92-k-no","1275230000536024733","ChIJ38LTkJZU3YgRnfbe1O2GshE"
"Food Max","37006 Lock St, Dade City, FL 33523","37006 Lock St","Dade City, FL 33523","Convenience store",,"(352) 518-0055","(352) 518-0055, +1 352-518-0055","NO",25,3.5,"https://search.google.com/local/reviews?placeid=ChIJr1Xh3blU3YgRwrKchrblUg8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1104197430764417730",28.375778,-82.203628,,,"Tuesday: [6 AM-12 AM], Wednesday: [6 AM-12 AM], Thursday: [6 AM-12 AM], Friday: [6 AM-12 AM], Saturday: [6 AM-12 AM], Sunday: [6 AM-12 AM], Monday: [6 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipM4lTu7jvWAREsFPzHVZ9z6AbiP8erqb7jlZfa1=w122-h92-k-no","1104197430764417730","ChIJr1Xh3blU3YgRwrKchrblUg8"
"Winn-Dixie","12649 US-301, Dade City, FL 33525","12649 US-301","Dade City, FL 33525","Grocery store, Bakery, Deli, Florist, Supermarket",,"(352) 523-2929","(352) 523-2929, +1 352-523-2929","YES",1637,4.3,"https://search.google.com/local/reviews?placeid=ChIJJcSenJ1U3YgRvR96wVmVBEM&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4829148913178648509",28.3422836,-82.1889942,"https://coupons.winndixie.com/weeklyad/?store=608","coupons.winndixie.com","Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM], Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMIG9sdhEP_u7DE9ehC4s6_yha2NdblJaRTRxRi=w163-h92-k-no","4829148913178648509","ChIJJcSenJ1U3YgRvR96wVmVBEM"
"Walmart","12650 US-301, Dade City, FL 33525","12650 US-301","Dade City, FL 33525","Department store, Clothing store, Craft store, Electronics store, Furniture store, Grocery store, Hardware store, Home goods store, Sporting goods store, Toy store",,"(352) 567-1551","(352) 567-1551, +1 352-567-1551","YES",2350,4,"https://search.google.com/local/reviews?placeid=ChIJjX-qLm9T3YgRHRr1GzT4m0g&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5232048294811998749",28.342220299999997,-82.1858367,"https://www.walmart.com/store/713-dade-city-fl","walmart.com","Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM], Thursday: [6 AM-11 PM], Friday: [6 AM-11 PM], Saturday: [6 AM-11 PM], Sunday: [6 AM-11 PM], Monday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipPv274QEv8sgjbZBwp5Z78KPtAgMnumeSTcoikQ=w163-h92-k-no","5232048294811998749","ChIJjX-qLm9T3YgRHRr1GzT4m0g"
"Dollar Tree","12504 US-301, Dade City, FL 33525","12504 US-301","Dade City, FL 33525","Dollar store, Craft store, Discount store, Grocery store, Home goods store, Kitchen supply store, Party store, School supply store, Toy store, Variety store",,"(352) 834-6270","(352) 834-6270, +1 352-834-6270","YES",307,4.3,"https://search.google.com/local/reviews?placeid=ChIJpc4J1m5T3YgRxwGPR5mSsTc&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4013149929992028615",28.3411111,-82.1858333,"https://www.dollartree.com/locations/fl/dade-city/4033/?utm_source=google&utm_medium=organic&utm_campaign=maps","dollartree.com","Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipNvXZZuhcIiFCFfpAWV-mWpetw3QV37uxJyFoAQ=w163-h92-k-no","4013149929992028615","ChIJpc4J1m5T3YgRxwGPR5mSsTc"
"Dollar General","14645 7th St, Dade City, FL 33523","14645 7th St","Dade City, FL 33523","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 437-6555","(352) 437-6555, +1 352-437-6555","YES",495,4.3,"https://search.google.com/local/reviews?placeid=ChIJJ9cIJZFU3YgR9z3pxasQxrA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12737886926009875959",28.3715987,-82.1896742,"https://www.dollargeneral.com/store-directory/fl/dade-city/12471","dollargeneral.com","Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipM0g7hwiwCZ23Kh6Lmzec0umErgRKYOpHXw8P-3=w149-h92-k-no","12737886926009875959","ChIJJ9cIJZFU3YgR9z3pxasQxrA"
