"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Ross Dress for Less","2231 E Hillsborough Ave, Tampa, FL 33610","2231 E Hillsborough Ave","Tampa, FL 33610","Clothing store, Department store, Men's clothing store, Shoe store, Women's clothing store",,"(813) 232-4127","(813) 232-4127, +1 813-232-4127","YES",2719,4.2,"https://search.google.com/local/reviews?placeid=ChIJb9ggHSvEwogRqHXO5yy7FpI&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10526806980567135656",27.994616999999998,-82.4339059,"http://www.rossstores.com/","rossstores.com","Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM], Friday: [8:30 AM-9 PM], Saturday: [8:30 AM-9 PM], Sunday: [9 AM-9 PM], Monday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNOmEF8aLY4xMyKC-R_ANNbLsxedJrzqb4cipss=w163-h92-k-no","10526806980567135656","ChIJb9ggHSvEwogRqHXO5yy7FpI"
"Ybor Grocery","3401 N 15th St, Tampa, FL 33605","3401 N 15th St","Tampa, FL 33605","Grocery store, Convenience store",,,"","NO",12,3.2,"https://search.google.com/local/reviews?placeid=ChIJa2WdB0jEwogR86XIeQUcinw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8974016017332741619",27.9742863,-82.4428057,,,"Tuesday: [7 AM-11 PM], Wednesday: [7 AM-11 PM], Thursday: [7 AM-11 PM], Friday: [7 AM-11 PM], Saturday: [7 AM-11 PM], Sunday: [7 AM-11 PM], Monday: [7 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMs-3mLntTjRyf16013Ag47m81nSOOHbuY8YfvX=w160-h92-k-no","8974016017332741619","ChIJa2WdB0jEwogR86XIeQUcinw"
"Stop & Save Food Store","4801 Clewis Ave, Tampa, FL 33610","4801 Clewis Ave","Tampa, FL 33610","Convenience store",,,"","YES",22,4.5,"https://search.google.com/local/reviews?placeid=ChIJz8t_TyrPwogRjv76kUrtpbM&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12945013608478867086",27.9889759,-82.347211,,,"Tuesday: [7:30 AM-11 PM], Wednesday: [7:30 AM-11 PM], Thursday: [7:30 AM-11 PM], Friday: [7:30 AM-11 PM], Saturday: [8 AM-11 PM], Sunday: [8 AM-12 AM], Monday: [7:30 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipOmLnzWTH4fgvwwMqqIaFQsBwLHfJwjo2ip6Wmp=w176-h92-k-no","12945013608478867086","ChIJz8t_TyrPwogRjv76kUrtpbM"
"dd's DISCOUNTS","2233 E Hillsborough Ave, Tampa, FL 33610","2233 E Hillsborough Ave","Tampa, FL 33610","Clothing store, Department store, Discount store, Home goods store, Shoe store",,"(813) 231-3618","(813) 231-3618, +1 813-231-3618","YES",1381,4.2,"https://search.google.com/local/reviews?placeid=ChIJNQK3N9XFwogRbIAwCvU7bWg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7524736476029943916",27.9946834,-82.4339443,"http://www.ddsdiscounts.com/","ddsdiscounts.com","Tuesday: [9:30 AM-9 PM], Wednesday: [9:30 AM-9 PM], Thursday: [9:30 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9:30 AM-8:30 PM], Monday: [9:30 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMlkb6mpAz6SA8Mm0NjgsBToWcu2fgYOrvVuezs=w146-h92-k-no","7524736476029943916","ChIJNQK3N9XFwogRbIAwCvU7bWg"
"Floridian Mini Market","2012 E Dr Martin Luther King Jr Blvd, Tampa, FL 33610","2012 E Dr Martin Luther King Jr Blvd","Tampa, FL 33610","Convenience store",,"(813) 238-6607","(813) 238-6607, +1 813-238-6607","NO",8,4.3,"https://search.google.com/local/reviews?placeid=ChIJ4c_p6TPEwogRISzsKrRe0aw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12452838572563377185",27.981769999999997,-82.436425,"https://www.facebook.com/Floridian-Mini-Market-192527484645678/","facebook.com","Tuesday: [8 AM-6 PM], Wednesday: [8 AM-6 PM], Thursday: [8 AM-6 PM], Friday: [8 AM-6 PM], Saturday: [8 AM-6 PM], Sunday: [8 AM-6 PM], Monday: [8 AM-6 PM]","https://lh5.googleusercontent.com/p/AF1QipP2kgnaEgSo5Qya5iMgXH2hAd18qiY-Jpy7ebCt=w163-h92-k-no","12452838572563377185","ChIJ4c_p6TPEwogRISzsKrRe0aw"
"Dollar & Up Variety Market","3001 E Hillsborough Ave, Tampa, FL 33610","3001 E Hillsborough Ave","Tampa, FL 33610","Convenience store",,"(656) 203-8479","(656) 203-8479, +1 656-203-8479","YES",4,4.8,"https://search.google.com/local/reviews?placeid=ChIJ_bWfbdbFwogRgyp-8ZzwjF4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6813084893161859715",27.9957866,-82.4260482,,,"Tuesday: [10 AM-7 PM], Wednesday: [10 AM-8 PM], Thursday: [10 AM-8 PM], Friday: [10 AM-8 PM], Saturday: [10 AM-8 PM], Sunday: [11 AM-7 PM], Monday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMiqbcfaioUCNTAdBeqbfkyC2mQw_eor5mvhj55=w122-h92-k-no","6813084893161859715","ChIJ_bWfbdbFwogRgyp-8ZzwjF4"
"Rainbow Shops","2525 E Hillsborough Ave Space 167, Tampa, FL 33610","2525 E Hillsborough Ave Space 167","Tampa, FL 33610","Women's clothing store, Beauty supply store, Children's clothing store, Costume jewelry shop, Fashion accessories store, Jewelry store, Plus size clothing store, Shoe store",,"(813) 234-8961","(813) 234-8961, +1 813-234-8961","YES",81,4.2,"https://search.google.com/local/reviews?placeid=ChIJeww7KNXFwogR-nY_rqpkjvo&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18054478640405509882",27.9949256,-82.4306282,"https://stores.rainbowshops.com/fl/tampa/118/?utm_source=G&utm_medium=lpm&utm_campaign=RainbowShops","stores.rainbowshops.com","Tuesday: [10 AM-9 PM], Wednesday: [10 AM-9 PM], Thursday: [10 AM-9 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [11 AM-6 PM], Monday: [10 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOHeoKQf8pWzrDbMZQkkPDeUKJMb1A32mFwMtrX=w80-h142-k-no","18054478640405509882","ChIJeww7KNXFwogR-nY_rqpkjvo"
"Citi Trends","2525 E Hillsborough Ave #181, Tampa, FL 33610","2525 E Hillsborough Ave #181","Tampa, FL 33610","Clothing store, Children's clothing store, Discount store, Fashion accessories store, Men's clothing store, Plus size clothing store, Shoe store, Women's clothing store",,"(813) 395-9770","(813) 395-9770, +1 813-395-9770","YES",475,4.1,"https://search.google.com/local/reviews?placeid=ChIJgVeEJ9XFwogRAwGH5XXYA4o&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9945030403037790467",27.9940021,-82.430455,"https://locations.cititrends.com/fl/tampa/2525-e--hillsborough-avenue.html","locations.cititrends.com","Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM], Thursday: [11 AM-8 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [12-6 PM], Monday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMiNUPWKBrWPDQQGPgSZOMtk-6jZLvcirtc4Dns=w163-h92-k-no","9945030403037790467","ChIJgVeEJ9XFwogRAwGH5XXYA4o"
"Rainbow Grocery","E Hanna Ave, Tampa, FL 33610","E Hanna Ave","Tampa, FL 33610","Grocery store",,,"","NO",19,4.3,"https://search.google.com/local/reviews?placeid=ChIJm3s1tgzGwogRsj8MxrbhBWY&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7351530141875191730",28.0035639,-82.4097585,,,"Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k2HVgZ8NJJwa7fZtJRMs9A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=359.9734&pitch=0&thumbfov=100","7351530141875191730","ChIJm3s1tgzGwogRsj8MxrbhBWY"
"Dollar General","3512 E Hillsborough Ave, Tampa, FL 33610","3512 E Hillsborough Ave","Tampa, FL 33610","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(727) 306-1950","(727) 306-1950, +1 727-306-1950","YES",419,4,"https://search.google.com/local/reviews?placeid=ChIJ86hrBNjFwogRTJxPxioXuRw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2069710976236624972",27.9965409,-82.4210272,"https://www.dollargeneral.com/store-directory/fl/tampa/7988","dollargeneral.com","Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM], Thursday: [8 AM-9 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMYjIjyHHxPIbRI5lvrQs5AmRr9j2k5wsYZSPvI=w149-h92-k-no","2069710976236624972","ChIJ86hrBNjFwogRTJxPxioXuRw"
