"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Marshalls","18700 Veterans Blvd, Port Charlotte, FL 33954","18700 Veterans Blvd","Port Charlotte, FL 33954","Department store, Children's clothing store, Clothing store, Luggage store, Men's clothing store, Swimwear store, T-shirt store, Women's clothing store",,"(941) 743-2410","(941) 743-2410, +1 941-743-2410","YES",682,4.4,"https://search.google.com/local/reviews?placeid=ChIJbxYimcWr3IgRygr6fX0TQIk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9889926211410987722",27.014965,-82.14421399999999,"https://www.marshalls.com/","marshalls.com","Tuesday: [9:30 AM-9:30 PM], Wednesday: [9:30 AM-9:30 PM], Thursday: [9:30 AM-9:30 PM], Friday: [9:30 AM-9:30 PM], Saturday: [9:30 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9:30 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipOBw5LyHmdmlaxRXU5IN4zZbFr3QQfzCUOeCbo=w136-h92-k-no","9889926211410987722","ChIJbxYimcWr3IgRygr6fX0TQIk"
"Bealls Florida","1441 Tamiami Trl Unit 501, Port Charlotte, FL 33948","1441 Tamiami Trl Unit 501","Port Charlotte, FL 33948","Department store, Clothing store, Home goods store, Shoe store",,"(941) 235-2678","(941) 235-2678, +1 941-235-2678","YES",1383,4.4,"https://search.google.com/local/reviews?placeid=ChIJB9f5vcmr3IgRWjU_ir5fYhU&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1540899294481954138",27.0083797,-82.1459496,"https://stores.beallsflorida.com/fl/portcharlotte/department-store-14.html?utm_source=GMBlisting&utm_medium=organic","stores.beallsflorida.com","Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMRYS0mFeZlCn5ySuZjc-iKI9kSNqVbFgNtmcEZ=w122-h92-k-no","1540899294481954138","ChIJB9f5vcmr3IgRWjU_ir5fYhU"
"Target","1400A Tamiami Trl, Port Charlotte, FL 33948","1400A Tamiami Trl","Port Charlotte, FL 33948","Department store, Baby store, Clothing store, Electronics store, Furniture store, Home goods store, Office supply store, Outdoor furniture store, Shoe store, Toy store",,"(941) 255-1181","(941) 255-1181, +1 941-255-1181","YES",679,4.3,"https://search.google.com/local/reviews?placeid=ChIJY_g2ds-r3IgRE7tUq9iCk80&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14813327466450696979",27.0132579,-82.1424179,"https://www.target.com/sl/port-charlotte/690","target.com","Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPomNIEvYNIDcoQk66qkV9jdOvveMs3WMKU_Mo=w122-h92-k-no","14813327466450696979","ChIJY_g2ds-r3IgRE7tUq9iCk80"
"Ross Dress for Less","19400 Cochran Blvd Ste 140, Port Charlotte, FL 33948","19400 Cochran Blvd Ste 140","Port Charlotte, FL 33948","Clothing store, Department store, Men's clothing store, Shoe store, Women's clothing store",,"(941) 255-0502","(941) 255-0502, +1 941-255-0502","YES",285,4.4,"https://search.google.com/local/reviews?placeid=ChIJg8g6BACr3IgR1BZVp9x3zY4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10290012513195333332",27.009695299999997,-82.1343448,"http://www.rossstores.com/","rossstores.com","Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM], Thursday: [10 AM-8 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [10 AM-8 PM], Monday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipOsE_WufzPvXSokjSrdY0jrZ_ZNEYnClX1TBQ__=w115-h92-k-no","10290012513195333332","ChIJg8g6BACr3IgR1BZVp9x3zY4"
"Kohl's","19600 Cochran Blvd G, Port Charlotte, FL 33948","19600 Cochran Blvd G","Port Charlotte, FL 33948","Department store",,"(941) 629-1287","(941) 629-1287, +1 941-629-1287","YES",1647,4.3,"https://search.google.com/local/reviews?placeid=ChIJefqtb9qr3IgRu8gmCvM4-PQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17651921355977181371",27.0135707,-82.13583249999999,"https://www.kohls.com/stores/fl/portcharlotte-1209.shtml?utm_source=google&utm_medium=organic&utm_campaign=local","kohls.com","Tuesday: [9 AM-8 PM], Wednesday: [9 AM-8 PM], Thursday: [9 AM-8 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-8 PM], Monday: [9 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipORMHT8KZJ7p2E2iRgWHkNzqB4LQODM7dwbGvDu=w163-h92-k-no","17651921355977181371","ChIJefqtb9qr3IgRu8gmCvM4-PQ"
"Spencers","Space 235, 1441 Tamiami Trl, Port Charlotte, FL 33948","Space 235","1441 Tamiami Trl","T-shirt store, Clothing store, Fashion accessories store, Jewelry store, Lingerie store, Novelty store",,"(833) 543-0751","(833) 543-0751, +1 833-543-0751","YES",87,4.3,"https://search.google.com/local/reviews?placeid=ChIJB9f5vcmr3IgRAHDcAzbtT_E&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17388377502549569536",27.009081,-82.1470547,"https://stores.spencersonline.com/fl/portcharlotte/port-charlotte-00086.html?utm_medium=referral&utm_source=google&utm_campaign=local_listing&utm_inex=e","stores.spencersonline.com","Tuesday: [11 AM-7 PM], Wednesday: [11 AM-7 PM], Thursday: [11 AM-7 PM], Friday: [11 AM-8:30 PM], Saturday: [11 AM-8:30 PM], Sunday: [12-6 PM], Monday: [11 AM-7 PM]","https://lh5.googleusercontent.com/p/AF1QipPMa2StZLgZEntqez5TX9RXhWzbxJ8FNutdKTv0=w122-h92-k-no","17388377502549569536","ChIJB9f5vcmr3IgRAHDcAzbtT_E"
"Dillard's","1441 Tamiami Trl, Port Charlotte, FL 33948","1441 Tamiami Trl","Port Charlotte, FL 33948","Department store, Children's clothing store, Clothing store, Cosmetics store, Fashion accessories store, Home goods store, Lingerie store, Men's clothing store, Shoe store, Women's clothing store",,"(941) 255-1778","(941) 255-1778, +1 941-255-1778","YES",878,4.3,"https://search.google.com/local/reviews?placeid=ChIJB9f5vcmr3IgRhCycYI6Hyrs&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13531777075964030084",27.009504,-82.144744,"https://www.dillards.com/stores/florida/port-charlotte-town-center-port-charlotte/0214","dillards.com","Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM], Thursday: [11 AM-8 PM], Friday: [11 AM-8 PM], Saturday: [11 AM-8 PM], Sunday: [12-6 PM], Monday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNFtkLOF3SHvsJj3Qk0VtqeGtI1WZmPkonif1dv=w122-h92-k-no","13531777075964030084","ChIJB9f5vcmr3IgRhCycYI6Hyrs"
"American Eagle Store","1441 Tamiami Trl Suite 171a, Port Charlotte, FL 33948","1441 Tamiami Trl Suite 171a","Port Charlotte, FL 33948","Clothing store, Jeans shop, Men's clothing store, Swimwear store, T-shirt store, Underwear store, Women's clothing store",,"(941) 235-2027","(941) 235-2027, +1 941-235-2027","YES",49,4.4,"https://search.google.com/local/reviews?placeid=ChIJB9f5vcmr3IgR2bVk7oLt04M&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9499197185655616985",27.009242,-82.146934,"https://storelocations.ae.com/us/fl/port-charlotte/1441-tamiami-trail.html","storelocations.ae.com","Tuesday: [11 AM-7 PM], Wednesday: [11 AM-7 PM], Thursday: [11 AM-7 PM], Friday: [11 AM-8 PM], Saturday: [11 AM-8 PM], Sunday: [12-6 PM], Monday: [11 AM-7 PM]","https://lh5.googleusercontent.com/p/AF1QipPr6-L9c1fm4JVrAV0lhzoaovXHo8gJsKQtM1_5=w122-h92-k-no","9499197185655616985","ChIJB9f5vcmr3IgR2bVk7oLt04M"
"rue21","1441 Tamiami Trl Suite 953 C-2, Port Charlotte, FL 33948","1441 Tamiami Trl Suite 953 C-2","Port Charlotte, FL 33948","Clothing store, Fashion accessories store, Men's clothing store, Women's clothing store",,"(941) 627-0367","(941) 627-0367, +1 941-627-0367","YES",136,4.2,"https://search.google.com/local/reviews?placeid=ChIJM0Yd-DCo3IgR2t_3dauxPr8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13780647259776999386",27.008877,-82.1474057,"https://stores.rue21.com/fl/port-charlotte/1441-tamiami-trail.html/?utm_source=gmb&utm_medium=localsearch&utm_campaign=1355","stores.rue21.com","Tuesday: [11 AM-7 PM], Wednesday: [11 AM-7 PM], Thursday: [11 AM-7 PM], Friday: [11 AM-8 PM], Saturday: [11 AM-8 PM], Sunday: [12-6 PM], Monday: [11 AM-7 PM]","https://lh5.googleusercontent.com/p/AF1QipNIkjzR5yvU-I-IYseHMabiy8s1awffIh8TUGCC=w122-h92-k-no","13780647259776999386","ChIJM0Yd-DCo3IgR2t_3dauxPr8"
"Uncle Sam's Store","17136 Ohara Dr, Port Charlotte, FL 33948","17136 Ohara Dr","Port Charlotte, FL 33948","Clothing store",,"(941) 268-9705","(941) 268-9705, +1 941-268-9705","YES","","",,"https://www.google.com/maps?cid=9162762501065038845",26.9648829,-82.1692546,,,"Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipPDU0xim7-Zn0cw8vbbTRPkLFAYwfxbJrJg5-6k=w241-h92-k-no","9162762501065038845","ChIJs1942SWr3IgR_VtAxfKrKH8"
