"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Walmart","3838 S Semoran Blvd, Orlando, FL 32822","3838 S Semoran Blvd","Orlando, FL 32822","Department store, Clothing store, Craft store, Electronics store, Furniture store, Grocery store, Hardware store, Home goods store, Sporting goods store, Toy store",,"(407) 277-4314","(407) 277-4314, +1 407-277-4314","YES",6090,4.1,"https://search.google.com/local/reviews?placeid=ChIJZ3odG5Fk54gRx0JQSnki7H8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9217780441653723847",28.5048756,-81.3126061,"https://www.walmart.com/store/1084-orlando-fl","walmart.com","Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM], Thursday: [6 AM-11 PM], Friday: [6 AM-11 PM], Saturday: [6 AM-11 PM], Sunday: [6 AM-11 PM], Monday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMzU_-HFPTmTMzcaOuTCq-a7yiZRJvoY66lnAcE=w163-h92-k-no","9217780441653723847","ChIJZ3odG5Fk54gRx0JQSnki7H8"
"Semoran Food Mart","4701 S Semoran Blvd, Orlando, FL 32822","4701 S Semoran Blvd","Orlando, FL 32822","Convenience store",,"(407) 208-0786","(407) 208-0786, +1 407-208-0786","YES",21,3.6,"https://search.google.com/local/reviews?placeid=ChIJc6hPcZtk54gRyyQPo2hGkvU&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17695283301118321867",28.4948716,-81.3091812,,,"Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMjtGG88I1D1JrIDdiW23CgqvLXzM2eY_OTniEP=w122-h92-k-no","17695283301118321867","ChIJc6hPcZtk54gRyyQPo2hGkvU"
"Brito store supplies","4318 S Semoran Blvd, Orlando, FL 32822","4318 S Semoran Blvd","Orlando, FL 32822","Clothing store",,"(407) 270-7721","(407) 270-7721, +1 407-270-7721","NO",25,4.8,"https://search.google.com/local/reviews?placeid=ChIJsWfNoZBk54gRtpub2Aqx2T4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4528845560439610294",28.500121699999998,-81.3111418,,,"Tuesday: [10 AM-6 PM], Wednesday: [10 AM-6 PM], Thursday: [10 AM-6 PM], Friday: [10 AM-6 PM], Saturday: [10 AM-6 PM], Sunday: [10 AM-4 PM], Monday: [10 AM-6 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KShNzY-4_3TxpSarCpXYYA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=235.37727&pitch=0&thumbfov=100","4528845560439610294","ChIJsWfNoZBk54gRtpub2Aqx2T4"
"PERSHING FOOD MART","5800 Pershing Ave, Orlando, FL 32822","5800 Pershing Ave","Orlando, FL 32822","Convenience store, Gas station",,"(407) 249-9456","(407) 249-9456, +1 407-249-9456","NO",18,3.8,"https://search.google.com/local/reviews?placeid=ChIJrwcevppk54gRvb_7GPN48Qg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=644429207182229437",28.498487299999997,-81.3082754,"http://www.citgo.com/","citgo.com","Tuesday: [6 AM-10 PM], Wednesday: [6 AM-10 PM], Thursday: [6 AM-10 PM], Friday: [6 AM-11 PM], Saturday: [7 AM-11 PM], Sunday: [6 AM-8:30 PM], Monday: [6 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipN9UWew8Vipgb4XW3Wi-EeiKpMY9l9DHb_4nOat=w163-h92-k-no","644429207182229437","ChIJrwcevppk54gRvb_7GPN48Qg"
"Dollar Tree","4568 S Semoran Blvd, Orlando, FL 32822","4568 S Semoran Blvd","Orlando, FL 32822","Dollar store, Craft store, Discount store, Grocery store, Home goods store, Kitchen supply store, Party store, School supply store, Toy store, Variety store",,"(407) 204-2004","(407) 204-2004, +1 407-204-2004","YES",541,4.2,"https://search.google.com/local/reviews?placeid=ChIJCwexzZtk54gRAaBWPhouszw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4373890353356775425",28.496788,-81.3116086,"https://www.dollartree.com/locations/fl/orlando/4383/?utm_source=google&utm_medium=organic&utm_campaign=maps","dollartree.com","Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMFmdzt1Tj1JYAlNZsEdHft8Qiu6uI6U3GX0v8=w163-h92-k-no","4373890353356775425","ChIJCwexzZtk54gRAaBWPhouszw"
"Walmart Neighborhood Market","4520 S Semoran Blvd, Orlando, FL 32822","4520 S Semoran Blvd","Orlando, FL 32822","Grocery store, Bakery, Cake shop, Deli, Department store, Discount store, Discount supermarket, Produce market, Supermarket",,"(407) 563-9167","(407) 563-9167, +1 407-563-9167","YES",2057,4.1,"https://search.google.com/local/reviews?placeid=ChIJRWY9JJpk54gRfXV9jhOTePA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17327761278512231805",28.4979549,-81.3119498,"https://www.walmart.com/store/4142-orlando-fl","walmart.com","Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM], Thursday: [6 AM-11 PM], Friday: [6 AM-11 PM], Saturday: [6 AM-11 PM], Sunday: [6 AM-11 PM], Monday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipO95LnPlr81ZzzZKHWdU9P622I1vV4Kw0UDJeiv=w122-h92-k-no","17327761278512231805","ChIJRWY9JJpk54gRfXV9jhOTePA"
"7-Eleven","4655 Dixie Belle Dr, Orlando, FL 32812","4655 Dixie Belle Dr","Orlando, FL 32812","Convenience store",,"(407) 282-0051","(407) 282-0051, +1 407-282-0051","YES",43,2,"https://search.google.com/local/reviews?placeid=ChIJ_0HYP5lk54gRhXdxppBoSZk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11045474531579885445",28.4958496,-81.31381189999999,"https://www.7-eleven.com/locations/fl/orlando/4655-s-dixie-bell-drive-27121","7-eleven.com","Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOkmUzIxH803IiKs8mBxT9xmt_iJQI8UCaxWsSP=w122-h92-k-no","11045474531579885445","ChIJ_0HYP5lk54gRhXdxppBoSZk"
"Walgreens","4774 S Semoran Blvd, Orlando, FL 32822","4774 S Semoran Blvd","Orlando, FL 32822","Drug store, Beauty supply store, Convenience store, Cosmetics store, Greeting card shop, Perfume store, Stationery store",,"(407) 273-9399","(407) 273-9399, +1 407-273-9399","YES",109,3.1,"https://search.google.com/local/reviews?placeid=ChIJR5Yr7ptk54gRGqktoxp8gGI&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7097809466584574234",28.4949098,-81.3111345,"https://www.walgreens.com/locator/walgreens-4774+s+semoran+blvd-orlando-fl-32822/id=3862","walgreens.com","Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM], Thursday: [8 AM-9 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNpuwzWgYY6rH6i-Dk1Tc7VhHYMcrHGCElN8CsN=w163-h92-k-no","7097809466584574234","ChIJR5Yr7ptk54gRGqktoxp8gGI"
"GNC","4014 S Semoran Blvd, Orlando, FL 32822","4014 S Semoran Blvd","Orlando, FL 32822","Vitamin & supplements store",,"(407) 277-7884","(407) 277-7884, +1 407-277-7884","YES",42,4,"https://search.google.com/local/reviews?placeid=ChIJy2jhEZFk54gRXApHeYc3hcw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14737246410634627676",28.5033122,-81.3123236,"https://stores.gnc.com/all-stores-florida/orlando/4014-s-semeran-boulevard?utm_source=yext&utm_medium=organic&utm_campaign=google","stores.gnc.com","Tuesday: [10 AM-7 PM], Wednesday: [10 AM-7 PM], Thursday: [10 AM-7 PM], Friday: [10 AM-7 PM], Saturday: [10 AM-7 PM], Sunday: [11 AM-6 PM], Monday: [10 AM-7 PM]","https://lh5.googleusercontent.com/p/AF1QipN21JxWCW0NkMOmE0hrp9wHy6UASdCPlN0egS8B=w80-h142-k-no","14737246410634627676","ChIJy2jhEZFk54gRXApHeYc3hcw"
"Tiendas Donato","3910 S Semoran Blvd, Orlando, FL 32822","3910 S Semoran Blvd","Orlando, FL 32822","Men's clothing store",,"(407) 281-6370","(407) 281-6370, +1 407-281-6370","YES",301,4.5,"https://search.google.com/local/reviews?placeid=ChIJ0WtUNJFk54gRyEdn7dJzrR0&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2138492747834148808",28.504256299999998,-81.3126001,,,"Tuesday: [9 AM-8 PM], Wednesday: [9 AM-8 PM], Thursday: [9 AM-8 PM], Friday: [9 AM-8 PM], Saturday: [9 AM-8 PM], Sunday: [10 AM-6 PM], Monday: [9 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNqcsk0rV023O8VThKCZz_wtsJvccHEp7EwSl5Z=w122-h92-k-no","2138492747834148808","ChIJ0WtUNJFk54gRyEdn7dJzrR0"
