"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Marshalls","1514 Governors Square Blvd, Tallahassee, FL 32301","1514 Governors Square Blvd","Tallahassee, FL 32301","Department store, Children's clothing store, Clothing store, Luggage store, Men's clothing store, Swimwear store, T-shirt store, Women's clothing store",,"(850) 877-1951","(850) 877-1951, +1 850-877-1951","YES",685,4.2,"https://search.google.com/local/reviews?placeid=ChIJ-fVzRphf7IgRkPFX_oRP_Ek&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5331223491521278352",30.4401819,-84.25828059999999,"https://www.marshalls.com/","marshalls.com","Thursday: [9:30 AM-9:30 PM], Friday: [9:30 AM-9:30 PM], Saturday: [9:30 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9:30 AM-9:30 PM], Tuesday: [9:30 AM-9:30 PM], Wednesday: [9:30 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipNCzQ97i54fh0pi9nyRuqPclgnc5lYHz8wSyKl2=w163-h92-k-no","5331223491521278352","ChIJ-fVzRphf7IgRkPFX_oRP_Ek"
"King Store","500 E Orange Ave, Tallahassee, FL 32301","500 E Orange Ave","Tallahassee, FL 32301","Grocery store",,"(850) 877-2416","(850) 877-2416, +1 850-877-2416","NO",235,3.9,"https://search.google.com/local/reviews?placeid=ChIJj4TC7FD17IgR0HEdV4Mlhg4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1046565209442709968",30.4128874,-84.27663079999999,,,"Thursday: [6 AM-7:30 PM], Friday: [6 AM-7:30 PM], Saturday: [6 AM-7:30 PM], Sunday: [6 AM-6:30 PM], Monday: [6 AM-7:30 PM], Tuesday: [6 AM-7:30 PM], Wednesday: [6 AM-7:30 PM]","https://lh5.googleusercontent.com/p/AF1QipM0rhJNiwGOMAD5LTkKwHNsEHyr-KV7FGjt804e=w80-h106-k-no","1046565209442709968","ChIJj4TC7FD17IgR0HEdV4Mlhg4"
"Target","2120 Apalachee Pkwy, Tallahassee, FL 32301","2120 Apalachee Pkwy","Tallahassee, FL 32301","Department store, Baby store, Clothing store, Electronics store, Furniture store, Home goods store, Office supply store, Outdoor furniture store, Shoe store, Toy store",,"(850) 671-2041","(850) 671-2041, +1 850-671-2041","YES",917,4.3,"https://search.google.com/local/reviews?placeid=ChIJHZwDObxf7IgR0JCsPYWm704&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5687947945587806416",30.4324721,-84.244236,"https://www.target.com/sl/tallahassee/844","target.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipP6vN3YGPr5VZ9HtPlOm9gGFH-FA2HSGAYtqlgm=w163-h92-k-no","5687947945587806416","ChIJHZwDObxf7IgR0JCsPYWm704"
"Five Below","1544 Governors Square Blvd, Tallahassee, FL 32301","1544 Governors Square Blvd","Tallahassee, FL 32301","Variety store, Candy store, Fashion accessories store, Gift shop, Toy store",,"(850) 402-0216","(850) 402-0216, +1 850-402-0216","YES",707,4.4,"https://search.google.com/local/reviews?placeid=ChIJOQShhldf7IgR15MOVB9g5Ks&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12386130562846200791",30.4408741,-84.2574728,"https://locations.fivebelow.com/fl/tallahassee/1544-governors-square-boulevard?utm_source=gmb&utm_medium=yext&y_source=1_MTM1Mzg2NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","locations.fivebelow.com","Thursday: [10 AM-8 PM], Friday: [10 AM-8 PM], Saturday: [10 AM-8 PM], Sunday: [11 AM-6 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipO9iQ92yvo3xeRtefRzJzdaeEI3c6XKUCnv5Mvo=w122-h92-k-no","12386130562846200791","ChIJOQShhldf7IgR15MOVB9g5Ks"
"Ross Dress for Less","1233 Apalachee Pkwy, Tallahassee, FL 32301","1233 Apalachee Pkwy","Tallahassee, FL 32301","Clothing store, Department store, Men's clothing store, Shoe store, Women's clothing store",,"(850) 656-2325","(850) 656-2325, +1 850-656-2325","YES",1048,4.1,"https://search.google.com/local/reviews?placeid=ChIJUblWiIVf7IgRXGT3g2tRltg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15606751080916411484",30.436260899999997,-84.2630259,"http://www.rossstores.com/","rossstores.com","Thursday: [9:30 AM-10 PM], Friday: [9 AM-11 PM], Saturday: [9 AM-11 PM], Sunday: [9 AM-9:30 PM], Monday: [9:30 AM-10 PM], Tuesday: [9:30 AM-10 PM], Wednesday: [9:30 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipM9g408FCl6BFIoabo8Y308xJzLTcXmZD5XSB1n=w163-h92-k-no","15606751080916411484","ChIJUblWiIVf7IgRXGT3g2tRltg"
"Dillard's","1500 Apalachee Pkwy, Tallahassee, FL 32301","1500 Apalachee Pkwy","Tallahassee, FL 32301","Department store, Children's clothing store, Clothing store, Cosmetics store, Fashion accessories store, Home goods store, Lingerie store, Men's clothing store, Shoe store, Women's clothing store",,"(850) 671-2000","(850) 671-2000, +1 850-671-2000","YES",1328,4.3,"https://search.google.com/local/reviews?placeid=ChIJhZKRx5lf7IgR_coc-lQzCJA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10378601781341768445",30.438041799999997,-84.2531553,"https://www.dillards.com/stores/florida/governors-square-tallahassee/0243","dillards.com","Thursday: [11 AM-8 PM], Friday: [11 AM-8 PM], Saturday: [11 AM-8 PM], Sunday: [12-6 PM], Monday: [11 AM-8 PM], Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipPsckYpJCNSNbJDPWrJQ1m6taykT1sJnC3DitCp=w163-h92-k-no","10378601781341768445","ChIJhZKRx5lf7IgR_coc-lQzCJA"
"Time Saver Convenience Store","519 W Brevard St, Tallahassee, FL 32301","519 W Brevard St","Tallahassee, FL 32301","Convenience store, Gas station",,"(850) 561-8842","(850) 561-8842, +1 850-561-8842","NO",7,3.9,"https://search.google.com/local/reviews?placeid=ChIJ7fTZfHX17IgRFjyagEk1lxQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1483713192048344086",30.4487639,-84.28949829999999,,,"Thursday: [8 AM-11 PM], Friday: [8 AM-11 PM], Saturday: [8 AM-11 PM], Sunday: [8 AM-11 PM], Monday: [8 AM-11 PM], Tuesday: [8 AM-11 PM], Wednesday: [8 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipNOG3itVQ45LOkueQc8n2D3c11S-upYMqMw51SX=w80-h106-k-no","1483713192048344086","ChIJ7fTZfHX17IgRFjyagEk1lxQ"
"Kohl's","2010 Apalachee Pkwy, Tallahassee, FL 32301","2010 Apalachee Pkwy","Tallahassee, FL 32301","Department store",,"(850) 656-1985","(850) 656-1985, +1 850-656-1985","YES",1249,4.2,"https://search.google.com/local/reviews?placeid=ChIJoSNhgr1f7IgRWWNXTrrJuw8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1133721533229261657",30.433298599999997,-84.2484312,"https://www.kohls.com/stores/fl/tallahassee-1226.shtml?utm_source=google&utm_medium=organic&utm_campaign=local","kohls.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPFhJiHDbXHiZbAvPPJAo4dwE99K8SkgTAYtw6x=w163-h92-k-no","1133721533229261657","ChIJoSNhgr1f7IgRWWNXTrrJuw8"
"Burlington","1719 Apalachee Pkwy, Tallahassee, FL 32301","1719 Apalachee Pkwy","Tallahassee, FL 32301","Clothing store, Baby clothing store, Children's clothing store, Department store, Discount store, Home goods store, Jewelry store, Luggage store, Men's clothing store, Women's clothing store",,"(850) 745-2025","(850) 745-2025, +1 850-745-2025","YES",492,4.2,"https://search.google.com/local/reviews?placeid=ChIJK5Tk1Spf7IgRieB19Of8_Bo&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1944707212286222473",30.4316444,-84.2516098,"https://stores.burlington.com/fl/tallahassee/326/?utm_source=google&utm_medium=organic&utm_campaign=maps","stores.burlington.com","Thursday: [8 AM-12 AM], Friday: [9 AM-11:30 PM], Saturday: [9 AM-11:30 PM], Sunday: [9 AM-10 PM], Monday: [8 AM-12 AM], Tuesday: [8 AM-12 AM], Wednesday: [8 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipOq512El2hk_cFI8BAbWgYGzQ0tKrs-T2VM4tBJ=w163-h92-k-no","1944707212286222473","ChIJK5Tk1Spf7IgRieB19Of8_Bo"
"Old Navy","Governors Marketplace, 1564 Governors Square Blvd, Tallahassee, FL 32301","Governors Marketplace","1564 Governors Square Blvd","Clothing store, Baby clothing store, Children's clothing store, Jeans shop, Men's clothing store, Women's clothing store",,"(850) 201-7050","(850) 201-7050, +1 850-201-7050","YES",426,4.1,"https://search.google.com/local/reviews?placeid=ChIJJX5Kaphf7IgR5iJ28fUFa5o&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11126993858225119974",30.4409198,-84.2564558,"https://oldnavy.gap.com/stores/fl/tallahassee/oldnavy-6584.html","oldnavy.gap.com","Thursday: [10 AM-9 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [10 AM-7 PM], Monday: [10 AM-9 PM], Tuesday: [10 AM-9 PM], Wednesday: [10 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMmw11vTkIX0TX0FDuNnh-R9OTnPyK43CD9Bckz=w122-h92-k-no","11126993858225119974","ChIJJX5Kaphf7IgR5iJ28fUFa5o"
