"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Marshalls","10017 Gulf Center Dr, Fort Myers, FL 33913","10017 Gulf Center Dr","Fort Myers, FL 33913","Department store, Children's clothing store, Clothing store, Luggage store, Men's clothing store, Swimwear store, T-shirt store, Women's clothing store",,"(239) 267-5697","(239) 267-5697, +1 239-267-5697","YES",584,4.4,"https://search.google.com/local/reviews?placeid=ChIJp-1SMg0U24gROXoE5EPDKsE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13919152294697663033",26.485834,-81.789374,"https://www.marshalls.com/","marshalls.com","Thursday: [9:30 AM-9:30 PM], Friday: [9:30 AM-9:30 PM], Saturday: [9:30 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9:30 AM-9:30 PM], Tuesday: [9:30 AM-9:30 PM], Wednesday: [9:30 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipNEHFwVwx_KNFQnJmhPwHKDUN_bJPvZAr_-F5i9=w122-h92-k-no","13919152294697663033","ChIJp-1SMg0U24gROXoE5EPDKsE"
"Corkscrew Country Store","19990 Corkscrew Rd, Estero, FL 33928","19990 Corkscrew Rd","Estero, FL 33928","Convenience store",,"(239) 313-9708","(239) 313-9708, +1 239-313-9708","YES",9,5,"https://search.google.com/local/reviews?placeid=ChIJKZtb_ZgO24gRFPA4oi-BtwM&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=267824744436920340",26.4496379,-81.62797739999999,,,"Thursday: [9:30 AM-7 PM], Friday: [9:30 AM-7 PM], Saturday: [9:30 AM-7 PM], Sunday: [Closed], Monday: [9:30 AM-7 PM], Tuesday: [9:30 AM-7 PM], Wednesday: [9:30 AM-7 PM]","https://lh5.googleusercontent.com/p/AF1QipNQVPXbSPeZaVMYVcmZfTohdKgQdH01GA4llek-=w92-h92-k-no","267824744436920340","ChIJKZtb_ZgO24gRFPA4oi-BtwM"
"Ross Dress for Less","3254 Forum Blvd, Fort Myers, FL 33905","3254 Forum Blvd","Fort Myers, FL 33905","Clothing store, Department store, Men's clothing store, Shoe store, Women's clothing store",,"(239) 936-1816","(239) 936-1816, +1 239-936-1816","YES",1383,4.2,"https://search.google.com/local/reviews?placeid=ChIJM3ugsZlr24gRIStmVmCxKOc&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16656758249154292513",26.6165792,-81.79921,"http://www.rossstores.com/","rossstores.com","Thursday: [9 AM-10:30 PM], Friday: [9 AM-10 PM], Saturday: [9 AM-10 PM], Sunday: [9 AM-11 PM], Monday: [9 AM-10:30 PM], Tuesday: [9 AM-10:30 PM], Wednesday: [9 AM-10:30 PM]","https://lh5.googleusercontent.com/p/AF1QipO9WfnEbaM8ms4uBvV1olXgZlN5Pw5n1uNqizrR=w163-h92-k-no","16656758249154292513","ChIJM3ugsZlr24gRIStmVmCxKOc"
"bealls","1209 Homestead Rd N Unit 1, Lehigh Acres, FL 33936","1209 Homestead Rd N Unit 1","Lehigh Acres, FL 33936","Clothing store, Baby clothing store, Children's clothing store, Fashion accessories store, Handbags shop, Home goods store, Men's clothing store, Shoe store, Women's clothing store",,"(239) 369-3806","(239) 369-3806, +1 239-369-3806","YES",964,4.4,"https://search.google.com/local/reviews?placeid=ChIJEfKAolNy24gRiRlpM4t7I2I&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7071631677695007113",26.6055711,-81.6508863,"https://stores.bealls.com/fl/lehighacres/clothing-store-126.html?utm_source=GMBlisting&utm_medium=organic","stores.bealls.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9:30 PM], Saturday: [9 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM4oR5Brmm0OIeusHUGz2n04oweNyzBawYSsuyM=w163-h92-k-no","7071631677695007113","ChIJEfKAolNy24gRiRlpM4t7I2I"
"T.J. Maxx","9370 6 Mile Cypress Pkwy, Fort Myers, FL 33966","9370 6 Mile Cypress Pkwy","Fort Myers, FL 33966","Department store, Children's clothing store, Clothing store, Jewelry store, Men's clothing store, Sunglasses store, Swimwear store, Women's clothing store",,"(239) 931-0594","(239) 931-0594, +1 239-931-0594","YES",424,4.4,"https://search.google.com/local/reviews?placeid=ChIJBeEF0Rpr24gRiRhj7IC_jUQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4939814926737938569",26.6084499,-81.813194,"https://tjmaxx.tjx.com/store/index.jsp","tjmaxx.tjx.com","Thursday: [9:30 AM-9:30 PM], Friday: [9:30 AM-9:30 PM], Saturday: [9:30 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9:30 AM-9:30 PM], Tuesday: [9:30 AM-9:30 PM], Wednesday: [9:30 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipMZ1zyez8lmVks9O5z-cDuThZiNc-5-IEDIr6mB=w122-h92-k-no","4939814926737938569","ChIJBeEF0Rpr24gRiRhj7IC_jUQ"
"Dollar General","2301 East 5th Street, Lehigh Acres, FL 33936","2301 East 5th Street","Lehigh Acres, FL 33936","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(941) 315-9520","(941) 315-9520, +1 941-315-9520","YES",491,3.9,"https://search.google.com/local/reviews?placeid=ChIJRcoRTnN024gRs1Srl3TV8Tk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4175353026286671027",26.618506,-81.59711089999999,"https://www.dollargeneral.com/store-directory/fl/lehigh-acres/11820","dollargeneral.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO5wEjr0sM7Jq12x9YXTqsV1VGSKc-2qao13Rsi=w149-h92-k-no","4175353026286671027","ChIJRcoRTnN024gRs1Srl3TV8Tk"
"Target","10000 Gulf Center Dr, Fort Myers, FL 33913","10000 Gulf Center Dr","Fort Myers, FL 33913","Department store, Baby store, Clothing store, Electronics store, Furniture store, Home goods store, Office supply store, Outdoor furniture store, Shoe store, Toy store",,"(239) 432-2641","(239) 432-2641, +1 239-432-2641","YES",321,4.3,"https://search.google.com/local/reviews?placeid=ChIJ5dtM1Q0U24gRYP12YbgWehk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1835804779271880032",26.483138699999998,-81.7870751,"https://www.target.com/sl/lee-county/2059","target.com","Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMYJd583i1xjSxh1JKyYOrZudBbteffJhN8Ba-e=w163-h92-k-no","1835804779271880032","ChIJ5dtM1Q0U24gRYP12YbgWehk"
"Kohl's","9357 Ben C Pratt / 6 Mile Cypress Parkway, Fort Myers, FL 33966","9357 Ben C Pratt / 6 Mile Cypress Parkway","Fort Myers, FL 33966","Department store",,"(239) 275-3667","(239) 275-3667, +1 239-275-3667","YES",1379,4.3,"https://search.google.com/local/reviews?placeid=ChIJhf1U2wlr24gRDTCqoUMlxWY&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7405366134685970445",26.607378999999998,-81.8071389,"https://www.kohls.com/stores/fl/fortmyers-1269.shtml?utm_source=google&utm_medium=organic&utm_campaign=local","kohls.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMSLvitEXFF1BqUzMHHXMmzjgoZzAmnfKTPogh3=w163-h92-k-no","7405366134685970445","ChIJhf1U2wlr24gRDTCqoUMlxWY"
"Bealls Florida","9370-1 6 Mile Cypress Pkwy, Fort Myers, FL 33966","9370-1 6 Mile Cypress Pkwy","Fort Myers, FL 33966","Clothing store, Baby clothing store, Beach clothing store, Children's clothing store, Department store, Home goods store, Men's clothing store, Plus size clothing store, Shoe store, Women's clothing store",,"(239) 274-3045","(239) 274-3045, +1 239-274-3045","YES",838,4.3,"https://search.google.com/local/reviews?placeid=ChIJdeevvQdr24gR2uQgyh74yyI&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2507370428685673690",26.607538899999998,-81.81359599999999,"https://stores.beallsflorida.com/fl/ft-myers/department-store-31.html?utm_source=GMBlisting&utm_medium=organic","stores.beallsflorida.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMVEfCFfwXRIB_sGwbCBuJ3qh7AAIWMHjfsBEg_=w122-h92-k-no","2507370428685673690","ChIJdeevvQdr24gR2uQgyh74yyI"
"bealls","10016 Gulf Center Dr, Fort Myers, FL 33913","10016 Gulf Center Dr","Fort Myers, FL 33913","Clothing store, Baby clothing store, Children's clothing store, Fashion accessories store, Handbags shop, Home goods store, Men's clothing store, Shoe store, Women's clothing store",,"(239) 215-7855","(239) 215-7855, +1 239-215-7855","YES",216,4.2,"https://search.google.com/local/reviews?placeid=ChIJAdzwS6o43YgRInLEL_AI9lY&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6266205759219200546",26.483889899999998,-81.7898724,"https://stores.bealls.com/fl/fortmyers/clothing-store-120.html?utm_source=GMBlisting&utm_medium=organic","stores.bealls.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9:30 PM], Saturday: [9 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipP4XztwSHIS0nq6NyOXVMo-wCef_xlGGZxUvXUP=w163-h92-k-no","6266205759219200546","ChIJAdzwS6o43YgRInLEL_AI9lY"
