"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Roses","10385 US-441, Belleview, FL 34420","10385 US-441","Belleview, FL 34420","Discount store",,"(352) 347-1055","(352) 347-1055, +1 352-347-1055","NO",1168,4.4,"https://search.google.com/local/reviews?placeid=ChIJK7fo2lbR54gRtEkigYjHZj0&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4424443073034078644",29.0712223,-82.0696662,,,"Thursday: [9 AM-8 PM], Friday: [9 AM-8 PM], Saturday: [8 AM-8 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-8 PM], Tuesday: [9 AM-8 PM], Wednesday: [9 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMA6K0fZkrEPN_jt4-pitc1I4V5YlDWBKOILTzW=w92-h92-k-no","4424443073034078644","ChIJK7fo2lbR54gRtEkigYjHZj0"
"Dollar General","10775 US-441, Belleview, FL 34420","10775 US-441","Belleview, FL 34420","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 462-5894","(352) 462-5894, +1 352-462-5894","YES",239,3.9,"https://search.google.com/local/reviews?placeid=ChIJcwM-NdrR54gR5RxnzCmzh9c&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15530578832114785509",29.065669999999997,-82.06697079999999,"https://www.dollargeneral.com/store-directory/fl/belleview/1326","dollargeneral.com","Thursday: [8 AM-9 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM], Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMtuwFPOVLgWr--ZUMgrUICSRxgnCfe8ze0gcOI=w149-h92-k-no","15530578832114785509","ChIJcwM-NdrR54gR5RxnzCmzh9c"
"Save A Lot","10751 US-441, Belleview, FL 34420","10751 US-441","Belleview, FL 34420","Grocery store",,"(352) 307-0493","(352) 307-0493, +1 352-307-0493","YES",819,4.1,"https://search.google.com/local/reviews?placeid=ChIJsY0VNdrR54gRdDEf_ctWdmM&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7167011291131752820",29.066066199999998,-82.0668457,"https://savealot.com/grocery-stores/belleview-34420-61239?utm_source=google&utm_medium=organic&utm_campaign=gmb","savealot.com","Thursday: [8 AM-9 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM], Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipMmLyQc1R9KLZBfr1qBLYoLD248b7UppClUwSkw=w163-h92-k-no","7167011291131752820","ChIJsY0VNdrR54gRdDEf_ctWdmM"
"Family Dollar","5810 SE Abshier Blvd, Belleview, FL 34420","5810 SE Abshier Blvd","Belleview, FL 34420","Dollar store, Beer store, Clothing store, Discount store, Discount supermarket, School supply store, Tobacco shop, Toy store, Wine store",,"(352) 496-7714","(352) 496-7714, +1 352-496-7714","YES",82,4,"https://search.google.com/local/reviews?placeid=ChIJYRf2KMXR54gRm4JqvHHNRvs&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18106385240265753243",29.057977299999997,-82.0530148,"https://www.familydollar.com/locations/fl/belleview/21144/","familydollar.com","Thursday: [9 AM-10 PM], Friday: [9 AM-10 PM], Saturday: [9 AM-10 PM], Sunday: [9 AM-9 PM], Monday: [9 AM-10 PM], Tuesday: [9 AM-10 PM], Wednesday: [9 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOCmmaherbYV1skgZF3mLlPGgYnAyY-KPGpUwS9=w80-h142-k-no","18106385240265753243","ChIJYRf2KMXR54gRm4JqvHHNRvs"
"Cato Fashions","10373 US-441, Belleview, FL 34420","10373 US-441","Belleview, FL 34420","Women's clothing store",,"(352) 245-1045","(352) 245-1045, +1 352-245-1045","YES",117,4.5,"https://search.google.com/local/reviews?placeid=ChIJQXWBRJbR54gRYK47i1Bi6vg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17936256564029271648",29.0717812,-82.0695537,"https://stores.catofashions.com/fl/belleview/10373-se-us-highway-441?utm_source=gmb&utm_medium=Yext&y_source=1_MjY1NTk3ODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","stores.catofashions.com","Thursday: [10 AM-8 PM], Friday: [10 AM-8 PM], Saturday: [10 AM-8 PM], Sunday: [1-6 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipOOrbpV6axfePZXHLbgOK8qpTX3YOIeCU-z1et3=w80-h106-k-no","17936256564029271648","ChIJQXWBRJbR54gRYK47i1Bi6vg"
"Winn-Dixie","11310 US-301, Belleview, FL 34420","11310 US-301","Belleview, FL 34420","Grocery store, Bakery, Deli, Florist, Supermarket",,"(352) 245-7215","(352) 245-7215, +1 352-245-7215","YES",3079,4.3,"https://search.google.com/local/reviews?placeid=ChIJr7Ba29rR54gRAKywjZzPpsI&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14026126360791002112",29.0568468,-82.0508282,"https://www.winndixie.com/","winndixie.com","Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMycI0nZR0YQ_8P6i-pQ3tyl_Hxmh8_NDqYreVc=w163-h92-k-no","14026126360791002112","ChIJr7Ba29rR54gRAKywjZzPpsI"
"Baseline Discount Beverage","6157 SE Baseline Rd, Belleview, FL 34420","6157 SE Baseline Rd","Belleview, FL 34420","Convenience store",,"(352) 693-5648","(352) 693-5648, +1 352-693-5648","NO",7,3.7,"https://search.google.com/local/reviews?placeid=ChIJy07JRNzR54gRJSb37XZyM2E&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7004067700615357989",29.062263299999998,-82.0481338,,,"Thursday: [7 AM-9 PM], Friday: [7 AM-9 PM], Saturday: [7 AM-9 PM], Sunday: [7 AM-8 PM], Monday: [7 AM-8 PM], Tuesday: [7 AM-8 PM], Wednesday: [7 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMT8xK0oGk42i8939CBprw3aiQKsqOA6wDn0Snl=w80-h106-k-no","7004067700615357989","ChIJy07JRNzR54gRJSb37XZyM2E"
"Dollar Tree","10369 US-441, Belleview, FL 34420","10369 US-441","Belleview, FL 34420","Dollar store, Craft store, Discount store, Grocery store, Home goods store, Kitchen supply store, Party store, School supply store, Toy store, Variety store",,"(352) 203-6048","(352) 203-6048, +1 352-203-6048","YES",334,4.2,"https://search.google.com/local/reviews?placeid=ChIJYYHeOJfR54gR5lgtEl_BZpY&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=10837562167384692966",29.0719693,-82.0696966,"https://www.dollartree.com/locations/fl/belleview/2714/?utm_source=google&utm_medium=organic&utm_campaign=maps","dollartree.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipNrYFvecSGzrpmUU5weT_T9bfzCysszi1-faUu_=w163-h92-k-no","10837562167384692966","ChIJYYHeOJfR54gR5lgtEl_BZpY"
"Publix Super Market at Belleview Regional Shopping Center","10301 US-441, Belleview, FL 34420","10301 US-441","Belleview, FL 34420","Supermarket, Bakery, Beer store, Deli, Florist, Grocery store, Seafood market, Wine store",,"(352) 347-0186","(352) 347-0186, +1 352-347-0186","YES",2070,4.5,"https://search.google.com/local/reviews?placeid=ChIJd2Ir3ZDR54gRo80uAaZtM1U&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6139371276787961251",29.0726065,-82.0708523,"https://www.publix.com/?setstorenumber=1747&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url","publix.com","Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMOvELJc7g4W35n6iS3cvKMNLzwSu_IzFdNFHvL=w122-h92-k-no","6139371276787961251","ChIJd2Ir3ZDR54gRo80uAaZtM1U"
"Dollar General","12000 US-301, Belleview, FL 34420","12000 US-301","Belleview, FL 34420","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 462-4259","(352) 462-4259, +1 352-462-4259","YES",81,4.5,"https://search.google.com/local/reviews?placeid=ChIJGWCPIo7R54gRTn_ZugDp_Hc&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8646041573988597582",29.0477924,-82.0466308,"https://www.dollargeneral.com/store-directory/fl/belleview/20439","dollargeneral.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipN3VS_UNvYsOQxgVSjRZE5Qvtg-EOX4pLe83HQj=w138-h92-k-no","8646041573988597582","ChIJGWCPIo7R54gRTn_ZugDp_Hc"
