"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Fast Stop Food Stores","820 E Memorial Blvd, Lakeland, FL 33801","820 E Memorial Blvd","Lakeland, FL 33801","Store",,"(863) 413-1979","(863) 413-1979, +1 863-413-1979","YES",213,4.3,"https://search.google.com/local/reviews?placeid=ChIJE-XG21M_3YgRH639-9Hg3mg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7556724417254763807",28.055399299999998,-81.9484579,,,"Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipO19Sl1PtWin0E256JH8C9-iFgLmIj6cXB1khDr=w122-h92-k-no","7556724417254763807","ChIJE-XG21M_3YgRH639-9Hg3mg"
"Rainbow Shops","1513 US-98, Lakeland, FL 33801","1513 US-98","Lakeland, FL 33801","Women's clothing store, Beauty supply store, Children's clothing store, Costume jewelry shop, Fashion accessories store, Jewelry store, Plus size clothing store, Shoe store",,"(863) 413-1882","(863) 413-1882, +1 863-413-1882","YES",198,4.1,"https://search.google.com/local/reviews?placeid=ChIJjYvH1xk_3YgRyjvtf7FGXR0&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2115925128103410634",28.0242689,-81.9267529,"https://stores.rainbowshops.com/fl/lakeland/1566/?utm_source=G&utm_medium=lpm&utm_campaign=RainbowShops","stores.rainbowshops.com","Thursday: [10 AM-9 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [11 AM-6 PM], Monday: [10 AM-9 PM], Tuesday: [10 AM-9 PM], Wednesday: [10 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNTyXlHTQb_tM6lkaRaPsfYO-3wy4-B9Kw9j_4w=w80-h106-k-no","2115925128103410634","ChIJjYvH1xk_3YgRyjvtf7FGXR0"
"M & J Foods Stores","1416 N Combee Rd, Lakeland, FL 33801","1416 N Combee Rd","Lakeland, FL 33801","Grocery store",,"(863) 666-2586","(863) 666-2586, +1 863-666-2586","NO",54,4.2,"https://search.google.com/local/reviews?placeid=ChIJzUnwt39A3YgRCjmBMxICNDA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3473403489806268682",28.063018999999997,-81.90840999999999,,,"Thursday: [7 AM-9 PM], Friday: [7 AM-9 PM], Saturday: [7 AM-9 PM], Sunday: [7 AM-9 PM], Monday: [7 AM-9 PM], Tuesday: [7 AM-9 PM], Wednesday: [7 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM8IhzuPpq_AYclXTSfNTDUEI7mDGLSFTVCDxc7=w80-h142-k-no","3473403489806268682","ChIJzUnwt39A3YgRCjmBMxICNDA"
"Shop Sharp","2005 E Main St, Lakeland, FL 33801","2005 E Main St","Lakeland, FL 33801","Convenience store",,"(863) 698-7963","(863) 698-7963, +1 863-698-7963","NO",11,3.4,"https://search.google.com/local/reviews?placeid=ChIJH0xT9G4_3YgRmOxeqyZlMF4&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6787035855205624984",28.045672,-81.92409599999999,,,"Thursday: [6:15 AM-9:30 PM], Friday: [6:15 AM-10 PM], Saturday: [6:15 AM-9:30 PM], Sunday: [7 AM-9:30 PM], Monday: [6:15 AM-9:30 PM], Tuesday: [6:15 AM-9:30 PM], Wednesday: [6:15 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipO0jFBFfdnr3yKgrwMB1P5XQc-8pCmf81Bza7hh=w80-h142-k-no","6787035855205624984","ChIJH0xT9G4_3YgRmOxeqyZlMF4"
"Great USA Food Mart LLC","337 Bartow Rd, Lakeland, FL 33801","337 Bartow Rd","Lakeland, FL 33801","Convenience store, Grocery store",,"(863) 683-7900","(863) 683-7900, +1 863-683-7900","YES",6,4.3,"https://search.google.com/local/reviews?placeid=ChIJN6qYE0g_3YgRs9_C4NYZ71A&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5831908453152645043",28.0408424,-81.9438689,,,"Thursday: [6 AM-11 PM], Friday: [6 AM-11 PM], Saturday: [6 AM-11 PM], Sunday: [6 AM-11 PM], Monday: [6 AM-11 PM], Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipNqBAXuqd8pMaizWus7bpnO4dR6jZ8rGLmG7kf-=w122-h92-k-no","5831908453152645043","ChIJN6qYE0g_3YgRs9_C4NYZ71A"
"Save A Lot","917 E Memorial Blvd, Lakeland, FL 33801","917 E Memorial Blvd","Lakeland, FL 33801","Grocery store, Discount supermarket, Supermarket",,"(863) 413-0855","(863) 413-0855, +1 863-413-0855","YES",613,3.9,"https://search.google.com/local/reviews?placeid=ChIJiZdBclE_3YgRrim3oOQbxNw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15907870452542286254",28.054095099999998,-81.9471702,"https://savealot.com/grocery-stores/lakeland-33801-60098?utm_source=google&utm_medium=organic&utm_campaign=gmb","savealot.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMd2vO_4raKibBW_cvTtszMOPCTeMpgXCnhVSI2=w163-h92-k-no","15907870452542286254","ChIJiZdBclE_3YgRrim3oOQbxNw"
"DG Market","729 N Combee Rd, Lakeland, FL 33801","729 N Combee Rd","Lakeland, FL 33801","Grocery store, Convenience store, Discount store, Dollar store, Drug store, Fruit and vegetable store, General store, Party store, Seasonal goods store, Variety store",,"(863) 274-1836","(863) 274-1836, +1 863-274-1836","YES",840,4.1,"https://search.google.com/local/reviews?placeid=ChIJazOxF0xaaBQRUi1OAM-fvbk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13384029379027152210",28.0514211,-81.9074116,"https://www.dollargeneral.com/store-directory/fl/lakeland/1541","dollargeneral.com","Thursday: [8 AM-11 PM], Friday: [8 AM-11 PM], Saturday: [8 AM-11 PM], Sunday: [8 AM-11 PM], Monday: [8 AM-11 PM], Tuesday: [8 AM-11 PM], Wednesday: [8 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipO7R4-H1wcyRBYwgI9ZFHH6cw-xYfIs4dxJnbhw=w149-h92-k-no","13384029379027152210","ChIJazOxF0xaaBQRUi1OAM-fvbk"
"bealls","2607 Florida Ave S, Lakeland, FL 33803","2607 Florida Ave S","Lakeland, FL 33803","Clothing store, Baby clothing store, Children's clothing store, Fashion accessories store, Handbags shop, Home goods store, Men's clothing store, Shoe store, Women's clothing store",,"(863) 284-4361","(863) 284-4361, +1 863-284-4361","YES",325,4.5,"https://search.google.com/local/reviews?placeid=ChIJOT-eBzI53YgRv02_Akugj9A&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15028406725587717567",28.0136647,-81.9585318,"https://stores.bealls.com/fl/lakeland/clothing-store-622.html?utm_source=GMBlisting&utm_medium=organic","stores.bealls.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9:30 PM], Saturday: [9 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNhaQ872dLyO-5zAxknrZR0rvGvdvw0fwywaa9H=w204-h92-k-no","15028406725587717567","ChIJOT-eBzI53YgRv02_Akugj9A"
"Arkh Food Mart","4934 K-Ville Ave, Auburndale, FL 33823","4934 K-Ville Ave","Auburndale, FL 33823","Convenience store",,"(863) 667-3764","(863) 667-3764, +1 863-667-3764","NO",7,4.3,"https://search.google.com/local/reviews?placeid=ChIJLVmDQ1oV3YgRHnFdbvW4WTU&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3844307121195544862",28.0445049,-81.858786,,,"Thursday: [6 AM-9:30 PM], Friday: [6 AM-9:30 PM], Saturday: [6 AM-9:30 PM], Sunday: [6 AM-9:30 PM], Monday: [6 AM-9:30 PM], Tuesday: [6 AM-9:30 PM], Wednesday: [6 AM-9:30 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iZ4dmx_chUVk_v2EIY04NA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=265.40823&pitch=0&thumbfov=100","3844307121195544862","ChIJLVmDQ1oV3YgRHnFdbvW4WTU"
"Lucky Food Mart","1940 E Main St, Lakeland, FL 33801","1940 E Main St","Lakeland, FL 33801","Convenience store",,"(863) 940-4087","(863) 940-4087, +1 863-940-4087","YES",3,3.7,"https://search.google.com/local/reviews?placeid=ChIJld75-xg_3YgRT2lg5keG5jo&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4244227342209149263",28.046242799999998,-81.924601,,,"Thursday: [7 AM-12 AM], Friday: [7 AM-12 AM], Saturday: [7 AM-12 AM], Sunday: [7 AM-12 AM], Monday: [7 AM-12 AM], Tuesday: [7 AM-12 AM], Wednesday: [7 AM-12 AM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vbk8Ay974rj4PGjXDM9f_A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=355.68066&pitch=0&thumbfov=100","4244227342209149263","ChIJld75-xg_3YgRT2lg5keG5jo"
