"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"SunCity Mart","701 New York Ave W, DeLand, FL 32720","701 New York Ave W","DeLand, FL 32720","Convenience store",,"(386) 624-6196","(386) 624-6196, +1 386-624-6196","YES","","",,"https://www.google.com/maps?cid=11769708096424289712",29.028367199999998,-81.31629579999999,,,"Thursday: [7 AM-11 PM], Friday: [7 AM-11 PM], Saturday: [7 AM-11 PM], Sunday: [7 AM-11 PM], Monday: [7 AM-11 PM], Tuesday: [7 AM-11 PM], Wednesday: [7 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMuY7jS0E-hD0jX4SsjLt437NLe_BUVtGNX-HS6=w122-h92-k-no","11769708096424289712","ChIJQS9POA4b54gRsKVotSdnVqM"
"7-Eleven","319 N Woodland Blvd, DeLand, FL 32720","319 N Woodland Blvd","DeLand, FL 32720","Convenience store",,"(386) 740-0636","(386) 740-0636, +1 386-740-0636","YES",52,4,"https://search.google.com/local/reviews?placeid=ChIJQc66bnob54gRAxRxnAUCG_U&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17661712586786280451",29.0323864,-81.3031223,"https://www.7-eleven.com/locations/fl/deland/319-n-woodland-blvd-34244","7-eleven.com","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipPypKAXYK81iVvNy9bN69aqYAAhLXE5Nnuc6PCE=w80-h106-k-no","17661712586786280451","ChIJQc66bnob54gRAxRxnAUCG_U"
"Red Barn Fast Lane","805 New York Ave W, DeLand, FL 32720","805 New York Ave W","DeLand, FL 32720","Convenience store",,"(386) 279-7678","(386) 279-7678, +1 386-279-7678","YES",36,4.5,"https://search.google.com/local/reviews?placeid=ChIJi6tME0Ib54gR7fTkZlwyFgA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6247821932295405",29.028254999999998,-81.318894,,,"Thursday: [8 AM-11 PM], Friday: [8 AM-12 AM], Saturday: [8 AM-12 AM], Sunday: [8 AM-11 PM], Monday: [8 AM-11 PM], Tuesday: [8 AM-11 PM], Wednesday: [8 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMKCkqn7QDjvDrt0LIYsde2eqRwCOH8-BTUw2Ty=w122-h92-k-no","6247821932295405","ChIJi6tME0Ib54gR7fTkZlwyFgA"
"Orchid Rain","137 N Woodland Blvd, DeLand, FL 32720","137 N Woodland Blvd","DeLand, FL 32720","Clothing store, Home goods store",,"(561) 677-0278","(561) 677-0278, +1 561-677-0278","YES",80,4.4,"https://search.google.com/local/reviews?placeid=ChIJgargnXAb54gRa7QbdMPPqEw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5523893381343458411",29.029439999999997,-81.3033684,"http://www.orchidrain.com/","orchidrain.com","Thursday: [11 AM-8 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [12-6 PM], Monday: [11 AM-8 PM], Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipN1_Eogsr-704balYJbRVm63Zq13mU3cJM9ELa8=w122-h92-k-no","5523893381343458411","ChIJgargnXAb54gRa7QbdMPPqEw"
"Family Food Mart","701 New York Ave W, DeLand, FL 32720","701 New York Ave W","DeLand, FL 32720","Convenience store, Gas station",,"(386) 736-3657","(386) 736-3657, +1 386-736-3657","NO",7,3.9,"https://search.google.com/local/reviews?placeid=ChIJtzlauWkb54gRuS_wxpN1kxo&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1915003544120864697",29.028338299999998,-81.31630799999999,,,"Thursday: [7 AM-11 PM], Friday: [7 AM-11 PM], Saturday: [7 AM-11 PM], Sunday: [7 AM-11 PM], Monday: [7 AM-11 PM], Tuesday: [7 AM-11 PM], Wednesday: [7 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipOAFGSvKxbaZefcxkldItzdnc-qRKts4zDrWdY6=w80-h142-k-no","1915003544120864697","ChIJtzlauWkb54gRuS_wxpN1kxo"
"Discount Market","115 W Plymouth Ave, DeLand, FL 32720","115 W Plymouth Ave","DeLand, FL 32720","Grocery store",,,"","NO",92,4.1,"https://search.google.com/local/reviews?placeid=ChIJuRGKgoIc54gRChO_3EIiVGM&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7157383378365256458",29.0430426,-81.30475109999999,,,"Thursday: [6 AM-12 AM], Friday: [6 AM-12 AM], Saturday: [6 AM-12 AM], Sunday: [6 AM-12 AM], Monday: [6 AM-12 AM], Tuesday: [6 AM-12 AM], Wednesday: [6 AM-12 AM]","https://lh5.googleusercontent.com/p/AF1QipPhRuqWXiIiwVl-Pm9wfaOV5Sa_P-1rT-jLFYlD=w163-h92-k-no","7157383378365256458","ChIJuRGKgoIc54gRChO_3EIiVGM"
"Save A Lot","939 N Woodland Blvd, DeLand, FL 32720","939 N Woodland Blvd","DeLand, FL 32720","Grocery store",,"(386) 736-6751","(386) 736-6751, +1 386-736-6751","YES",618,4.2,"https://search.google.com/local/reviews?placeid=ChIJjyi2YIIc54gRPxEeJbjFw_I&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17493042772324520255",29.044285,-81.3027182,"https://savealot.com/grocery-stores/deland-32720-61244?utm_source=google&utm_medium=organic&utm_campaign=gmb","savealot.com","Thursday: [8 AM-9 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM], Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNBObs1ffYvAd9a9O_wLKMItDacRipOEq5HSdnh=w122-h92-k-no","17493042772324520255","ChIJjyi2YIIc54gRPxEeJbjFw_I"
"Super Save Food & Discount","223 E Voorhis Ave, DeLand, FL 32724","223 E Voorhis Ave","DeLand, FL 32724","Convenience store",,"(386) 736-7151","(386) 736-7151, +1 386-736-7151","NO",2,1.5,"https://search.google.com/local/reviews?placeid=ChIJWWOWInQb54gR8JlpN3JW2Ck&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3015254999080475120",29.0248344,-81.2999639,,,"Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hoWjrP1lFnm2QOHUlfrHZg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=2.0486295&pitch=0&thumbfov=100","3015254999080475120","ChIJWWOWInQb54gR8JlpN3JW2Ck"
"Family Dollar","332 E New York Ave, DeLand, FL 32724","332 E New York Ave","DeLand, FL 32724","Dollar store, Beer store, Clothing store, Discount store, Discount supermarket, School supply store, Tobacco shop, Toy store, Wine store",,"(386) 753-8181","(386) 753-8181, +1 386-753-8181","YES",77,3.7,"https://search.google.com/local/reviews?placeid=ChIJJ8toTXYb54gRLgXhOS_s_vg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17942037653069301038",29.026942599999998,-81.2979101,"https://www.familydollar.com/locations/fl/deland/22858/","familydollar.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPXyZSLByKfKI6czdiHRrGl2dyzfn_94OEE7Zbk=w122-h92-k-no","17942037653069301038","ChIJJ8toTXYb54gRLgXhOS_s_vg"
"Pretty Little Things of DeLand","113 N Woodland Blvd, DeLand, FL 32720","113 N Woodland Blvd","DeLand, FL 32720","Gift shop, Antique store, Boutique, Home goods store, Jewelry store, Vintage clothing store",,"(386) 736-0005","(386) 736-0005, +1 386-736-0005","YES",43,4.9,"https://search.google.com/local/reviews?placeid=ChIJnx5pFHEb54gRkAhr78pmMD8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=4553252245057767568",29.0285539,-81.3032127,"http://www.prettylittlethingsofdeland.com/","prettylittlethingsofdeland.com","Thursday: [11 AM-7 PM], Friday: [11 AM-7 PM], Saturday: [11 AM-5 PM], Sunday: [11 AM-2 PM], Monday: [11 AM-5 PM], Tuesday: [11 AM-5 PM], Wednesday: [11 AM-5 PM]","https://lh5.googleusercontent.com/p/AF1QipPD_EGIXcHcPoyqtiY81_ECIJqMaO152n4zXWP5=w163-h92-k-no","4553252245057767568","ChIJnx5pFHEb54gRkAhr78pmMD8"
