"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"The Gator Store","522 SW 2nd Ave, Gainesville, FL 32601","522 SW 2nd Ave","Gainesville, FL 32601","Grocery store",,"(352) 519-5760","(352) 519-5760, +1 352-519-5760","YES",23,4.3,"https://search.google.com/local/reviews?placeid=ChIJu1pxOYSj6IgRsNrxVG-oWBw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2042567627132492464",29.6504029,-82.329942,,,"Thursday: [9 AM-11 PM], Friday: [9 AM-11 PM], Saturday: [10 AM-11 PM], Sunday: [9 AM-10 PM], Monday: [9 AM-10 PM], Tuesday: [9 AM-10 PM], Wednesday: [9 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipMUGCJ-W1-vasxxWfU1MERhuV4qWOgeNAV8aqCN=w183-h92-k-no","2042567627132492464","ChIJu1pxOYSj6IgRsNrxVG-oWBw"
"Quick Mart","809 N Main St, Gainesville, FL 32601","809 N Main St","Gainesville, FL 32601","Convenience store",,,"","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJ8_g6WXWk6IgRIpeSzUomyLI&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12882588836811675426",29.659512799999998,-82.3244179,,,"Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=goUHJ4XbqqGDIXzAbXuIpg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=41.783504&pitch=0&thumbfov=100","12882588836811675426","ChIJ8_g6WXWk6IgRIpeSzUomyLI"
"Gator Spirit Food Store","113 S Main St, Gainesville, FL 32601","113 S Main St","Gainesville, FL 32601","Convenience store, Beer store, Cigar shop, Coffee shop, Grocery store, Ice cream shop, Lottery shop, Tobacco shop, Wine store",,,"","YES",16,3.8,"https://search.google.com/local/reviews?placeid=ChIJvWUn27uj6IgRB-dBgoFShbs&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13512296973184657159",29.650457,-82.32477589999999,,,"Thursday: [10 AM-2 AM], Friday: [10 AM-2 AM], Saturday: [10 AM-2 AM], Sunday: [Closed], Monday: [10 AM-10 PM], Tuesday: [10 AM-2 AM], Wednesday: [10 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipNvLWQAMxoyT9vQdUrIPuJdB8KeKXsm48dWaC07=w141-h92-k-no","13512296973184657159","ChIJvWUn27uj6IgRB-dBgoFShbs"
"Rainbow Shops","1206 N Main St, Gainesville, FL 32601","1206 N Main St","Gainesville, FL 32601","Women's clothing store, Beauty supply store, Children's clothing store, Costume jewelry shop, Fashion accessories store, Jewelry store, Plus size clothing store, Shoe store",,"(352) 377-6395","(352) 377-6395, +1 352-377-6395","YES",104,4.3,"https://search.google.com/local/reviews?placeid=ChIJDaNlw3Sk6IgRc8K64gXjWGM&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=7158721222123635315",29.663099,-82.326056,"https://stores.rainbowshops.com/fl/gainesville/820/?utm_source=G&utm_medium=lpm&utm_campaign=RainbowShops","stores.rainbowshops.com","Thursday: [10 AM-8 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [11 AM-6 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipP5sI0VWiUeIyw_ptOBfindU5iBRpng1ylaLryB=w80-h106-k-no","7158721222123635315","ChIJDaNlw3Sk6IgRc8K64gXjWGM"
"Citi Trends","1018 N Main St, Gainesville, FL 32601","1018 N Main St","Gainesville, FL 32601","Clothing store, Children's clothing store, Discount store, Fashion accessories store, Men's clothing store, Plus size clothing store, Shoe store, Women's clothing store",,"(352) 421-3933","(352) 421-3933, +1 352-421-3933","YES",236,4.1,"https://search.google.com/local/reviews?placeid=ChIJlw9Tw3Sk6IgRd2ZfdyoZbYk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9902598825839650423",29.6616045,-82.3261382,"https://locations.cititrends.com/fl/gainesville/1018-n--main-st.html","locations.cititrends.com","Thursday: [11 AM-9 PM], Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [12-6 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPeK9ONFqO2aAtnJGQbyGCXCwy83Whn10-Za54Y=w163-h92-k-no","9902598825839650423","ChIJlw9Tw3Sk6IgRd2ZfdyoZbYk"
"PunkOuter Games","13 NW 8th Ave, Gainesville, FL 32601","13 NW 8th Ave","Gainesville, FL 32601","Game store, Hobby store, Lounge, Trading card store",,"(352) 234-3415","(352) 234-3415, +1 352-234-3415","YES",170,4.7,"https://search.google.com/local/reviews?placeid=ChIJzy_P0Rij6IgRQV81zBHcm0k&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5304074955157495617",29.659059499999998,-82.3253625,"http://www.punkouter.com/","punkouter.com","Thursday: [12 PM-12 AM], Friday: [12 PM-12 AM], Saturday: [10 AM-12 AM], Sunday: [10 AM-10 PM], Monday: [12-10 PM], Tuesday: [12-10 PM], Wednesday: [12-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPVkqaZCX35X4BJuLo1XCYpR9JgGqVS0qi-yrKL=w122-h92-k-no","5304074955157495617","ChIJzy_P0Rij6IgRQV81zBHcm0k"
"Family Dollar","1028 N Main St, Gainesville, FL 32601","1028 N Main St","Gainesville, FL 32601","Dollar store, Beer store, Clothing store, Discount store, Discount supermarket, School supply store, Tobacco shop, Toy store, Wine store",,"(352) 204-4706","(352) 204-4706, +1 352-204-4706","YES",56,3.9,"https://search.google.com/local/reviews?placeid=ChIJuQhTw3Sk6IgRg0t56mRuf4M&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9475413520720415619",29.6619393,-82.32624009999999,"https://www.familydollar.com/locations/fl/gainesville/23005/","familydollar.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-9 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNkyoqeVPmexuQj7QC3XqSWMsZBE4XEcAWOCqds=w163-h92-k-no","9475413520720415619","ChIJuQhTw3Sk6IgRg0t56mRuf4M"
"Roses Express","2370 N Main St, Gainesville, FL 32609","2370 N Main St","Gainesville, FL 32609","Discount store, Baby store, Children's clothing store, Clothing store, Electronics store, Home goods store, Men's clothing store, Pet supply store, Toy store, Women's clothing store",,"(352) 378-7531","(352) 378-7531, +1 352-378-7531","YES",32,3.6,"https://search.google.com/local/reviews?placeid=ChIJBdHGDROk6IgRVDolKCR9IX8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9160740711294122580",29.6750208,-82.3230126,"https://www.rosesdiscountstores.com/","rosesdiscountstores.com","Thursday: [9 AM-8 PM], Friday: [9 AM-8 PM], Saturday: [9 AM-8 PM], Sunday: [12-6 PM], Monday: [9 AM-8 PM], Tuesday: [9 AM-8 PM], Wednesday: [9 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNh5UM6vE-OGyGmk7Ke4LfRl8xR4ZAutT7XgPuW=w148-h92-k-no","9160740711294122580","ChIJBdHGDROk6IgRVDolKCR9IX8"
"Family Treasures Thrift Shop","Gainesville, FL 32601","Gainesville, FL 32601","","Discount store",,,"","NO","","",,"https://www.google.com/maps?cid=9324053733039768908",29.658334,-82.3257342,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MkfjgkH0kA2mTVpb7W2w4Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=272.44748&pitch=0&thumbfov=100","9324053733039768908","ChIJQe-Rjoqj6IgRTIV9IHixZYE"
"DTLR","1120 N Main St Unit 1120, Gainesville, FL 32601","1120 N Main St Unit 1120","Gainesville, FL 32601","Shoe store, Children's clothing store, Clothing store, Fashion accessories store, Men's clothing store, T-shirt store, Women's clothing store",,"(352) 374-8738","(352) 374-8738, +1 352-374-8738","YES",68,4,"https://search.google.com/local/reviews?placeid=ChIJB6S_-nSk6IgRxzstgy6rXxY&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=1612195407879551943",29.662550999999997,-82.3260978,"https://locations.dtlr.com/fl/gainesville/gainesville-shopping-center.html","locations.dtlr.com","Thursday: [11 AM-8 PM], Friday: [11 AM-9 PM], Saturday: [11 AM-9 PM], Sunday: [12-5 PM], Monday: [11 AM-8 PM], Tuesday: [11 AM-8 PM], Wednesday: [11 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMq8QCL4ZZ6lHICYScTKn013CNqpa-gsh6WlAUC=w163-h92-k-no","1612195407879551943","ChIJB6S_-nSk6IgRxzstgy6rXxY"
