"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Bealls Florida","2851 E Gulf to Lake Hwy, Inverness, FL 34453","2851 E Gulf to Lake Hwy","Inverness, FL 34453","Department store, Clothing store, Home goods store, Shoe store",,"(352) 637-6250","(352) 637-6250, +1 352-637-6250","YES",1079,4.4,"https://search.google.com/local/reviews?placeid=ChIJldAskp9y6IgRsmIQQUjFSPk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17962824027887133362",28.8556203,-82.38705329999999,"https://stores.beallsflorida.com/fl/inverness/department-store-17.html?utm_source=GMBlisting&utm_medium=organic","stores.beallsflorida.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM5hxLntukGcb3OSKZ9A6e0Me1DXIqRNJL94mGt=w163-h92-k-no","17962824027887133362","ChIJldAskp9y6IgRsmIQQUjFSPk"
"T.J. Maxx","2675 E Gulf to Lake Hwy, Inverness, FL 34453","2675 E Gulf to Lake Hwy","Inverness, FL 34453","Department store, Children's clothing store, Clothing store, Jewelry store, Men's clothing store, Sunglasses store, Swimwear store, Women's clothing store",,"(352) 344-2315","(352) 344-2315, +1 352-344-2315","YES",1140,4.3,"https://search.google.com/local/reviews?placeid=ChIJQZhHBaBy6IgRoxAo_Dydj3I&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8254989527247491235",28.855694699999997,-82.3881011,"https://tjmaxx.tjx.com/store/index.jsp","tjmaxx.tjx.com","Thursday: [9:30 AM-9:30 PM], Friday: [9:30 AM-9:30 PM], Saturday: [9:30 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9:30 AM-9:30 PM], Tuesday: [9:30 AM-9:30 PM], Wednesday: [9:30 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipPYyA5fVcxuYWs9bNR5GCtnbqjC0gJCiEyx6wCt=w163-h92-k-no","8254989527247491235","ChIJQZhHBaBy6IgRoxAo_Dydj3I"
"Dollar General","8495 E Gulf to Lake Hwy, Inverness, FL 34450","8495 E Gulf to Lake Hwy","Inverness, FL 34450","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 364-5661","(352) 364-5661, +1 352-364-5661","YES",459,4.2,"https://search.google.com/local/reviews?placeid=ChIJzbsa7qR06IgR8lf4dv8R_yQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2665869293336942578",28.841447799999997,-82.2929082,"https://www.dollargeneral.com/store-directory/fl/inverness/15031","dollargeneral.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOrok1ye1o2A1JCT7_Q1VLc8-L6zVil93NXr9kX=w149-h92-k-no","2665869293336942578","ChIJzbsa7qR06IgR8lf4dv8R_yQ"
"Winn-Dixie","1202 W Main St, Inverness, FL 34450","1202 W Main St","Inverness, FL 34450","Grocery store",,"(352) 726-8143","(352) 726-8143, +1 352-726-8143","YES",1690,4.4,"https://search.google.com/local/reviews?placeid=ChIJ70xspGplXRQRQnASEqwmTJ8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11478592070739980354",28.837215099999998,-82.3452276,"https://www.winndixie.com/","winndixie.com","Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipM9Z0CeHcAGwgIoIlOYaDZVoXJvB8YXaryrJTw=w98-h92-k-no","11478592070739980354","ChIJ70xspGplXRQRQnASEqwmTJ8"
"Walmart Supercenter","2461 E Gulf to Lake Hwy, Inverness, FL 34453","2461 E Gulf to Lake Hwy","Inverness, FL 34453","Department store, Bakery, Clothing store, Electronics store, Furniture store, Grocery store, Hardware store, Home goods store, Sporting goods store, Toy store",,"(352) 637-2300","(352) 637-2300, +1 352-637-2300","YES",5584,3.9,"https://search.google.com/local/reviews?placeid=ChIJQcDisChz6IgRqn2eU0ynaIA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9252829380694932906",28.8577551,-82.3928141,"https://www.walmart.com/store/1104-inverness-fl","walmart.com","Thursday: [6 AM-11 PM], Friday: [6 AM-11 PM], Saturday: [6 AM-11 PM], Sunday: [6 AM-11 PM], Monday: [6 AM-11 PM], Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMdoFTbmSP7EBlFPQe_DdtFbZMBHKhB0vSEjbMD=w122-h92-k-no","9252829380694932906","ChIJQcDisChz6IgRqn2eU0ynaIA"
"Kwik Save Foodmart","7300 E Turner Camp Rd, Inverness, FL 34453","7300 E Turner Camp Rd","Inverness, FL 34453","Convenience store",,"(352) 726-4828","(352) 726-4828, +1 352-726-4828","NO",9,3.3,"https://search.google.com/local/reviews?placeid=ChIJkbPiroRz6IgRb7vGGNX_A_s&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18087581819158838127",28.8788955,-82.3122799,,,"Thursday: [8 AM-8 PM], Friday: [8 AM-8 PM], Saturday: [8 AM-8 PM], Sunday: [8 AM-8 PM], Monday: [8 AM-8 PM], Tuesday: [8 AM-8 PM], Wednesday: [8 AM-8 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yDpZqbOXG8ABBV-tD3eJ4w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=139.90276&pitch=0&thumbfov=100","18087581819158838127","ChIJkbPiroRz6IgRb7vGGNX_A_s"
"Cato Fashions","2669 E Gulf to Lake Hwy, Inverness, FL 34453","2669 E Gulf to Lake Hwy","Inverness, FL 34453","Women's clothing store",,"(352) 344-1120","(352) 344-1120, +1 352-344-1120","YES",96,4.5,"https://search.google.com/local/reviews?placeid=ChIJR55HBaBy6IgRfu4F2j6V7eE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16279832325192543870",28.8558545,-82.388759,"https://stores.catofashions.com/fl/inverness/2669-east-gulf-to-lake-highway?utm_source=gmb&utm_medium=Yext&y_source=1_MjY1NTk3MDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","stores.catofashions.com","Thursday: [10 AM-8 PM], Friday: [10 AM-8 PM], Saturday: [10 AM-8 PM], Sunday: [1-6 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNcuxPsvWByABZlUOMDpbYUuzOx6VxlYmw42oF2=w163-h92-k-no","16279832325192543870","ChIJR55HBaBy6IgRfu4F2j6V7eE"
"Gus's Party Store","2846 N Carl G Rose Hwy, Hernando, FL 34442","2846 N Carl G Rose Hwy","Hernando, FL 34442","Convenience store, Party store",,"(352) 419-7260","(352) 419-7260, +1 352-419-7260","NO",22,4.3,"https://search.google.com/local/reviews?placeid=ChIJLRxwEhJy6IgRb54mnznlh0s&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5442570710346538607",28.9045508,-82.37705679999999,,,"Thursday: [6 AM-9 PM], Friday: [6 AM-11 PM], Saturday: [7 AM-10 PM], Sunday: [8 AM-8 PM], Monday: [6 AM-9 PM], Tuesday: [6 AM-9 PM], Wednesday: [6 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNsAqhskza_2t3OyrPR0dTQBXNHCgRyFPiI6_x7=w194-h92-k-no","5442570710346538607","ChIJLRxwEhJy6IgRb54mnznlh0s"
"Dollar General","1385 N Florida Ave, Hernando, FL 34442","1385 N Florida Ave","Hernando, FL 34442","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 404-4210","(352) 404-4210, +1 352-404-4210","YES",608,4.1,"https://search.google.com/local/reviews?placeid=ChIJV1Dkzl1y6IgRcRGbbgqAUMk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=14506235182054052209",28.8830752,-82.3646413,"https://www.dollargeneral.com/store-directory/fl/hernando/9269","dollargeneral.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPoLaUKtPpp6BV5JhvzBYtfdC9-hKjck4bYTCC2=w149-h92-k-no","14506235182054052209","ChIJV1Dkzl1y6IgRcRGbbgqAUMk"
"Dollar General","4421 N Carl G Rose Hwy, Hernando, FL 34442","4421 N Carl G Rose Hwy","Hernando, FL 34442","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(352) 600-0057","(352) 600-0057, +1 352-600-0057","YES",475,4.2,"https://search.google.com/local/reviews?placeid=ChIJKy4I4PZx6IgRat0XiHoVHlQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6061305764500725098",28.9274043,-82.3759965,"https://www.dollargeneral.com/store-directory/fl/hernando/13397","dollargeneral.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-10 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipOUYU7NsY1F0mI6LR8FnZma7fhSjSEdLwHYlEHM=w149-h92-k-no","6061305764500725098","ChIJKy4I4PZx6IgRat0XiHoVHlQ"
