"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Emmanuel Food Store","6510 Normandy Blvd, Jacksonville, FL 32205","6510 Normandy Blvd","Jacksonville, FL 32205","Convenience store",,"(904) 315-5415","(904) 315-5415, +1 904-315-5415","YES",5,5,"https://search.google.com/local/reviews?placeid=ChIJ8YnZiOa45YgRDWM0ZRKWgyQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=2631111613066011405",30.305426299999997,-81.75215879999999,,,"Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipODJkmjK_qCo9JXaTXQas3LnxQ76wudBAVPibpl=w80-h106-k-no","2631111613066011405","ChIJ8YnZiOa45YgRDWM0ZRKWgyQ"
"Walmart Supercenter","6830 Normandy Blvd, Jacksonville, FL 32205","6830 Normandy Blvd","Jacksonville, FL 32205","Department store, Bakery, Clothing store, Electronics store, Furniture store, Grocery store, Hardware store, Home goods store, Sporting goods store, Toy store",,"(904) 786-0390","(904) 786-0390, +1 904-786-0390","YES",8985,3.7,"https://search.google.com/local/reviews?placeid=ChIJMzSSOMO45YgRFtv657kNB0Y&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5046016999604017942",30.301420399999998,-81.75836369999999,"https://www.walmart.com/store/1083-jacksonville-fl","walmart.com","Thursday: [6 AM-11 PM], Friday: [6 AM-11 PM], Saturday: [6 AM-11 PM], Sunday: [6 AM-11 PM], Monday: [6 AM-11 PM], Tuesday: [6 AM-11 PM], Wednesday: [6 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipMLVkhwf_1zjdUiVTA4mKruvVKpIEC4-AgGicvf=w80-h101-k-no","5046016999604017942","ChIJMzSSOMO45YgRFtv657kNB0Y"
"bealls","5960-B Normandy Blvd, Jacksonville, FL 32205","5960-B Normandy Blvd","Jacksonville, FL 32205","Clothing store, Baby clothing store, Children's clothing store, Fashion accessories store, Handbags shop, Home goods store, Men's clothing store, Shoe store, Women's clothing store",,"(904) 378-5477","(904) 378-5477, +1 904-378-5477","YES",648,4.3,"https://search.google.com/local/reviews?placeid=ChIJdTQGGOS45YgR-zdB9vm6tSk&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3005513909080766459",30.3049558,-81.7505858,"https://stores.bealls.com/fl/jacksonville/clothing-store-437.html?utm_source=GMBlisting&utm_medium=organic","stores.bealls.com","Thursday: [9 AM-9 PM], Friday: [9 AM-9:30 PM], Saturday: [9 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOB8DCw_OKJ9iqVFRPOQJkjFTMiYHbigYaQWRMW=w122-h92-k-no","3005513909080766459","ChIJdTQGGOS45YgR-zdB9vm6tSk"
"On The Fly","7220 Normandy Blvd, Jacksonville, FL 32205","7220 Normandy Blvd","Jacksonville, FL 32205","Convenience store",,,"","NO","","",,"https://www.google.com/maps?cid=13190470656593645688",30.299182799999997,-81.76696079999999,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UOHmY-lj8xgEX_UmkeDLQQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=155.60013&pitch=0&thumbfov=100","13190470656593645688","ChIJp0rhk8W45YgReFB6Ei33Dbc"
"Dollar Tree","7200 Normandy Blvd, Jacksonville, FL 32205","7200 Normandy Blvd","Jacksonville, FL 32205","Dollar store, Craft store, Discount store, Grocery store, Home goods store, Kitchen supply store, Party store, School supply store, Toy store, Variety store",,"(904) 701-6665","(904) 701-6665, +1 904-701-6665","YES",501,4,"https://search.google.com/local/reviews?placeid=ChIJAxY8sMW45YgRsWVZUNF167Q&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13036643088210683313",30.299054199999997,-81.76565769999999,"https://www.dollartree.com/locations/fl/jacksonville/3080/?utm_source=google&utm_medium=organic&utm_campaign=maps","dollartree.com","Thursday: [8 AM-10 PM], Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipO3la7izX5Bsq0fv0P3-TguGu48C1u2epNPGuC1=w163-h92-k-no","13036643088210683313","ChIJAxY8sMW45YgRsWVZUNF167Q"
"Roses Express","5531 Normandy Blvd, Jacksonville, FL 32205","5531 Normandy Blvd","Jacksonville, FL 32205","Discount store, Baby store, Children's clothing store, Clothing store, Electronics store, Home goods store, Men's clothing store, Pet supply store, Toy store, Women's clothing store",,"(904) 695-1991","(904) 695-1991, +1 904-695-1991","YES",90,4.2,"https://search.google.com/local/reviews?placeid=ChIJO6c3W_y45YgRGHemw2v8hJ8&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11494589688730515224",30.3093452,-81.74260509999999,"https://www.rosesdiscountstores.com/","rosesdiscountstores.com","Thursday: [9 AM-8 PM], Friday: [9 AM-8 PM], Saturday: [9 AM-8 PM], Sunday: [10 AM-8 PM], Monday: [9 AM-8 PM], Tuesday: [9 AM-8 PM], Wednesday: [9 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipMxUu9wE_uD1eNMhMAXLFCTy7E44q7IKJA8NgvH=w122-h92-k-no","11494589688730515224","ChIJO6c3W_y45YgRGHemw2v8hJ8"
"Walgreens","7221 Normandy Blvd, Jacksonville, FL 32205","7221 Normandy Blvd","Jacksonville, FL 32205","Drug store, Beauty supply store, Convenience store, Cosmetics store, Greeting card shop, Perfume store, Stationery store",,"(904) 783-1109","(904) 783-1109, +1 904-783-1109","YES",80,2.8,"https://search.google.com/local/reviews?placeid=ChIJ5SzEnMW45YgRMKchSHcF_lA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5836108176988153648",30.300140799999998,-81.76703119999999,"https://www.walgreens.com/locator/walgreens-7221+normandy+blvd-jacksonville-fl-32205/id=2220","walgreens.com","Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipNSWzuj1GunyXZtV5wY2P1hEEyeKPAfBZg15HbU=w80-h106-k-no","5836108176988153648","ChIJ5SzEnMW45YgRMKchSHcF_lA"
"Dollar General","5846 Normandy Blvd, Jacksonville, FL 32205","5846 Normandy Blvd","Jacksonville, FL 32205","Dollar store, Beauty supply store, Candy store, Convenience store, Discount store, Drug store, General store, Party store, Seasonal goods store, Variety store",,"(904) 420-0885","(904) 420-0885, +1 904-420-0885","YES",529,4,"https://search.google.com/local/reviews?placeid=ChIJWUeyZOS45YgRZfiC_ZA2eek&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16823537879375607909",30.304517599999997,-81.7498765,"https://www.dollargeneral.com/store-directory/fl/jacksonville/2461","dollargeneral.com","Thursday: [8 AM-9 PM], Friday: [8 AM-9 PM], Saturday: [8 AM-9 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-9 PM], Tuesday: [8 AM-9 PM], Wednesday: [8 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipM3Bon4do6nQUuYi_l7wR6Uoq78st2HOPr_Ao6f=w122-h92-k-no","16823537879375607909","ChIJWUeyZOS45YgRZfiC_ZA2eek"
"ALDI","7043 Normandy Blvd, Jacksonville, FL 32205","7043 Normandy Blvd","Jacksonville, FL 32205","Supermarket, Grocery store",,"(855) 955-2534","(855) 955-2534, +1 855-955-2534","YES",1997,4.5,"https://search.google.com/local/reviews?placeid=ChIJg42KwcS45YgRI1phx2TseHw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8969178575494273571",30.301749599999997,-81.76404219999999,"https://stores.aldi.us/fl/jacksonville/7043-normandy-blvd?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick","stores.aldi.us","Thursday: [9 AM-8 PM], Friday: [9 AM-8 PM], Saturday: [9 AM-8 PM], Sunday: [9 AM-8 PM], Monday: [9 AM-8 PM], Tuesday: [9 AM-8 PM], Wednesday: [9 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipPAJdaghR7gxMz6AlkZPynrdv59Wsb1ZGGPyrA1=w122-h92-k-no","8969178575494273571","ChIJg42KwcS45YgRI1phx2TseHw"
"Minit Mart Discount Beverage","907 Lane Ave S, Jacksonville, FL 32205","907 Lane Ave S","Jacksonville, FL 32205","Convenience store",,,"","NO",3,2,"https://search.google.com/local/reviews?placeid=ChIJCQc7XeG45YgRzN0s1qggo4M&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9485461149692255692",30.309142899999998,-81.7515205,,,"Thursday: [7 AM-10 PM], Friday: [7 AM-10 PM], Saturday: [7 AM-10 PM], Sunday: [7 AM-10 PM], Monday: [7 AM-10 PM], Tuesday: [7 AM-10 PM], Wednesday: [7 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPyNkT3iVC3DVMG6kj8J9aU75ygGahP6f3L7l1X=w122-h92-k-no","9485461149692255692","ChIJCQc7XeG45YgRzN0s1qggo4M"
