"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"T.J. Maxx","1200 N University Dr, Coral Springs, FL 33071","1200 N University Dr","Coral Springs, FL 33071","Department store, Children's clothing store, Clothing store, Jewelry store, Men's clothing store, Sunglasses store, Swimwear store, Women's clothing store",,"(954) 346-9200","(954) 346-9200, +1 954-346-9200","YES",791,4.2,"https://search.google.com/local/reviews?placeid=ChIJ9bMqtWwF2YgRM_rudhm3cEg&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5219873288119843379",26.246075599999998,-80.254727,"https://tjmaxx.tjx.com/store/index.jsp","tjmaxx.tjx.com","Friday: [9:30 AM-9:30 PM], Saturday: [9:30 AM-9:30 PM], Sunday: [10 AM-8 PM], Monday: [9:30 AM-9:30 PM], Tuesday: [9:30 AM-9:30 PM], Wednesday: [9:30 AM-9:30 PM], Thursday: [9:30 AM-9:30 PM]","https://lh5.googleusercontent.com/p/AF1QipPJ6D3Y6hznbb2jt6NpcWT3U0ypjQiR2uuGQA0O=w80-h106-k-no","5219873288119843379","ChIJ9bMqtWwF2YgRM_rudhm3cEg"
"Spencers","Coral Square, 9283 W Atlantic Blvd, Coral Springs, FL 33071","Coral Square","9283 W Atlantic Blvd","T-shirt store, Clothing store, Fashion accessories store, Jewelry store, Lingerie store, Novelty store",,"(833) 543-0751","(833) 543-0751, +1 833-543-0751","YES",136,4.6,"https://search.google.com/local/reviews?placeid=ChIJOc3b6g0F2YgR8FX12mmiJ6M&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=11756543927802746352",26.2418215,-80.2509468,"https://stores.spencersonline.com/fl/coralsprings/coral-square-00471.html?utm_medium=referral&utm_source=google&utm_campaign=local_listing&utm_inex=e","stores.spencersonline.com","Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [12-6 PM], Monday: [11 AM-9 PM], Tuesday: [11 AM-9 PM], Wednesday: [11 AM-9 PM], Thursday: [11 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipPYunTqJHqbLsEOhLJHSNwOgEhAgLAXa-SuiFaI=w122-h92-k-no","11756543927802746352","ChIJOc3b6g0F2YgR8FX12mmiJ6M"
"Quik Mart","10416 W Sample Rd, Coral Springs, FL 33065","10416 W Sample Rd","Coral Springs, FL 33065","Convenience store",,"(954) 753-1113","(954) 753-1113, +1 954-753-1113","NO",9,4.6,"https://search.google.com/local/reviews?placeid=ChIJD8g-800F2YgR_L81_Iwnzbc&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=13244285565646782460",26.271935199999998,-80.2653076,,,"Friday: [7 AM-11:30 PM], Saturday: [7 AM-11:30 PM], Sunday: [8 AM-11 PM], Monday: [7 AM-11 PM], Tuesday: [7 AM-11 PM], Wednesday: [7 AM-11 PM], Thursday: [7 AM-11 PM]","https://lh5.googleusercontent.com/p/AF1QipPfLCLRqbGa83SjHZcjjjY24EGJqG9H5_h13DcR=w80-h142-k-no","13244285565646782460","ChIJD8g-800F2YgR_L81_Iwnzbc"
"Grab N Go Food Stores","11380 W Sample Rd, Coral Springs, FL 33065","11380 W Sample Rd","Coral Springs, FL 33065","Convenience store, Bait shop, Deli",,"(754) 225-5724","(754) 225-5724, +1 754-225-5724","YES",17,4.8,"https://search.google.com/local/reviews?placeid=ChIJlV59SP8P2YgRfH3yNJg7sO0&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=17127254907799371132",26.2723589,-80.2779405,,,"Friday: [7 AM-12 AM], Saturday: [7 AM-12 AM], Sunday: [7 AM-12 AM], Monday: [7 AM-11:30 PM], Tuesday: [7 AM-11:30 PM], Wednesday: [7 AM-11:30 PM], Thursday: [7 AM-11:30 PM]","https://lh5.googleusercontent.com/p/AF1QipOHr-bir6pNp2TzQhUn54cXUMV_4H1N6xaKC8l4=w122-h92-k-no","17127254907799371132","ChIJlV59SP8P2YgRfH3yNJg7sO0"
"Tillys","9541 W Atlantic Blvd, Coral Springs, FL 33071","9541 W Atlantic Blvd","Coral Springs, FL 33071","Clothing store, Children's clothing store, Jeans shop, Men's clothing store, Shoe store, Sunglasses store, Surf shop, Swimwear store, T-shirt store, Women's clothing store",,"(954) 688-5999","(954) 688-5999, +1 954-688-5999","YES",26,3.7,"https://search.google.com/local/reviews?placeid=ChIJ_dKvaQ4F2YgRnF9SR6bM3YI&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=9429918209316904860",26.241318099999997,-80.2479286,"https://www.tillys.com/store/?StoreID=0195&utm_source=Google&utm_medium=Local_Directory","tillys.com","Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [11 AM-7 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM], Thursday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipPcwMjjUXG2Xd-TCqcaIRWWDWQmOiiGcDKCHSah=w162-h92-k-no","9429918209316904860","ChIJ_dKvaQ4F2YgRnF9SR6bM3YI"
"Kohl's","9001 W Atlantic Blvd, Coral Springs, FL 33071","9001 W Atlantic Blvd","Coral Springs, FL 33071","Department store",,"(954) 753-6444","(954) 753-6444, +1 954-753-6444","YES",1313,4.4,"https://search.google.com/local/reviews?placeid=ChIJK5JPjxIF2YgRNHyVtjbYPzA&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3476735166856395828",26.240749899999997,-80.24685079999999,"https://www.kohls.com/stores/fl/coralsprings-1428.shtml?utm_source=google&utm_medium=organic&utm_campaign=local","kohls.com","Friday: [9 AM-9 PM], Saturday: [9 AM-9 PM], Sunday: [9 AM-8 PM], Monday: [9 AM-9 PM], Tuesday: [9 AM-9 PM], Wednesday: [9 AM-9 PM], Thursday: [9 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipNVAzHSvSUdaU3BE3m4rTGYpArKAzvSXpq2gS3E=w122-h92-k-no","3476735166856395828","ChIJK5JPjxIF2YgRNHyVtjbYPzA"
"American Eagle Store","9183 W Atlantic Blvd, Coral Springs, FL 33071","9183 W Atlantic Blvd","Coral Springs, FL 33071","Clothing store, Jeans shop, Men's clothing store, Swimwear store, T-shirt store, Underwear store, Women's clothing store",,"(954) 227-5126","(954) 227-5126, +1 954-227-5126","YES",108,4.4,"https://search.google.com/local/reviews?placeid=ChIJd_-a4vIE2YgRV7NrM7LpOFE&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=5852684667344106327",26.2413268,-80.25005399999999,"https://storelocations.ae.com/us/fl/coral-springs/9183-w-atlantic-blvd.html","storelocations.ae.com","Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [11 AM-7 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM], Thursday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNOsI3ynPl7fLGUfUCfPkwWH71wt_h4tVVyIofn=w122-h92-k-no","5852684667344106327","ChIJd_-a4vIE2YgRV7NrM7LpOFE"
"Dollar Tree","2061 N University Dr, Coral Springs, FL 33071","2061 N University Dr","Coral Springs, FL 33071","Dollar store, Craft store, Discount store, Grocery store, Home goods store, Kitchen supply store, Party store, School supply store, Toy store, Variety store",,"(754) 240-6640","(754) 240-6640, +1 754-240-6640","YES",272,3.9,"https://search.google.com/local/reviews?placeid=ChIJUQS8xj4F2YgRRfnyizH0kQw&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=905773493716711749",26.2565863,-80.2488161,"https://www.dollartree.com/locations/fl/coral-springs/3775/?utm_source=google&utm_medium=organic&utm_campaign=maps","dollartree.com","Friday: [8 AM-10 PM], Saturday: [8 AM-10 PM], Sunday: [8 AM-9 PM], Monday: [8 AM-10 PM], Tuesday: [8 AM-10 PM], Wednesday: [8 AM-10 PM], Thursday: [8 AM-10 PM]","https://lh5.googleusercontent.com/p/AF1QipPFNImyqMFy-2-wxc4ux80UHtyUUpGKMmBonqmO=w163-h92-k-no","905773493716711749","ChIJUQS8xj4F2YgRRfnyizH0kQw"
"Discovery Clothing","1170 N University Dr, Coral Springs, FL 33071","1170 N University Dr","Coral Springs, FL 33071","Women's clothing store",,"(954) 227-5561","(954) 227-5561, +1 954-227-5561","YES",199,4.2,"https://search.google.com/local/reviews?placeid=ChIJrbnttWwF2YgRCeLi9FIMWdQ&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=15301274759403332105",26.245476699999998,-80.25484519999999,"http://discoveryclothing.com/","discoveryclothing.com","Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [10 AM-8 PM], Monday: [10 AM-9 PM], Tuesday: [10 AM-9 PM], Wednesday: [10 AM-9 PM], Thursday: [10 AM-9 PM]","https://lh5.googleusercontent.com/p/AF1QipOuiIXhPwSI-Q_UwAvHaha1eS--cJeNRV8BtkcN=w80-h106-k-no","15301274759403332105","ChIJrbnttWwF2YgRCeLi9FIMWdQ"
"rue21","9349 W Atlantic Blvd Space 9535, Coral Springs, FL 33071","9349 W Atlantic Blvd Space 9535","Coral Springs, FL 33071","Clothing store, Fashion accessories store, Men's clothing store, Women's clothing store",,"(754) 241-8689","(754) 241-8689, +1 754-241-8689","YES",6,5,"https://search.google.com/local/reviews?placeid=ChIJJWe5iMIF2YgRQTBDGwW90OU&q=Stores&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16559943659471188033",26.241469499999997,-80.2495483,"https://stores.rue21.com/fl/coral-springs/9349-w-atlantic-blvd.html/?utm_source=gmb&utm_medium=localsearch&utm_campaign=1635","stores.rue21.com","Friday: [10 AM-9 PM], Saturday: [10 AM-9 PM], Sunday: [11 AM-7 PM], Monday: [10 AM-8 PM], Tuesday: [10 AM-8 PM], Wednesday: [10 AM-8 PM], Thursday: [10 AM-8 PM]","https://lh5.googleusercontent.com/p/AF1QipNzjfj2rpI2O2LyPr3tYFTErHQfPC_tLWPXOWCb=w80-h106-k-no","16559943659471188033","ChIJJWe5iMIF2YgRQTBDGwW90OU"
